Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2006 JIF
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION ,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4405,6.085
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL ,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",14708,4.306
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT ,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1816,3.77
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL ,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1412,3.256
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS ,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7045,2.715
MACHINE LEARNING,MACH LEARN ,0885-6125,1573-0565,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4483,2.654
N/A,IEEE T NEURAL NETWOR ,1045-9227,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6167,2.62
N/A,COGNITIVE BRAIN RES ,0926-6410,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3319,2.568
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB ,0169-7439,1873-3239,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3051,2.45
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST ,1541-1672,1941-1294,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1120,2.413
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC ,1384-5810,1573-756X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",882,2.295
ARTIFICIAL INTELLIGENCE,ARTIF INTELL ,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5406,2.271
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES ,1532-4435,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1552,2.255
NEURAL COMPUTATION,NEURAL COMPUT ,0899-7667,1530-888X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5221,2.229
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN ,1041-4347,1558-2191,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2125,2.063
NEURAL NETWORKS,NEURAL NETWORKS ,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4192,2.0
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTON AGENT MULTI-AG ,1387-2532,1573-7454,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",321,1.974
PATTERN RECOGNITION,PATTERN RECOGN ,0031-3203,1873-5142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6437,1.822
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST ,1063-6706,1941-0034,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2579,1.803
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST ,0891-2017,1530-9312,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",834,1.8
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,J ARTIF INTELL RES ,1076-9757,1943-5037,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1216,1.795
ARTIFICIAL LIFE,ARTIF LIFE ,1064-5462,1530-9185,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",593,1.769
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS ,0924-9907,1573-7683,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",437,1.767
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED ,0933-3657,1873-2860,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",747,1.634
AUTONOMOUS ROBOTS,AUTON ROBOT ,0929-5593,1573-7527,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",686,1.578
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND ,1077-3142,1090-235X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1594,1.548
N/A,IEEE T SYST MAN CY B ,1083-4419,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1888,1.538
ADAPTIVE BEHAVIOR,ADAPT BEHAV ,1059-7123,1741-2633,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",262,1.432
COMPUTATIONAL INTELLIGENCE,COMPUT INTELL ,0824-7935,1467-8640,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",564,1.415
DATA & KNOWLEDGE ENGINEERING,DATA KNOWL ENG ,0169-023X,1872-6933,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",657,1.367
JOURNAL OF CHEMOMETRICS,J CHEMOMETR ,0886-9383,1099-128X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1564,1.342
EVOLUTIONARY COMPUTATION,EVOL COMPUT ,1063-6560,1530-9304,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1036,1.325
CONNECTION SCIENCE,CONNECT SCI ,0954-0091,1360-0494,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",298,1.297
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM ,1474-0346,1873-5320,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",110,1.295
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON ,0888-613X,1873-4731,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",632,1.262
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT ,0262-8856,1872-8138,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1770,1.171
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST ,0167-9236,1873-5797,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1292,1.16
AI MAGAZINE,AI MAG ,0738-4602,2371-9621,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",642,1.0
NETWORK-COMPUTATION IN NEURAL SYSTEMS,NETWORK-COMP NEURAL ,0954-898X,1361-6536,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",599,1.0
N/A,REAL-TIME IMAGING ,1077-2014,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",266,0.986
