Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"Nature Machine Intelligence","NAT MACH INTELL","N/A","2522-5839","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,060","25.898","Q1","3.92","3.77"%,
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","0162-8828","1939-3539","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","73,149","24.314","Q1","4.71","7.75"%,
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","2168-2267","2168-2275","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","38,676","19.118","Q1","3.21","2.59"%,
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","13,268","17.564","Q1","4.23","6.81"%,
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","1089-778X","1941-0026","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","20,841","16.497","Q1","3.55","5.86"%,
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","2162-237X","2162-2388","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","49,190","14.255","Q1","3.01","2.98"%,
"ARTIFICIAL INTELLIGENCE","ARTIF INTELL","0004-3702","1872-7921","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","14,899","14.05","Q1","0.78","14.24"%,
"IEEE Transactions on Affective Computing","IEEE T AFFECT COMPUT","1949-3045","1949-3045","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,522","13.99","Q1","1.79","2.19"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","16,080","13.828","Q1","2.52","19.09"%,
"INTERNATIONAL JOURNAL OF COMPUTER VISION","INT J COMPUT VISION","0920-5691","1573-1405","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","23,067","13.369","Q1","2.92","21.04"%,
"IEEE TRANSACTIONS ON FUZZY SYSTEMS","IEEE T FUZZY SYST","1063-6706","1941-0034","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","25,583","12.253","Q1","2.87","1.75"%,
"IEEE TRANSACTIONS ON IMAGE PROCESSING","IEEE T IMAGE PROCESS","1057-7149","1941-0042","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","67,579","11.041","Q1","2.19","4.93"%,
"ACM Transactions on Intelligent Systems and Technology","ACM T INTEL SYST TEC","2157-6904","2157-6912","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","5,126","10.489","Q1","2.24","0"%,
"Swarm and Evolutionary Computation","SWARM EVOL COMPUT","2210-6502","2210-6510","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","7,569","10.267","Q1","2.13","2.45"%,
"IEEE Computational Intelligence Magazine","IEEE COMPUT INTELL M","1556-603X","1556-6048","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,720","9.809","Q1","1.89","5.88"%,
"NEURAL NETWORKS","NEURAL NETWORKS","0893-6080","1879-2782","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","23,717","9.657","Q1","1.87","10.17"%,
"ARTIFICIAL INTELLIGENCE REVIEW","ARTIF INTELL REV","0269-2821","1573-7462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","7,204","9.588","Q1","1.47","7.66"%,
"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING","IEEE T KNOWL DATA EN","1041-4347","1558-2191","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","20,454","9.235","Q1","1.75","5.75"%,
"Transactions of the Association for Computational Linguistics","T ASSOC COMPUT LING","N/A","2307-387X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,530","9.194","Q1","5.84","93.09"%,
"INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS","INT J INTELL SYST","0884-8173","1098-111X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","7,799","8.993","Q1","1.83","2.83"%,
"EXPERT SYSTEMS WITH APPLICATIONS","EXPERT SYST APPL","0957-4174","1873-6793","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","64,974","8.665","Q1","1.81","3.41"%,
