Rank,Full Journal Title,JCR Abbreviated Title,Category,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Eigenfactor Score,Article Influence Score,Average Journal Impact Factor Percentile
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,ONCOLOGY,0007-9235,"28,839",244.585,244.208,161.803,49.172,0.066030,40.949,99.775
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,"MEDICINE, GENERAL & INTERNAL",0028-4793,"332,830",79.258,78.537,67.512,15.727,0.702000,29.423,99.675
3,LANCET,LANCET,"MEDICINE, GENERAL & INTERNAL",0140-6736,"233,269",53.254,51.896,52.665,13.03,0.435740,21.006,99.026
4,CHEMICAL REVIEWS,CHEM REV,"CHEMISTRY, MULTIDISCIPLINARY",0009-2665,"174,920",52.613,52.089,55.198,12.157,0.265650,15.994,99.708
5,Nature Reviews Materials,NAT REV MATER,MATERIALS SCIENCE,2058-8437,"3,218",51.941,51.451,51.941,11.792,0.015060,21.428,99.641
5,Nature Reviews Materials,NAT REV MATER,NANOSCIENCE & NANOTECHNOLOGY,2058-8437,"3,218",51.941,51.451,51.941,11.792,0.015060,21.428,99.641
6,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1474-1776,"31,312",50.167,49.423,54.490,16.342,0.054410,19.352,99.748
6,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,PHARMACOLOGY & PHARMACY,1474-1776,"31,312",50.167,49.423,54.490,16.342,0.054410,19.352,99.748
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,"MEDICINE, GENERAL & INTERNAL",0098-7484,"148,774",47.661,46.641,42.464,10.188,0.299960,19.947,98.377
8,Nature Energy,NAT ENERGY,ENERGY & FUELS,2058-7546,"5,072",46.859,45.880,46.870,7.854,0.020430,16.117,99.479
8,Nature Energy,NAT ENERGY,MATERIALS SCIENCE,2058-7546,"5,072",46.859,45.880,46.870,7.854,0.020430,16.117,99.479
9,NATURE REVIEWS CANCER,NAT REV CANCER,ONCOLOGY,1474-175X,"50,407",42.784,42.234,50.293,12.918,0.079730,18.843,99.324
10,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,IMMUNOLOGY,1474-1733,"39,215",41.982,41.643,46.507,9.037,0.085360,20.507,99.677
11,NATURE,NATURE,MULTIDISCIPLINARY SCIENCES,0028-0836,"710,766",41.577,41.016,44.958,9.7,1.355810,22.535,99.219
12,NATURE REVIEWS GENETICS,NAT REV GENET,GENETICS & HEREDITY,1471-0056,"35,680",41.465,40.792,44.913,6.833,0.094300,22.958,99.708
13,SCIENCE,SCIENCE,MULTIDISCIPLINARY SCIENCES,0036-8075,"645,132",41.058,40.617,40.627,8.207,1.127160,19.907,97.656
14,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,"CHEMISTRY, MULTIDISCIPLINARY",0306-0012,"125,900",40.182,39.755,41.270,7.33,0.275690,10.900,99.123
15,NATURE MATERIALS,NAT MATER,"PHYSICS, APPLIED",1476-1122,"92,291",39.235,38.880,47.534,11.852,0.195000,17.999,99.423
15,NATURE MATERIALS,NAT MATER,"CHEMISTRY, PHYSICAL",1476-1122,"92,291",39.235,38.880,47.534,11.852,0.195000,17.999,99.423
15,NATURE MATERIALS,NAT MATER,MATERIALS SCIENCE,1476-1122,"92,291",39.235,38.880,47.534,11.852,0.195000,17.999,99.423
15,NATURE MATERIALS,NAT MATER,"PHYSICS, CONDENSED MATTER",1476-1122,"92,291",39.235,38.880,47.534,11.852,0.195000,17.999,99.423
16,Nature Nanotechnology,NAT NANOTECHNOL,MATERIALS SCIENCE,1748-3387,"57,369",37.490,36.990,45.815,7.503,0.170630,17.890,98.571
16,Nature Nanotechnology,NAT NANOTECHNOL,NANOSCIENCE & NANOTECHNOLOGY,1748-3387,"57,369",37.490,36.990,45.815,7.503,0.170630,17.890,98.571
17,LANCET ONCOLOGY,LANCET ONCOL,ONCOLOGY,1470-2045,"44,961",36.418,35.800,33.233,8.631,0.136440,11.999,98.874
18,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,"PHYSICS, MULTIDISCIPLINARY",0034-6861,"47,289",36.367,36.215,38.473,10.175,0.054550,19.497,99.359
19,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1087-0156,"57,510",35.724,35.082,43.271,7.252,0.161460,22.186,99.063
20,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,CELL BIOLOGY,1471-0072,"43,667",35.612,35.267,47.918,10.0,0.095540,22.803,99.737
21,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,NEUROSCIENCES,1471-003X,"40,834",32.635,32.426,38.691,8.074,0.069940,17.030,99.808
22,NATURE MEDICINE,NAT MED,"MEDICINE, RESEARCH & EXPERIMENTAL",1078-8956,"75,461",32.621,32.357,33.409,7.248,0.171980,15.143,99.554
22,NATURE MEDICINE,NAT MED,CELL BIOLOGY,1078-8956,"75,461",32.621,32.357,33.409,7.248,0.171980,15.143,99.554
22,NATURE MEDICINE,NAT MED,BIOCHEMISTRY & MOLECULAR BIOLOGY,1078-8956,"75,461",32.621,32.357,33.409,7.248,0.171980,15.143,99.554
23,Nature Photonics,NAT PHOTONICS,"PHYSICS, APPLIED",1749-4885,"39,331",32.521,31.970,38.551,7.477,0.128120,14.920,99.220
23,Nature Photonics,NAT PHOTONICS,OPTICS,1749-4885,"39,331",32.521,31.970,38.551,7.477,0.128120,14.920,99.220
24,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,MICROBIOLOGY,1740-1526,"26,627",31.851,31.465,31.155,7.727,0.055490,12.505,99.600
25,CELL,CELL,CELL BIOLOGY,0092-8674,"230,625",31.398,30.780,33.796,7.592,0.583260,19.509,99.085
25,CELL,CELL,BIOCHEMISTRY & MOLECULAR BIOLOGY,0092-8674,"230,625",31.398,30.780,33.796,7.592,0.583260,19.509,99.085
26,ADVANCES IN PHYSICS,ADV PHYS,"PHYSICS, CONDENSED MATTER",0001-8732,"5,747",30.917,30.833,25.690,2.667,0.005040,12.618,97.761
27,Energy & Environmental Science,ENERG ENVIRON SCI,"ENGINEERING, CHEMICAL",1754-5692,"71,920",30.067,29.372,28.924,6.517,0.180320,7.072,99.105
27,Energy & Environmental Science,ENERG ENVIRON SCI,"CHEMISTRY, MULTIDISCIPLINARY",1754-5692,"71,920",30.067,29.372,28.924,6.517,0.180320,7.072,99.105
27,Energy & Environmental Science,ENERG ENVIRON SCI,ENVIRONMENTAL SCIENCES,1754-5692,"71,920",30.067,29.372,28.924,6.517,0.180320,7.072,99.105
27,Energy & Environmental Science,ENERG ENVIRON SCI,ENERGY & FUELS,1754-5692,"71,920",30.067,29.372,28.924,6.517,0.180320,7.072,99.105
28,World Psychiatry,WORLD PSYCHIATRY,PSYCHIATRY-SSCI,2051-5545,"4,055",30.000,27.048,23.265,7.19,0.010540,7.503,99.648
28,World Psychiatry,WORLD PSYCHIATRY,PSYCHIATRY-SSCI,2051-5545,"4,055",30.000,27.048,23.265,7.19,0.010540,7.503,99.648
30,LANCET NEUROLOGY,LANCET NEUROL,CLINICAL NEUROLOGY,1474-4422,"28,671",27.138,26.619,28.048,6.889,0.069040,10.985,99.746
31,NATURE GENETICS,NAT GENET,GENETICS & HEREDITY,1061-4036,"93,639",27.125,26.192,31.154,5.975,0.234110,16.652,99.123
32,NATURE METHODS,NAT METHODS,'BIOCHEMICAL RESEARCH METHODS,1548-7091,"54,686",26.919,26.339,41.934,7.013,0.243170,23.306,99.367
33,PSYCHOLOGICAL INQUIRY,PSYCHOL INQ,"PSYCHOLOGY, MULTIDISCIPLINARY",1047-840X,"4,063",26.364,26.000,18.862,0.8,0.003220,8.068,99.630
34,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,ONCOLOGY,0732-183X,"156,474",26.303,25.463,21.455,8.97,0.285130,7.739,98.423
35,Nature Chemistry,NAT CHEM,"CHEMISTRY, MULTIDISCIPLINARY",1755-4330,"29,548",26.201,25.876,28.790,7.663,0.101720,11.407,97.953
36,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,"ENGINEERING, MECHANICAL",0360-1285,"10,618",25.242,24.909,27.860,5.069,0.009830,7.138,98.772
36,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,"ENGINEERING, CHEMICAL",0360-1285,"10,618",25.242,24.909,27.860,5.069,0.009830,7.138,98.772
36,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,ENERGY & FUELS,0360-1285,"10,618",25.242,24.909,27.860,5.069,0.009830,7.138,98.772
36,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,THERMODYNAMICS,0360-1285,"10,618",25.242,24.909,27.860,5.069,0.009830,7.138,98.772
37,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,INFECTIOUS DISEASES,1473-3099,"20,494",25.148,24.296,22.668,7.545,0.067280,9.424,99.432
38,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,ASTRONOMY & ASTROPHYSICS,0066-4146,"10,702",24.912,24.529,40.554,2.545,0.021080,20.671,99.242
39,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,ONCOLOGY,1759-4774,"8,354",24.653,24.327,20.605,15.0,0.026110,7.258,97.973
40,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,POLYMER SCIENCE,0079-6700,"24,520",24.558,24.326,32.833,4.532,0.027420,7.210,99.425
41,Materials Today,MATER TODAY,MATERIALS SCIENCE,1369-7021,"9,962",24.537,24.390,24.971,2.814,0.017130,5.978,98.421
42,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,"PHYSICS, APPLIED",0927-796X,"7,119",24.480,24.480,30.400,3.917,0.005440,7.183,98.179
42,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,MATERIALS SCIENCE,0927-796X,"7,119",24.480,24.480,30.400,3.917,0.005440,7.183,98.179
43,Cancer Discovery,CANCER DISCOV,ONCOLOGY,2159-8274,"11,896",24.373,23.988,24.621,7.578,0.065350,11.371,97.523
44,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,PHYSIOLOGY,0031-9333,"27,680",24.014,23.870,34.299,5.056,0.030380,12.669,99.398
45,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,MATERIALS SCIENCE,0079-6425,"12,382",23.750,23.632,33.190,3.69,0.015680,7.741,97.719
46,EUROPEAN HEART JOURNAL,EUR HEART J,CARDIAC & CARDIOVASCULAR SYSTEMS,0195-668X,"56,054",23.425,21.808,20.660,7.055,0.146810,7.459,99.609
47,Living Reviews in Relativity,LIVING REV RELATIV,"PHYSICS, PARTICLES & FIELDS",1433-8351,"2,409",23.333,23.167,27.939,8.167,0.005910,13.007,98.276
48,Cell Stem Cell,CELL STEM CELL,CELL BIOLOGY,1934-5909,"23,493",23.290,22.535,23.799,5.321,0.096030,12.376,98.037
48,Cell Stem Cell,CELL STEM CELL,CELL & TISSUE ENGINEERING,1934-5909,"23,493",23.290,22.535,23.799,5.321,0.096030,12.376,98.037
49,BMJ-British Medical Journal,BMJ-BRIT MED J,"MEDICINE, GENERAL & INTERNAL",1756-1833,"109,303",23.259,21.853,20.375,9.882,0.150320,8.422,97.727
50,CANCER CELL,CANCER CELL,CELL BIOLOGY,1535-6108,"35,217",22.844,22.541,27.072,4.745,0.096910,12.358,97.352
50,CANCER CELL,CANCER CELL,ONCOLOGY,1535-6108,"35,217",22.844,22.541,27.072,4.745,0.096910,12.358,97.352
51,Annual Review of Psychology,ANNU REV PSYCHOL,"PSYCHOLOGY, MULTIDISCIPLINARY",0066-4308,"18,461",22.774,22.677,30.519,6.042,0.022550,12.492,99.124
51,Annual Review of Psychology,ANNU REV PSYCHOL,PSYCHOLOGY,0066-4308,"18,461",22.774,22.677,30.519,6.042,0.022550,12.492,99.124
53,Journal of Statistical Software,J STAT SOFTW,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1548-7660,"14,900",22.737,22.474,15.682,1.543,0.038740,6.992,99.559
53,Journal of Statistical Software,J STAT SOFTW,STATISTICS & PROBABILITY,1548-7660,"14,900",22.737,22.474,15.682,1.543,0.038740,6.992,99.559
54,Nature Physics,NAT PHYS,"PHYSICS, MULTIDISCIPLINARY",1745-2473,"33,233",22.727,22.361,22.610,7.187,0.122210,12.315,98.077
55,Annual Review of Immunology,ANNU REV IMMUNOL,IMMUNOLOGY,0732-0582,"17,086",22.714,22.551,35.512,5.211,0.028800,16.988,99.032
"PHYSICS, APPLIED",ADVANCED MATERIALS,ADV MATER,"PHYSICS, APPLIED",0935-9648,"190,542",21.950,20.584,21.888,5.119,0.365300,5.469,97.477
"PHYSICS, APPLIED",ADVANCED MATERIALS,ADV MATER,"CHEMISTRY, PHYSICAL",0935-9648,"190,542",21.950,20.584,21.888,5.119,0.365300,5.469,97.477
"PHYSICS, APPLIED",ADVANCED MATERIALS,ADV MATER,NANOSCIENCE & NANOTECHNOLOGY,0935-9648,"190,542",21.950,20.584,21.888,5.119,0.365300,5.469,97.477
56,ADVANCED MATERIALS,ADV MATER,"CHEMISTRY, MULTIDISCIPLINARY",0935-9648,"190,542",21.950,20.584,21.888,5.119,0.365300,5.469,97.477
56,ADVANCED MATERIALS,ADV MATER,MATERIALS SCIENCE,0935-9648,"190,542",21.950,20.584,21.888,5.119,0.365300,5.469,97.477
