DOI,Título,Autores,Año,Citas,Revista
10.1080/09540091.2015.1130022,Artificial immune system based on adaptive clonal selection for feature selection and parameters optimisation of support vector machines,Maryam Sadat Hashemipour and Seyed Ali Soleimani,2016,3,Connection Science
10.1080/09540091.2020.1853055,An EMD-based data hiding scheme for JPEG images,Xiao-Zhu Xie and Chin-Chen Chang and Ji-Hwei Horng,2021,1,Connection Science
10.1080/09540091.2023.2181483,Full-span named entity recognition with boundary regression,Junhui Yu and Yanping Chen and Qinghua Zheng and Yuefei Wu and Ping Chen,2023,0,Connection Science
10.1080/09540090902734549,Trends and perspectives in music cognition research and technology,Hendrik Purwins and David R. Hardoon,2009,1,Connection Science
10.1080/09540090110109173,Activation and coherence in memory processes: Revisiting the Parallel Distributed Processing approach to retrieval,Antonino Raffone and Cees Van Leeuwen,2001,9,Connection Science
10.1080/0954009042000269604,A special issue on ‘Navigation’,K. J. Jeffery,2004,0,Connection Science
10.1080/09540090902954170,DiPRA: a layered agent architecture which integrates practical reasoning and sensorimotor schemas,Giovanni Pezzulo,2009,5,Connection Science
10.1080/09540090701725508,A novel and practicable on-chip adaptive lossless image compression scheme using intrinsic evolvable hardware,Jingsong He and Xin Yao and Yunbi Chen,2007,6,Connection Science
10.1080/09540090412331316162,Editorial,Stefano Nolfi,2004,0,Connection Science
10.1080/09540091.2013.798262,Emergent latent symbol systems in recurrent neural networks,Derek Monner and James A. Reggia,2012,6,Connection Science
10.1080/09540091.2014.967006,Online Editorial Board for 2014,,2014,0,Connection Science
10.1080/09540091.2010.537159,The sad loss of an editorial board member,Noel Sharkey,2010,0,Connection Science
10.1080/09540091.2016.1151862,On evil and computational creativity,Mohammad Majid al-Rifaie and Arthur Cropley and David Cropley and Mark Bishop,2016,3,Connection Science
10.1080/09540090903132230,GLM and SVM analyses of neural response to tonal and atonal stimuli: new techniques and a comparison,Simon Durrant and David R. Hardoon and André Brechmann and John Shawe-Taylor and Eduardo R. Miranda and Henning Scheich,2009,0,Connection Science
10.1080/09540091.2017.1284760,Embodiment: a cross-disciplinary provocation,Deirdre McLaughlin,2017,0,Connection Science
10.1080/09840090410001723401,Where infants look when impossible things happen: simulating and testing a gaze-direction model,Matthew Schlesinger and Patrick Casey,2004,0,Connection Science
10.1080/09540091.2017.1313818,Reflections on the EPSRC Principles of Robotics from the new far-side of the law,Aurora Voiculescu,2017,0,Connection Science
10.1080/09540090210123482,Book Reviews,,2002,1,Connection Science
10.1080/09540091003749691,Periodic activations of behaviours and emotional adaptation in behaviour-based robotics,Ernesto Burattini and Silvia Rossi,2010,10,Connection Science
10.1080/09540090412331314777,Evolving an action-based mechanism for the interpretation of geometrical clues during robot navigation,Orazio Miglino and Richard Walker,2004,2,Connection Science
10.1080/0954009021000068736,On the use of the multimodal clues in human behaviour for the modelling of agent co-operative behaviour,JEAN-CLAUDE MARTIN,2002,0,Connection Science
10.1080/09540091.2011.575929,Using unsupervised incremental learning to cope with gradual concept drift,David Hadas and Galit Yovel and Nathan Intrator,2011,3,Connection Science
10.1080/09540090110085666,Novelty-dependent learning and topological mapping,R. Hans Phaf and Paul Den Dulk and Adriaan Tijsseling and Ed Lebert,2001,6,Connection Science
10.1080/09540091.2011.557716,New algorithm for efficient pattern recall using a static threshold with the Steinbuch Lernmatrix,José Juan Carbajal Hernández and Luis P. Sánchez Fernández,2011,1,Connection Science
10.1080/09540091.2015.1031083,Simulation of the introduction of new technologies in air traffic management,Logan Yliniemi and Adrian K. Agogino and Kagan Tumer,2015,0,Connection Science
10.1080/0954009042000326231,Book review,,2006,0,Connection Science
10.1080/09540091.2011.634585,Editorial Board,,2011,0,Connection Science
10.1080/09540090902954188,Variable binding by synaptic strength change,Christian R. Huyck,2009,1,Connection Science
10.1080/09540091.2017.1279125,Robots are not just tools,Tony J. Prescott,2017,22,Connection Science
10.1080/09540090802414085,The dual-route hypothesis: evaluating a neurocomputational model of fear conditioning in rats,Robert Lowe and Mark Humphries and Tom Ziemke,2009,16,Connection Science
10.1080/09540091003623797,The role of cue information in the outcome-density effect: evidence from neural network simulations and a causal learning experiment,Serban C. Musca and Miguel A. Vadillo and Fernando Blanco and Helena Matute,2010,16,Connection Science
10.1080/09540090310001656597,Lack of combinatorial productivity in language processing with simple recurrent networks,Frank van der Velde and Gwendid T. van der Voort van der Kleij and Marc de Kamps,2004,14,Connection Science
10.1080/09540090110083659,Position-specific effects within the SERIOL framework of letter-position coding,Carol Whitney,2001,10,Connection Science
10.1080/14622200500063511,Phase plot manifestations in globally coupled maps: effects of scale,Prashanth Alluvada and Cees van Leeuwen,2006,0,Connection Science
10.1080/09540091.2012.684670,Programming in the brain: a neural network theoretical framework,Francesco Donnarumma and Roberto Prevete and Giuseppe Trautteur,2012,14,Connection Science
10.1080/09540090310001629308,A modular approach to self-organization of robot control based on language instruction,Stefan Wermter and Mark Elshaw and Simon Farrand,2003,5,Connection Science
10.1080/0954009021000068727,A model of absolute autonomy and power: Toward group effects,HENRY HEXMOOR,2002,11,Connection Science
10.1080/0954009031000149591,Control of consolidation in neural networks: Avoiding runaway effects,Martijn Meeter,2003,5,Connection Science
10.1080/09540090310001655075,A constructivist approach to infants' vowel acquisition through mother–infant interaction,Y. Yoshikawa and M. Asada and K. Hosoda and J. Koga,2003,51,Connection Science
10.1080/09540090902733863,GLM and SVM analyses of neural response to tonal and atonal stimuli: new techniques and a comparison,Simon Durrant and David R. Hardoon and André Brechmann and John Shawe-Taylor and Eduardo R. Miranda and Henning Scheich,2009,10,Connection Science
10.1080/09540090802091891,Social coordination in toddler's word learning: interacting systems of perception and action,Alfredo F. Pereira and Linda B. Smith and Chen Yu,2008,18,Connection Science
