Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Artificial Intelligence,49.265,31.193,31.526,30.701,34.46,36.564,30.38,31.238,29.172,24.9,34.571,30.628,18.854,16.362,13.393,11.384,8.906,1.394,6.307
Pattern Recognition,57.677,72.68,63.792,46.739,51.931,56.02,48.186,49.776,48.857,41.803,41.168,39.263,35.864,34.162,34.417,36.662,28.911,16.344,8.285
IEEE Transactions on Pattern Analysis and Machine Intelligence,257.541,146.785,128.054,127.893,127.448,114.883,102.092,122.399,128.865,123.761,134.472,111.03,82.32,84.146,113.988,95.147,36.339,19.428,4.861
Pattern Recognition Letters,43.399,45.636,37.886,65.453,68.427,38.374,33.763,44.939,39.024,27.264,25.934,24.097,21.204,17.454,16.958,15.398,14.123,12.298,7.7
Decision Support Systems,31.049,40.918,37.974,45.213,58.844,51.811,45.011,46.594,57.199,56.156,47.165,42.918,39.091,37.513,34.775,29.621,19.176,11.567,5.858
Journal of Automated Reasoning,13.678,12.892,11.904,10.777,23.597,32.792,34.684,22.975,13.312,13.457,13.862,18.633,18.726,9.438,10.86,12.265,6.84,3.46,1.718
Data &amp; Knowledge Engineering,17.232,18.52,22.688,24.778,25.843,28.639,29.026,23.839,17.778,17.206,16.509,13.475,9.697,8.851,10.339,9.567,6.108,3.662,2.939
Chemometrics and Intelligent Laboratory Systems,30.452,26.208,38.082,42.394,26.249,24.72,26.512,25.53,27.8,28.48,24.991,19.289,20.809,20.377,15.098,13.431,10.648,6.657,3.492
International Journal of Pattern Recognition and Artificial Intelligence,13.44,17.821,19.569,10.808,7.814,9.348,15.66,14.862,9.626,9.749,6.918,7.085,8.043,7.377,5.545,5.393,4.38,3.118,1.582
International Journal of Software Engineering and Knowledge Engineering,7.968,7.446,4.893,6.211,9.266,6.912,5.408,5.822,5.543,6.684,6.165,4.512,2.766,3.641,4.867,3.819,3.679,3.143,0.644
