Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Artificial Intelligence,3.57,2.638,2.271,3.008,3.397,3.036,2.533,2.252,2.194,2.709,3.371,3.333,4.797,3.034,4.483,6.628,9.088,14.05,14.05
Pattern Recognition,2.176,2.153,1.822,2.019,3.279,2.554,2.682,2.292,2.632,2.584,3.096,3.399,4.582,3.962,5.898,7.196,7.74,8.518,8.518
IEEE Transactions on Pattern Analysis and Machine Intelligence,4.352,3.81,4.306,3.579,5.96,4.378,5.308,4.908,4.795,5.694,5.781,6.077,8.329,9.455,17.73,17.861,16.389,24.314,24.314
Pattern Recognition Letters,0.576,1.138,0.952,0.853,1.559,1.303,1.235,1.034,1.266,1.062,1.551,1.586,1.995,1.952,2.81,3.255,3.756,4.757,4.757
Decision Support Systems,1.458,0.946,1.16,1.119,1.873,2.622,2.135,1.687,2.201,2.036,2.313,2.604,3.222,3.565,3.847,4.721,5.795,6.969,6.969
Journal of Automated Reasoning,0.589,0.875,0.608,0.833,1.691,1.926,2.28,0.714,0.567,0.468,0.881,2.113,1.636,1.321,1.172,1.431,0.944,1.15,1.15
Data &amp; Knowledge Engineering,0.971,1.085,1.367,1.144,1.48,1.745,1.722,1.422,1.519,1.489,1.115,1.5,1.694,1.467,1.583,1.476,1.992,1.5,1.5
Chemometrics and Intelligent Laboratory Systems,1.899,1.77,2.45,2.063,1.94,2.111,2.222,1.92,2.291,2.381,2.321,2.217,2.303,2.701,2.786,2.895,3.491,4.175,4.175
International Journal of Pattern Recognition and Artificial Intelligence,0.588,0.638,0.508,0.374,0.66,0.512,0.685,0.624,0.562,0.558,0.669,0.915,0.994,1.029,1.11,1.375,1.373,1.261,1.261
International Journal of Software Engineering and Knowledge Engineering,0.35,0.508,0.413,0.239,0.447,0.327,0.248,0.129,0.295,0.264,0.362,0.24,0.299,0.397,0.644,0.886,1.47,1.007,1.007
International Journal on Artificial Intelligence Tools,0.573,0.43,0.406,0.376,1.0,1.147,0.85,1.781,0.886,0.619,0.954,1.0,1.214,1.159,1.286,1.375,1.518,1.027,1.027
Image and Vision Computing,1.159,1.383,1.171,1.027,1.496,1.474,1.578,1.723,1.959,1.581,1.587,1.766,2.671,2.159,2.747,3.103,2.818,3.86,3.86
Expert Systems,0.104,0.652,0.119,0.413,0.717,1.231,0.733,0.684,0.769,0.75,0.761,0.947,1.18,1.43,1.505,1.546,2.587,2.812,2.812
Artificial Intelligence Review,0.562,0.868,0.694,0.634,0.119,0.057,0.429,1.213,1.565,0.895,2.111,1.731,2.627,3.814,5.095,5.747,8.139,9.588,9.588
The Knowledge Engineering Review,1.237,2.179,0.93,1.312,1.588,1.143,1.257,0.545,0.59,0.957,0.766,1.039,1.51,1.07,0.814,1.257,1.115,2.016,2.016
AI Magazine,1.291,1.521,1.0,1.304,0.691,1.018,0.525,0.808,0.726,0.5,0.595,0.628,0.812,1.032,1.316,1.627,1.094,2.524,2.524
Computational Intelligence,1.923,0.532,1.415,1.972,3.31,5.378,0.704,0.971,1.0,0.87,0.673,0.722,0.964,1.352,0.776,1.196,2.33,2.142,2.142
