Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Artificial Intelligence,52.835,33.831,33.797,33.709,37.857,39.6,32.913,33.49,31.366,27.609,37.942,33.961,23.651,19.396,17.876,18.012,17.994,12.656,7.743
Pattern Recognition,59.853,74.833,65.614,48.758,55.21,58.574,50.868,52.068,51.489,44.387,44.264,42.662,40.446,38.124,40.315,43.858,36.651,24.862,16.803
IEEE Transactions on Pattern Analysis and Machine Intelligence,261.893,150.595,132.36,131.472,133.408,119.261,107.4,127.307,133.66,129.455,140.253,117.107,90.649,93.601,131.718,113.008,52.728,43.742,29.175
Pattern Recognition Letters,43.975,46.774,38.838,66.306,69.986,39.677,34.998,45.973,40.29,28.326,27.485,25.683,23.199,19.406,19.768,18.653,17.879,17.055,12.457
Decision Support Systems,32.507,41.864,39.134,46.332,60.717,54.433,47.146,48.281,59.4,58.192,49.478,45.522,42.313,41.078,38.622,34.342,24.971,18.536,12.827
Journal of Automated Reasoning,14.267,13.767,12.512,11.61,25.288,34.718,36.964,23.689,13.879,13.925,14.743,20.746,20.362,10.759,12.032,13.696,7.784,4.61,2.868
Data &amp; Knowledge Engineering,18.203,19.605,24.055,25.922,27.323,30.384,30.748,25.261,19.297,18.695,17.624,14.975,11.391,10.318,11.922,11.043,8.1,5.162,4.439
Chemometrics and Intelligent Laboratory Systems,32.351,27.978,40.532,44.457,28.189,26.831,28.734,27.45,30.091,30.861,27.312,21.506,23.112,23.078,17.884,16.326,14.139,10.832,7.667
International Journal of Pattern Recognition and Artificial Intelligence,14.028,18.459,20.077,11.182,8.474,9.86,16.345,15.486,10.188,10.307,7.587,8.0,9.037,8.406,6.655,6.768,5.753,4.379,2.843
International Journal of Software Engineering and Knowledge Engineering,8.318,7.954,5.306,6.45,9.713,7.239,5.656,5.951,5.838,6.948,6.527,4.752,3.065,4.038,5.511,4.705,5.149,4.15,1.651
International Journal on Artificial Intelligence Tools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Image and Vision Computing,63.286,71.647,47.055,41.073,34.799,29.06,39.151,52.078,48.578,32.777,27.832,29.314,25.91,17.176,21.632,21.522,14.715,11.903,8.471
Expert Systems,15.208,18.536,10.305,8.113,11.065,13.593,9.973,9.432,6.946,5.682,7.319,8.75,11.462,13.344,10.653,8.428,9.105,7.432,4.957
Artificial Intelligence Review,27.203,44.012,49.791,32.759,16.951,14.014,31.371,89.128,75.925,34.889,30.962,37.237,52.468,55.25,39.056,39.403,42.472,39.496,29.098
The Knowledge Engineering Review,55.042,103.2,57.667,43.396,33.054,23.595,12.097,11.554,21.569,21.738,17.468,21.793,24.185,12.164,7.88,8.022,8.528,6.397,4.292
AI Magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,14.544,7.104,6.676,2.07
Computational Intelligence,15.96,27.542,27.945,28.073,23.568,9.061,13.214,9.368,9.917,11.82,29.446,28.117,17.097,14.892,5.573,7.009,8.504,7.273,5.498
Applied Artificial Intelligence,25.561,24.421,18.616,18.973,14.253,12.602,11.276,11.209,10.905,7.912,8.505,10.279,8.253,8.441,13.278,11.258,9.042,8.983,5.096
International Journal of Intelligent Systems,30.547,23.494,17.986,20.986,16.25,16.073,22.349,28.121,24.716,20.14,17.471,22.34,27.021,25.918,25.743,32.562,31.567,23.33,13.607
Computer Speech &amp; Language,31.92,14.882,16.792,30.712,37.309,,19.148,30.014,30.894,22.508,17.535,20.137,19.474,13.407,12.704,12.623,9.291,9.486,7.552
Machine Learning,236.311,186.802,119.371,111.969,93.534,50.98,64.03,66.321,61.409,49.074,34.658,32.187,27.149,21.021,20.914,19.698,14.706,14.753,11.913
International Journal of Approximate Reasoning,21.264,22.017,27.812,25.448,27.739,34.734,34.313,27.375,30.123,30.43,22.197,22.105,18.633,12.421,12.843,13.735,14.465,11.938,7.179
AI EDAM,0,0,56.5,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neural Networks,46.733,39.358,49.402,52.078,45.034,36.337,38.709,40.785,30.196,28.803,32.816,32.631,67.811,68.347,32.979,35.178,34.836,27.279,16.132
Neural Computation,102.724,99.38,62.863,87.037,87.319,47.414,38.311,28.841,24.41,26.268,29.589,26.223,17.085,15.31,24.616,21.886,15.514,13.264,5.88
International Journal of Computer Vision,133.977,551.829,534.721,138.677,111.846,136.346,120.006,126.716,118.556,67.86,96.469,95.96,176.028,169.191,50.022,51.257,42.805,38.346,30.387
Journal of Intelligent &amp; Robotic Systems,14.799,14.872,18.623,19.129,19.891,19.841,21.439,26.245,25.502,22.804,25.112,25.401,23.025,20.073,18.818,15.477,12.378,10.796,6.545
AI Communications,0,0,0,0,0,15.278,13.571,11.0,12.265,11.418,7.156,5.632,5.248,5.5,12.286,11.638,3.962,2.882,1.913
Robotics and Autonomous Systems,46.514,45.692,27.684,30.953,35.348,42.335,46.092,36.181,27.426,28.554,37.468,34.684,31.043,32.842,26.29,21.83,18.121,13.68,8.548
Minds and Machines,9.644,17.507,18.471,13.167,21.412,24.519,18.796,9.548,8.924,10.439,7.808,4.891,2.936,7.543,10.964,11.524,13.397,19.98,15.667
Applied Intelligence,21.48,19.397,17.066,19.247,24.829,24.929,21.977,18.031,16.937,,,19.25,22.591,22.341,19.032,21.837,21.106,15.002,12.015
Journal of Mathematical Imaging and Vision,27.176,73.419,67.153,37.726,37.847,27.434,24.277,24.851,44.808,41.847,16.724,16.727,17.943,15.796,10.848,8.778,6.811,5.613,4.302
Neurocomputing,25.276,22.633,15.809,33.673,34.169,25.799,27.597,27.556,28.068,26.423,26.734,0,0,0,0,0,0,0,0
Journal of Intelligent Information Systems,26.737,31.885,28.354,24.358,25.692,18.109,16.458,14.946,10.328,17.286,19.472,16.01,12.321,11.609,12.424,12.531,11.13,8.71,8.099
Autonomous Robots,82.88,78.045,60.304,45.718,36.576,34.24,50.056,54.022,50.33,56.448,72.356,56.012,27.376,25.969,28.918,27.868,18.677,11.884,7.074
Machine Vision and Applications,24.825,28.425,39.115,31.262,24.731,32.547,30.042,18.322,20.382,23.212,20.291,22.688,21.311,14.265,14.608,10.019,8.801,9.987,6.781
Artificial Intelligence in Medicine,31.648,30.588,34.994,32.788,26.13,28.036,30.514,28.857,26.761,27.672,28.857,23.622,23.977,27.331,27.409,26.585,26.071,23.965,15.922
Neural Computing and Applications,14.095,16.577,21.692,20.471,16.02,14.147,13.52,16.725,17.22,16.177,18.038,23.218,27.563,27.333,26.217,23.33,21.17,17.397,12.767
Knowledge-Based Systems,13.983,12.695,16.931,18.507,22.661,31.956,33.427,40.148,47.59,45.884,47.532,46.014,46.489,46.984,40.599,36.056,32.866,24.596,16.349
Engineering Applications of Artificial Intelligence,30.223,32.359,27.989,28.0,33.995,36.161,36.939,37.584,36.202,36.637,34.505,32.78,29.514,27.441,27.024,28.317,28.63,24.336,16.531
Journal of Experimental &amp; Theoretical Artificial Intelligence,21.805,8.263,9.568,10.0,10.049,13.375,11.061,6.433,8.023,8.316,14.587,18.672,9.986,11.625,16.102,12.246,8.34,8.297,6.381
Connection Science,22.476,22.091,15.804,19.942,16.077,13.7,12.65,8.39,6.769,9.852,14.3,12.943,10.54,7.18,7.519,8.167,8.081,8.842,7.831
Network: Computation in Neural Systems,31.74,30.712,25.972,30.571,31.949,21.5,12.115,8.294,8.421,9.241,7.455,5.579,7.118,7.059,6.062,5.5,3.273,2.4,5.75
Journal of Intelligent Manufacturing,30.576,25.269,25.57,32.505,34.575,33.424,29.574,22.093,20.654,24.137,24.827,26.161,25.837,26.372,26.872,26.063,25.023,27.795,22.654
Expert Systems with Applications,41.118,35.207,46.567,50.653,56.0,51.575,48.078,45.624,39.181,37.638,37.509,41.411,44.815,41.917,39.295,37.851,33.299,27.491,17.485
Annals of Mathematics and Artificial Intelligence,15.07,13.835,14.245,10.526,13.148,13.36,11.052,9.287,10.773,9.341,8.08,9.387,8.591,8.602,7.535,5.303,4.12,3.543,2.524
IEEE Transactions on Knowledge and Data Engineering,57.711,64.52,78.297,69.111,48.641,43.699,44.977,67.84,59.46,34.074,37.54,49.983,44.804,36.693,39.339,35.901,25.51,18.022,11.038
IEEE Transactions on Image Processing,104.143,157.052,129.273,68.631,73.392,68.819,48.945,60.011,69.329,62.43,53.905,43.519,41.739,40.935,41.088,42.86,39.127,30.072,19.032
Evolutionary Computation,114.875,45.403,33.429,36.478,38.0,48.808,44.164,37.056,70.255,76.348,42.312,40.872,34.717,25.681,29.66,26.733,17.042,15.682,13.217
IEEE Transactions on Fuzzy Systems,103.49,68.128,56.558,63.183,67.413,54.849,54.66,64.761,60.109,66.357,68.535,67.447,59.232,46.662,42.021,45.108,40.305,25.995,19.812
Journal of Intelligent &amp; Fuzzy Systems,0,0,0,0,0,0,7.429,8.018,9.167,8.96,9.952,12.242,11.82,9.562,9.441,8.708,,5.435,3.132
Journal of Computer and Systems Sciences International,0,0,0,4.02,4.253,4.0,3.589,4.067,5.284,6.345,5.206,4.799,5.408,4.226,3.445,4.108,3.598,2.737,1.615
Artificial Life,35.772,32.283,30.191,22.013,13.279,11.966,20.482,27.325,20.217,17.227,10.8,11.46,9.053,7.23,10.554,9.064,4.275,5.907,5.41
Integrated Computer-Aided Engineering,15.034,13.241,8.245,9.453,15.449,13.686,7.264,16.164,16.069,9.983,12.763,16.259,21.254,19.475,19.333,21.113,13.943,12.685,9.797
Journal of Artificial Intelligence Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.218,49.038,8.913,7.102
Computer Vision and Image Understanding,59.262,56.254,41.994,55.211,66.556,99.362,76.297,29.824,25.36,19.455,24.212,27.115,23.927,20.212,21.727,22.85,19.649,14.376,8.094
Intelligent Automation &amp; Soft Computing,4.146,7.5,7.83,3.527,3.712,3.738,3.319,3.442,,3.089,4.34,4.74,4.583,5.049,5.256,4.436,2.948,2.973,3.641
IEEE Transactions on Evolutionary Computation,481.366,165.492,101.786,95.086,112.608,94.021,94.413,80.834,71.428,71.1,51.721,58.727,61.584,58.934,50.677,46.228,47.087,35.139,18.848
Computing and Informatics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,3.141,4.182,0,0
Medical Image Analysis,69.134,52.812,52.894,56.718,56.211,80.983,84.8,64.687,61.827,55.836,51.423,45.409,42.678,42.27,83.157,81.193,50.07,44.775,23.006
Neural Processing Letters,25.826,25.959,13.684,13.055,16.857,21.583,18.338,14.797,13.816,17.961,20.648,17.563,16.624,14.838,13.498,12.596,10.776,8.939,6.555
Journal of Heuristics,51.018,46.1,40.0,24.609,28.125,27.056,44.873,43.485,32.279,30.387,21.973,22.515,18.93,14.032,12.882,10.865,9.109,8.088,5.931
Data Mining and Knowledge Discovery,128.529,122.244,103.489,68.66,90.561,73.393,41.262,46.859,57.582,60.32,43.141,37.402,41.459,37.606,30.481,22.188,22.703,23.826,10.213
Autonomous Agents and Multi-Agent Systems,27.696,56.837,76.878,54.436,40.792,37.66,39.355,28.672,22.859,18.985,20.417,20.036,14.143,13.375,12.184,8.217,11.213,8.175,4.101
Soft Computing,8.467,9.891,26.427,22.534,18.973,19.748,27.71,29.888,22.844,18.977,18.233,18.089,17.323,18.758,17.276,16.346,14.836,12.244,9.094
Pattern Analysis and Applications,30.952,28.055,20.11,30.158,29.017,18.105,20.672,25.735,21.257,12.045,11.859,12.115,12.885,11.389,9.479,10.689,10.427,8.222,9.064
Advanced Engineering Informatics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Chemometrics,,72.664,38.516,41.942,32.61,19.981,24.236,22.927,21.532,17.623,10.408,12.866,14.639,9.924,7.187,6.891,6.343,4.953,3.525
Constraints,,15.613,13.438,19.615,16.447,15.487,20.31,16.66,17.927,18.312,12.629,9.351,4.033,5.423,7.148,8.756,9.367,2.083,1.824
IEEE Intelligent Systems,,33.304,29.417,29.573,33.207,29.355,22.881,20.911,19.541,17.109,25.032,23.906,13.386,19.092,20.596,12.874,7.871,8.108,6.462
Knowledge and Information Systems,,,44.687,44.215,37.899,65.406,51.26,25.493,,27.488,26.829,24.819,24.702,22.48,20.325,20.719,13.597,9.302,5.967
International Journal of Information Technology &amp; Decision Making,,,13.398,20.225,18.435,13.91,20.443,,,19.061,15.052,10.525,12.322,16.15,15.15,9.9,8.95,9.756,7.75
Computational Linguistics,,,42.729,40.067,38.329,44.683,37.194,22.344,,55.483,20.78,24.683,25.138,16.707,12.305,10.742,7.137,9.154,6.105
Adaptive Behavior,,,32.146,28.783,28.82,26.92,15.508,13.354,15.36,15.566,13.167,10.597,8.081,9.887,11.2,6.065,5.443,5.012,4.291
Applied Soft Computing,,,26.975,33.288,43.978,54.71,54.244,50.27,47.633,44.178,40.548,39.331,39.452,39.002,36.607,34.376,29.947,24.916,17.727
International Journal of Neural Systems,,,,13.655,22.977,26.802,29.265,33.587,31.476,35.321,35.487,37.193,35.773,29.581,32.043,28.667,21.0,16.135,12.065
Intelligent Data Analysis,,,,11.2,25.025,24.705,9.818,7.847,7.402,7.365,6.767,6.652,6.181,5.712,5.427,5.085,4.634,3.989,2.349
Neural Network World,,,,0,0,0,0,0,0,0,0,5.225,5.155,6.121,6.391,5.466,6.204,5.968,1.2
Cognitive Systems Research,,,,13.346,13.591,10.842,29.127,27.914,16.178,9.714,10.947,11.7,6.297,9.283,,,,16.687,
IEEE Computational Intelligence Magazine,,,,44.437,30.718,11.982,17.034,23.872,16.12,7.903,8.162,13.463,16.768,12.388,12.633,21.136,16.392,7.428,4.971
Journal of Web Semantics,,,,68.34,85.208,93.371,78.191,64.259,35.536,43.588,41.474,21.441,17.512,22.023,20.921,11.213,7.316,6.076,3.981
IET Computer Vision,,,,0,25.583,15.647,14.429,17.435,15.821,14.881,14.4,0,0,0.0,7.333,9.667,3.5,2.523,2.376
International Journal on Document Analysis and Recognition (IJDAR),,,,,38.088,36.449,24.114,24.911,20.423,21.44,27.109,22.057,20.673,17.255,9.711,12.629,14.417,12.255,6.537
International Journal on Semantic Web and Information Systems,,,,,28.057,18.861,82.486,90.97,7.833,22.222,20.128,14.784,13.824,5.865,10.0,7.868,3.964,6.3,5.827
Information Fusion,,,,,50.446,50.943,31.612,24.253,30.809,37.675,47.041,53.899,52.646,56.402,80.048,80.079,58.137,51.248,35.916
Traitement du Signal,,,,,,0,0,0.8,0.514,0.568,0.692,0.364,0.286,0.412,,3.061,5.804,4.653,2.706
Genetic Programming and Evolvable Machines,,,,,,21.261,16.75,35.757,28.614,15.341,12.881,12.564,12.327,10.391,8.267,7.652,8.244,7.83,5.214
Information Technology and Control,,,,,,0,0,0,3.278,2.986,3.13,3.205,3.43,3.129,2.775,2.752,2.94,3.209,2.338
ACM Transactions on Autonomous and Adaptive Systems,,,,,,26.267,35.019,32.042,11.943,13.227,14.966,16.714,15.444,11.049,,,7.175,4.5,
International Journal of Fuzzy Systems,,,,,,0,0,0,0,0,0,0,16.552,14.141,15.06,19.568,18.333,12.649,8.434
Fuzzy Optimization and Decision Making,,,,,,30.167,30.875,38.35,31.341,24.844,33.462,35.04,23.844,17.304,22.609,24.239,15.766,13.66,11.521
Advances in Electrical and Computer Engineering,,,,,,3.328,5.917,6.745,6.274,5.746,5.804,4.963,4.312,3.986,4.852,6.145,4.812,2.673,1.67
International Journal of Applied Mathematics and Computer Science,,,,,,20.957,17.981,14.044,13.203,15.626,15.967,12.744,10.75,0,0,0,0,0,0
Malaysian Journal of Computer Science,,,,,,,0,0,0,0,0,0,0,0,4.789,4.535,3.169,3.0,0
Turkish Journal of Electrical Engineering and Computer Sciences,,,,,,,0,0,0,0,6.823,5.898,5.326,4.823,4.466,4.152,3.783,0,0
The International Arab Journal of Information Technology,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0.0,1.2,1.74,1.301
Journal of Real-Time Image Processing,,,,,,,13.948,10.981,10.94,11.712,11.492,12.628,12.278,12.645,11.319,8.879,8.552,7.497,6.729
Journal of Ambient Intelligence and Smart Environments,,,,,,,14.822,12.341,9.724,7.261,5.667,5.806,5.86,7.214,8.173,6.114,6.507,6.176,2.603
SIAM Journal on Imaging Sciences,,,,,,,230.662,189.417,65.583,45.628,42.674,38.66,29.281,22.994,19.19,17.65,13.141,7.348,4.418
Natural Language Engineering,,,,,,,,10.018,7.964,6.086,5.13,7.098,7.746,7.697,11.376,9.644,4.649,4.255,3.874
Applied Ontology,,,,,,,,18.944,17.481,12.25,9.038,10.056,16.3,14.733,6.731,5.786,6.444,4.485,1.912
Cognitive Computation,,,,,,,,25.902,17.347,16.716,13.787,17.759,24.968,27.466,26.17,,19.268,13.822,11.698
Natural Computing,,,,,,,,,14.924,8.62,9.619,12.989,8.92,6.915,8.079,9.574,7.718,4.923,3.868
International Journal of Bio-Inspired Computation,,,,,,,,,21.25,26.217,23.406,23.544,14.413,15.373,8.565,5.816,6.76,4.731,2.877
Journal on Multimodal User Interfaces,,,,,,,,,17.971,11.159,13.867,13.925,12.391,19.066,20.451,11.783,8.6,8.467,6.911
Swarm Intelligence,,,,,,,,,30.462,31.96,60.32,63.538,29.64,26.308,22.4,15.966,15.032,10.692,5.69
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,,,,,,,,,55.588,48.433,31.393,19.467,20.515,18.333,16.407,35.556,35.152,20.835,11.893
IEEE Transactions on Neural Networks and Learning Systems,,,,,,,,,0,51.787,45.906,48.475,53.868,50.702,52.467,48.766,42.315,31.764,18.968
International Journal of Computational Intelligence Systems,,,,,,,,,,8.336,0,0,3.929,3.929,0,0,0,0,0
IEEE Transactions on Affective Computing,,,,,,,,,,126.066,102.16,62.351,61.681,55.294,43.438,39.0,41.424,30.58,13.857
ACM Transactions on Intelligent Systems and Technology,,,,,,,,,,188.984,27.516,30.415,34.552,24.287,18.973,17.41,27.49,27.268,8.702
IEEE Transactions on Cybernetics,,,,,,,,,,0,64.174,58.185,54.235,56.311,57.34,50.101,41.431,41.921,28.147
IEEE Transactions on Human-Machine Systems,,,,,,,,,,0,22.607,22.421,22.673,23.895,23.074,18.697,13.583,10.022,5.678
Memetic Computing,,,,,,,,,,,16.062,20.208,20.674,16.213,14.667,23.344,22.06,10.368,8.264
IET Biometrics,,,,,,,,,,,16.729,18.692,18.403,15.138,14.33,14.096,13.795,9.071,4.922
Semantic Web,,,,,,,,,,,,18.794,16.054,27.772,28.348,16.054,11.451,9.124,6.354
Frontiers in Neurorobotics,,,,,,,,,,,,21.551,23.59,30.545,29.112,20.497,14.878,11.325,5.385
Journal of Ambient Intelligence and Humanized Computing,,,,,,,,,,,,13.319,14.381,14.476,13.832,14.275,15.733,14.199,9.297
International Journal of Machine Learning and Cybernetics,,,,,,,,,,,,14.248,13.231,15.959,18.188,18.121,16.626,14.805,10.185
Statistical Analysis and Data Mining,,,,,,,,,,,,8.763,7.756,6.203,8.277,8.137,3.675,3.225,2.382
Swarm and Evolutionary Computation,,,,,,,,,,,,53.521,42.598,47.99,47.711,38.118,34.762,30.518,17.243
IET Image Processing,,,,,,,,,,,,,0.0,1.5,9.231,9.15,7.61,5.392,3.84
ACM Transactions on Asian and Low-Resource Language Information Processing,,,,,,,,,,,,,3.826,4.526,5.939,6.543,5.495,4.275,3.646
IEEE Transactions on Cognitive and Developmental Systems,,,,,,,,,,,,,0,7.765,9.639,12.753,13.29,9.071,6.325
Egyptian Informatics Journal,,,,,,,,,,,,,,,21.345,24.188,19.244,11.896,9.886
Big Data Research,,,,,,,,,,,,,,,21.72,17.333,14.068,6.871,5.867
IEEE Transactions on Games,,,,,,,,,,,,,,,0,8.786,7.183,5.145,3.513
International Journal of Interactive Multimedia and Artificial Intelligence,,,,,,,,,,,,,,,,12.534,8.424,7.958,4.37
ACM Transactions on Interactive Intelligent Systems,,,,,,,,,,,,,,,,15.709,11.594,7.484,6.597
Complex &amp; Intelligent Systems,,,,,,,,,,,,,,,,34.524,24.481,22.363,11.856
PeerJ Computer Science,,,,,,,,,,,,,,,,35.597,8.755,8.051,6.393
Artificial Intelligence and Law,,,,,,,,,,,,,,,,,10.929,11.0,9.297
Evolving Systems,,,,,,,,,,,,,,,,,9.706,10.167,7.933
Journal of Artificial Intelligence and Soft Computing Research,,,,,,,,,,,,,,,,,12.077,14.424,12.56
International Journal of Multimedia Information Retrieval,,,,,,,,,,,,,,,,,20.049,9.692,9.378
Nature Machine Intelligence,,,,,,,,,,,,,,,,,57.07,49.348,32.355
Transactions of the Association for Computational Linguistics,,,,,,,,,,,,,,,,,,25.299,12.85
IEEE Transactions on Intelligent Vehicles,,,,,,,,,,,,,,,,,,13.509,10.277
CAAI Transactions on Intelligence Technology,,,,,,,,,,,,,,,,,,19.346,
IEEE Transactions on Emerging Topics in Computational Intelligence,,,,,,,,,,,,,,,,,,10.914,8.911
Machine Learning: Science and Technology,,,,,,,,,,,,,,,,,,14.947,11.063
Advanced Intelligent Systems,,,,,,,,,,,,,,,,,,14.37,11.005
