Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2019 JIF
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","52,888",17.861
Information Fusion,Information Fusion,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","6,409",13.669
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","15,581",11.169
MEDICAL IMAGE ANALYSIS,MEDICAL IMAGE ANALYSIS,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","9,028",11.148
IEEE Transactions on Cybernetics,IEEE Transactions on Cybernetics,2168-2267,2168-2275,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","17,681",11.079
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,0884-8173,1098-111X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","5,796",10.312
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,1941-0034,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","16,974",9.518
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","47,814",9.34
IEEE Computational Intelligence Magazine,IEEE Computational Intelligence Magazine,1556-603X,1556-6048,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,538",9.083
IEEE Transactions on Neural Networks and Learning Systems,IEEE Transactions on Neural Networks and Learning Systems,2162-237X,2162-2388,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","27,880",8.793
IEEE Transactions on Affective Computing,IEEE Transactions on Affective Computing,1949-3045,1949-3045,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,375",7.512
PATTERN RECOGNITION,PATTERN RECOGNITION,0031-3203,1873-5142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","28,857",7.196
Swarm and Evolutionary Computation,Swarm and Evolutionary Computation,2210-6502,2210-6510,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,774",6.912
ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","9,788",6.628
KNOWLEDGE-BASED SYSTEMS,KNOWLEDGE-BASED SYSTEMS,0950-7051,1872-7409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","15,975",5.921
ARTIFICIAL INTELLIGENCE REVIEW,ARTIFICIAL INTELLIGENCE REVIEW,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,229",5.747
INTERNATIONAL JOURNAL OF COMPUTER VISION,INTERNATIONAL JOURNAL OF COMPUTER VISION,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","16,022",5.698
International Journal of Neural Systems,International Journal of Neural Systems,0129-0657,1793-6462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,963",5.604
NEURAL NETWORKS,NEURAL NETWORKS,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","14,065",5.535
APPLIED SOFT COMPUTING,APPLIED SOFT COMPUTING,1568-4946,1872-9681,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","24,071",5.472
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,1873-6793,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","43,958",5.452
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1041-4347,1558-2191,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","13,772",4.935
NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUTING & APPLICATIONS,0941-0643,1433-3058,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","11,375",4.774
DECISION SUPPORT SYSTEMS,DECISION SUPPORT SYSTEMS,0167-9236,1873-5797,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","10,739",4.721
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGRATED COMPUTER-AIDED ENGINEERING,1069-2509,1875-8835,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",665,4.706
Journal of Ambient Intelligence and Humanized Computing,Journal of Ambient Intelligence and Humanized Computing,1868-5137,1868-5145,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,097",4.594
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,1942-4787,1942-4795,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,164",4.476
NEUROCOMPUTING,NEUROCOMPUTING,0925-2312,1872-8286,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","35,692",4.438
International Journal of Fuzzy Systems,International Journal of Fuzzy Systems,1562-2479,2199-3211,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,566",4.406
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIFICIAL INTELLIGENCE IN MEDICINE,0933-3657,1873-2860,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,953",4.383
Fuzzy Optimization and Decision Making,Fuzzy Optimization and Decision Making,1568-4539,1573-2908,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,098",4.319
JOURNAL OF INTELLIGENT MANUFACTURING,JOURNAL OF INTELLIGENT MANUFACTURING,0956-5515,1572-8145,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","4,655",4.311
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0952-1976,1873-6769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","7,561",4.201
