Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Artificial Intelligence,17.0,27.0,31.0,30.0,25.0,23.0,34.0,30.0,27.0,38.0,21.0,27.0,41.0,46.0,54.0,50.0,41.0,51.0,61.0
Pattern Recognition,13.0,10.0,10.0,18.0,15.0,10.0,13.0,15.0,15.0,19.0,15.0,17.0,19.0,18.0,13.0,10.0,14.0,20.0,16.0
IEEE Transactions on Pattern Analysis and Machine Intelligence,2.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0
Pattern Recognition Letters,21.0,19.0,28.0,10.0,9.0,22.0,31.0,19.0,21.0,36.0,37.0,37.0,43.0,45.0,46.0,48.0,42.0,33.0,29.0
Decision Support Systems,24.0,24.0,26.0,19.0,12.0,13.0,17.0,17.0,12.0,10.0,11.0,14.0,16.0,15.0,17.0,23.0,27.0,30.0,26.0
Journal of Automated Reasoning,51.0,55.0,62.0,64.0,49.0,29.0,28.0,53.0,67.0,69.0,68.0,55.0,53.0,80.0,75.0,64.0,93.0,115.0,113.0
Data &amp; Knowledge Engineering,45.0,45.0,45.0,45.0,45.0,34.0,38.0,48.0,54.0,56.0,58.0,71.0,84.0,82.0,76.0,78.0,90.0,108.0,96.0
Chemometrics and Intelligent Laboratory Systems,25.0,36.0,24.0,21.0,41.0,42.0,44.0,41.0,34.0,31.0,38.0,53.0,44.0,36.0,53.0,55.0,56.0,62.0,62.0
International Journal of Pattern Recognition and Artificial Intelligence,53.0,48.0,48.0,66.0,74.0,76.0,65.0,65.0,76.0,78.0,90.0,95.0,89.0,89.0,102.0,103.0,108.0,118.0,114.0
International Journal of Software Engineering and Knowledge Engineering,57.0,60.0,67.0,71.0,73.0,78.0,84.0,86.0,89.0,92.0,96.0,106.0,110.0,108.0,107.0,114.0,111.0,121.0,127.0
International Journal on Artificial Intelligence Tools,59.0,62.0,68.0,74.0,77.0,82.0,87.0,90.0,93.0,100.0,104.0,110.0,113.0,114.0,116.0,122.0,129.0,135.0,131.0
Image and Vision Computing,12.0,13.0,19.0,26.0,30.0,37.0,24.0,14.0,17.0,29.0,35.0,32.0,32.0,53.0,39.0,40.0,52.0,56.0,53.0
Expert Systems,47.0,47.0,63.0,70.0,71.0,69.0,79.0,77.0,86.0,96.0,92.0,94.0,83.0,71.0,82.0,94.0,78.0,93.0,94.0
Artificial Intelligence Review,34.0,23.0,17.0,34.0,60.0,65.0,36.0,5.0,3.0,27.0,31.0,23.0,10.0,8.0,16.0,12.0,8.0,6.0,5.0
The Knowledge Engineering Review,16.0,7.0,13.0,24.0,35.0,49.0,75.0,71.0,45.0,49.0,61.0,51.0,37.0,75.0,95.0,98.0,85.0,99.0,100.0
AI Magazine,59.0,62.0,68.0,74.0,77.0,82.0,87.0,90.0,93.0,100.0,104.0,110.0,113.0,114.0,58.0,60.0,100.0,98.0,122.0
Computational Intelligence,46.0,37.0,38.0,43.0,53.0,77.0,72.0,78.0,77.0,73.0,33.0,33.0,61.0,62.0,106.0,101.0,86.0,96.0,88.0
Applied Artificial Intelligence,38.0,40.0,50.0,58.0,67.0,72.0,76.0,72.0,73.0,88.0,86.0,89.0,92.0,88.0,66.0,76.0,79.0,77.0,92.0
International Journal of Intelligent Systems,31.0,41.0,52.0,51.0,63.0,60.0,51.0,38.0,41.0,51.0,60.0,48.0,31.0,32.0,32.0,24.0,20.0,25.0,23.0
Computer Speech &amp; Language,26.0,52.0,55.0,38.0,27.0,,58.0,32.0,29.0,47.0,59.0,57.0,54.0,69.0,69.0,68.0,76.0,71.0,63.0
Machine Learning,3.0,2.0,4.0,3.0,4.0,15.0,9.0,8.0,9.0,15.0,26.0,30.0,30.0,41.0,42.0,45.0,53.0,40.0,32.0
International Journal of Approximate Reasoning,44.0,44.0,39.0,46.0,44.0,28.0,32.0,42.0,33.0,32.0,48.0,49.0,56.0,73.0,68.0,63.0,54.0,55.0,64.0
AI EDAM,59.0,62.0,15.0,13.0,77.0,82.0,87.0,90.0,93.0,100.0,104.0,110.0,113.0,114.0,116.0,122.0,129.0,135.0,131.0
Neural Networks,19.0,25.0,18.0,16.0,18.0,26.0,25.0,22.0,32.0,34.0,29.0,29.0,3.0,3.0,19.0,20.0,16.0,15.0,19.0
Neural Computation,9.0,8.0,11.0,5.0,6.0,18.0,26.0,36.0,42.0,41.0,32.0,35.0,62.0,60.0,33.0,37.0,48.0,49.0,82.0
International Journal of Computer Vision,4.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,6.0,3.0,2.0,1.0,1.0,7.0,5.0,7.0,7.0,3.0
Journal of Intelligent &amp; Robotic Systems,50.0,53.0,49.0,57.0,57.0,55.0,53.0,44.0,39.0,46.0,42.0,38.0,45.0,43.0,51.0,59.0,65.0,63.0,72.0
AI Communications,59.0,62.0,68.0,74.0,77.0,63.0,70.0,73.0,70.0,75.0,93.0,100.0,102.0,102.0,73.0,74.0,119.0,128.0,123.0
Robotics and Autonomous Systems,20.0,21.0,40.0,37.0,29.0,21.0,18.0,27.0,37.0,35.0,24.0,26.0,24.0,21.0,29.0,39.0,40.0,46.0,52.0
Minds and Machines,55.0,49.0,51.0,62.0,56.0,48.0,59.0,76.0,80.0,77.0,89.0,104.0,111.0,92.0,80.0,75.0,62.0,28.0,21.0
Applied Intelligence,43.0,46.0,53.0,56.0,51.0,46.0,52.0,60.0,60.0,,,60.0,47.0,39.0,49.0,38.0,32.0,37.0,31.0
Journal of Mathematical Imaging and Vision,35.0,11.0,9.0,28.0,26.0,39.0,47.0,50.0,20.0,22.0,63.0,67.0,58.0,58.0,81.0,91.0,101.0,105.0,99.0
Neurocomputing,39.0,42.0,56.0,31.0,32.0,45.0,46.0,40.0,36.0,40.0,41.0,110.0,113.0,114.0,116.0,122.0,129.0,135.0,131.0
Journal of Intelligent Information Systems,36.0,31.0,36.0,48.0,47.0,58.0,64.0,66.0,75.0,60.0,55.0,70.0,80.0,77.0,71.0,71.0,70.0,81.0,56.0
Autonomous Robots,10.0,9.0,12.0,20.0,28.0,30.0,14.0,13.0,16.0,11.0,4.0,8.0,29.0,31.0,24.0,27.0,38.0,58.0,66.0
Machine Vision and Applications,40.0,34.0,27.0,36.0,52.0,32.0,40.0,59.0,51.0,45.0,53.0,45.0,48.0,66.0,62.0,82.0,81.0,68.0,68.0
Artificial Intelligence in Medicine,28.0,33.0,30.0,33.0,46.0,38.0,39.0,35.0,38.0,37.0,34.0,42.0,38.0,28.0,26.0,29.0,24.0,23.0,20.0
Neural Computing and Applications,52.0,50.0,46.0,52.0,65.0,64.0,71.0,62.0,59.0,64.0,57.0,44.0,28.0,27.0,30.0,34.0,31.0,32.0,27.0
Knowledge-Based Systems,54.0,57.0,54.0,59.0,55.0,33.0,33.0,23.0,19.0,17.0,12.0,13.0,11.0,11.0,12.0,16.0,19.0,21.0,18.0
Engineering Applications of Artificial Intelligence,32.0,29.0,37.0,44.0,33.0,27.0,29.0,25.0,23.0,25.0,27.0,28.0,26.0,26.0,27.0,26.0,22.0,22.0,17.0
Journal of Experimental &amp; Theoretical Artificial Intelligence,42.0,59.0,64.0,68.0,72.0,70.0,77.0,85.0,82.0,87.0,69.0,63.0,87.0,76.0,57.0,72.0,88.0,83.0,76.0
Connection Science,41.0,43.0,57.0,54.0,64.0,67.0,73.0,80.0,87.0,80.0,71.0,78.0,86.0,95.0,97.0,96.0,91.0,80.0,59.0
Network: Computation in Neural Systems,27.0,32.0,43.0,39.0,37.0,51.0,74.0,81.0,81.0,83.0,91.0,101.0,96.0,96.0,104.0,110.0,124.0,132.0,85.0
