DOI,Título,Autores,Año,Citas,Revista
10.1016/s0933-3657(11)00037-6,Editorial Board,,2011,0,Artificial Intelligence in Medicine
10.1016/j.artmed.2012.03.005,Acute leukemia classification by ensemble particle swarm model selection,Hugo Jair Escalante and Manuel Montes-y-Gómez and Jesús A. González and Pilar Gómez-Gil and Leopoldo Altamirano and Carlos A. Reyes and Carolina Reta and Alejandro Rosales,2012,55,Artificial Intelligence in Medicine
10.1016/j.artmed.2008.03.002,Supervised pattern recognition for the prediction of contrast-enhancement appearance in brain tumors from multivariate magnetic resonance imaging and spectroscopy,Michael C. Lee and Sarah J. Nelson,2008,31,Artificial Intelligence in Medicine
10.1016/j.artmed.2020.101850,CT window trainable neural network for improving intracranial hemorrhage detection by combining multiple settings,Manohar Karki and Junghwan Cho and Eunmi Lee and Myong-Hun Hahm and Sang-Youl Yoon and Myungsoo Kim and Jae-Yun Ahn and Jeongwoo Son and Shin-Hyung Park and Ki-Hong Kim and Sinyoul Park,2020,20,Artificial Intelligence in Medicine
10.1016/j.artmed.2007.07.012,"Multiscale analysis of short term heart beat interval, arterial blood pressure, and instantaneous lung volume time series",Leonardo Angelini and Roberto Maestri and Daniele Marinazzo and Luigi Nitti and Mario Pellicoro and Gian Domenico Pinna and Sebastiano Stramaglia and Salvatore A. Tupputi,2007,54,Artificial Intelligence in Medicine
10.1016/s0933-3657(06)00175-8,Editorial Board,,2007,0,Artificial Intelligence in Medicine
10.1016/s0933-3657(03)00005-8,Formalizing an electronic institution for the distribution of human tissues,J. Vázquez-Salceda and J.A. Padget and U. Cortés and A. López-Navidad and F. Caballero,2003,27,Artificial Intelligence in Medicine
10.1016/j.artmed.2013.04.008,Subpopulation-specific confidence designation for more informative biomedical classification,Chuanlei Zhang and Ralph L. Kodell,2013,5,Artificial Intelligence in Medicine
10.1016/s0933-3657(06)00081-9,Author Index,,2006,0,Artificial Intelligence in Medicine
10.1016/s0933-3657(17)30372-x,Editorial Board,,2017,0,Artificial Intelligence in Medicine
10.1016/s0933-3657(12)00054-1,Editorial Board,,2012,0,Artificial Intelligence in Medicine
10.1016/j.artmed.2005.01.001,The model-modifier approach for knowledge-transfer between artificial neural networks,R MAHAJAN and S BHATIKAR and C DEGROFF,2005,0,Artificial Intelligence in Medicine
10.1016/s0933-3657(02)00003-9,subject index,,2002,0,Artificial Intelligence in Medicine
10.1016/j.artmed.2005.07.002,A landmark extraction method for protein 2DE gel images based on multi-dimensional clustering,Jung Eun Shim and Won Suk Lee,2005,1,Artificial Intelligence in Medicine
10.1016/s0933-3657(15)00031-7,Editorial Board,,2015,0,Artificial Intelligence in Medicine
10.1016/j.artmed.2012.08.005,Assessing and combining repeated prognosis of physicians and temporal models in the intensive care,Lilian Minne and Tudor Toma and Evert de Jonge and Ameen Abu-Hanna,2013,5,Artificial Intelligence in Medicine
10.1016/j.artmed.2013.09.004,Data structure-guided development of electrocardiographic signal characterization and classification,Adam Gacek,2013,3,Artificial Intelligence in Medicine
10.1016/s0933-3657(09)00086-4,Editorial Board,,2009,0,Artificial Intelligence in Medicine
10.1016/s0933-3657(11)00111-4,Editorial Board,,2011,0,Artificial Intelligence in Medicine
10.1016/j.artmed.2014.03.006,De-identification of health records using Anonym: Effectiveness and robustness across datasets,Guido Zuccon and Daniel Kotzur and Anthony Nguyen and Anton Bergheim,2014,15,Artificial Intelligence in Medicine
