DOI,Título,Autores,Año,Citas,Revista
10.9781/ijimai.2015.331,A 3D Visual Interface for Critiquing-based Recommenders: Architecture and Interaction,David Contreras and María Salamó and Inmaculada Rodríguez and Anna Puig,2015,2,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2020.03.004,Innovation and Challenges of Blockchain in Banking: A Scientometric View,R Arjun and K R Suprabha,2020,9,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2018.01.002,Spectral Restoration Based Speech Enhancement for Robust Speaker Identification,Nasir Saleem and Tayyaba Gul Tareen,2018,1,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2019.10.002,SOLAM: A Novel Approach of Spatial Aggregation in SOLAP Systems,Farah Amina Zemri and Hamdadou Djamila,2019,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2015.354,Checking RTECTL properties of STSs via SMT-based Bounded Model Checking,Agnieszka Zbrzezny and Andrzej Zbrzezny,2015,1,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2021.06.002,Eye-Tracking Signals Based Affective Classification Employing Deep Gradient Convolutional Neural Networks,Yuanfeng Li and Jiangang Deng and Qun Wu and Ying Wang,2021,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2017.446,Handwritten Character Recognition Based on the Specificity and the Singularity of the Arabic Language,Youssef Boulid and Abdelghani Souhar and Mohamed Youss Elkettani,2017,2,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2019.05.001,Performance Enhancement of Wind Farms Using Tuned SSSC Based on Artificial Neural Network,Yousry Ibrahim and Salah Kamel and Ahmed Rashad and Loai Nasrat and Francisco Jurado,2019,17,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2015.356,Building Real-Time Collaborative Applications with a Federated Architecture,Pablo Ojanguren-Menendez and Antonio Tenorio-Fornés and Samer Hassan,2015,1,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2021.04.007,Dynamic Generation of Investment Recommendations Using Grammatical Evolution,Carlos Martín and David Quintana and Pedro Isasi,2021,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2021.02.009,Efficient and Robust Model Benchmarks with Item Response Theory and Adaptive Testing,Hao Song and Peter Flach,2021,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2018.10.003,Removing Unclassified Hand Tremor Motion from Computer Mouse Input with Neural Networks,Stephen Mack,2018,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2010.137,Modeling And Comparison Study Of Modules In Open Source Lms Platforms With Cmapstool,Carlos Enrique Montenegro-Marin and Juan Manuel Cueva-Lovelle and Oscar Sanjuan-Martinez and Paulo Alonso Gaona-Garc�a,2012,3,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2018.02.010,"A Study on Persuasive Technologies. The Relationship between User Emotions, Trust and Persuasion",Wan Nooraishya Wan Ahmad and Nazlena Mohamad Ali,2018,3,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2017.03.008,Big Data and Public Health Systems: Issues and Opportunities,David Rojas and Javier Carnicero,2017,2,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2022.11.009,Editor's Note,Rubén González-Crespo,2022,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2022.10.001,Marketing Intelligence: Boom or Bust of Service Marketing?,Jan Lies,2022,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2022.08.009,Electromiographic Signal Processing Using Embedded Artificial Intelligence: An Adaptive Filtering Approach,Daniel Proaño-Guevara and Xiomara Patricia Blanco Valencia and Paul D. Rosero-Montalvo and Diego H. Peluffo-Ordóñez,2022,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2019.01.001,A Low Cost and Computationally Efficient Approach for Occlusion Handling in Video Surveillance Systems,Rakesh Chandra Joshi and Adithya Gaurav Singh and Mayank Joshi and Sanjay Mathur,2019,6,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2022.05.001,Modulating the Gameplay Challenge Through Simple Visual Computing Elements: A Cube Puzzle Case Study,Jose Ribelles and Angeles Lopez and V. Javier Traver,2022,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2021.11.001,Obtaining Anti-Missile Decoy Launch Solution from a Ship Using Machine Learning Techniques,Ramón Touza and Javier Martínez Torres and María Álvarez and Javier Roca,2021,1,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2021.08.002,Emergent Models for Moral AI Spirituality,Mark Graves,2021,1,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2021.05.006,Bayesian Knowledge Tracing for Navigation through Marzano’s Taxonomy,Francisco Cervantes-Pérez and Joaquin Navarro-Perales and Ana L. Franzoni-Velázquez and Luis Valentín,2021,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2016.375,Linear Temporal Logic-based Mission Planning,Anil Kumar and Rahul Kala,2016,1,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2014.255,An Entrepreneurial Well-being Model based on GEM Data for Spain,José Manuel Sáiz-Álvarez and Alicia Corduras Martínez and Carlos Cuervo-Arango Martínez,2014,9,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2016.370,IJIMAI Editor's Note - Vol. 3 Issue 7,Oscar Sanjuan-Martinez,2016,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2012.161,A Useful Metaheuristic for Dynamic Channel Assignment in Mobile Cellular Systems,Deepak Kumar Singh and K. Srinivas and D. Bhagwan Das,2012,1,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2014.315,An Effective Approach for Mobile ad hoc Network via I-Watchdog Protocol,Nidhi Lal,2014,5,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2017.11.001,Novel Clustering Method Based on K-Medoids and Mobility Metric,Y. Hamzaoui and M. Amnai and A. Choukri and Y. Fakhri,2017,3,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2014.274,Personality and Education Mining based Job Advisory System,Rajendra Choudhary and Rajul Kukreja and Nitika Jain and Shikha Jain,2014,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2015.342,ICTs and School Education,Nuria Aris and Lara Orcos,2015,4,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2020.09.002,A Fine-Grained Model to Assess Learner-Content and Methodology Satisfaction in Distance Education,Magdalena Cantabella and Raquel Martínez-España and Belén López and Andrés Muñoz,2020,1,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2017.4411,Distributed Search Systems with Self-Adaptive Organizational Setups,Friederike Wall,2017,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2017.10.004,Object Detection and Tracking using Modified Diamond Search Block Matching Motion Estimation Algorithm,Apurva Samdurkar and Shailesh Kamble and Nileshsingh Thakur and Akshay Patharkar,2017,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2021.02.005,No App is an Island: Collective Action and Sustainable Development Goal-Sensitive Design,Steph Pitt and Marlína van Meelis Lacey and Ed Scaife and Jeremy Pitt,2021,2,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2022.07.001,An EEG Signal Recognition Algorithm During Epileptic Seizure Based on Distributed Edge Computing,Shi Qiu and Keyang Cheng and Tao Zhou and Rabia Tahir and Liang Ting,2022,1,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2016.4213,Design and Implementation of a Combinatorial Optimization Multi-population Meta-heuristic for Solving Vehicle Routing Problems,Eneko Osaba and Fernando Díaz,2016,1,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2016.373,Query Migration from Object Oriented World to Semantic World,Nassima Soussi and Mohamed Bahaj,2016,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2016.410,IJIMAI Editor's Note - Vol. 4 Issue 1,Mohamed Bahaj,2016,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2020.07.001,Multi-sense Embeddings Using Synonym Sets and Hypernym Information from Wordnet,Krishna Siva Prasad Mudigonda and Poonam Sharma,2020,2,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2021.08.014,Editor's Note,Jerry Chun-Wei Lin and Gautam Srivastava and Vicent S. Tseng,2021,0,International Journal of Interactive Multimedia and Artificial Intelligence
10.9781/ijimai.2021.04.008,Computer Entertainment Technologies for the Visually Impaired: An Overview,Manuel López Ibáñez and Alejandro Romero-Hernández and Borja Manero and María Guijarro,2021,1,International Journal of Interactive Multimedia and Artificial Intelligence
