DOI,Título,Autores,Año,Citas,Revista
10.1007/s12193-013-0131-2,Switching Wizard of Oz for the online evaluation of backchannel behavior,Ronald Poppe and Mark ter Maat and Dirk Heylen,2013,1,Journal on Multimodal User Interfaces
10.1007/bf02884430,Realtime and accurate musical control of expression in singing synthesis,Nicolas D’Alessandro and Pascale Woodruff and Yohann Fabre and Thierry Dutoit and Sylvain Le Beux and Boris Doval and Christophe d’Alessandro,2007,8,Journal on Multimodal User Interfaces
10.1007/s12193-015-0180-9,Orientation estimation in modern wearables with visual feature tracking,László Kundra and Péter Ekler and Hassan Charaf,2015,1,Journal on Multimodal User Interfaces
10.1007/s12193-011-0074-4,Art at the edges of materiality,Ina Conradi,2012,1,Journal on Multimodal User Interfaces
10.1007/s12193-017-0252-0,Studying gesture-based interaction on a mobile augmented reality application for co-design activity,Leman Figen Gül,2018,7,Journal on Multimodal User Interfaces
10.1007/s12193-008-0008-y,Multimodal identification and localization of users in a smart environment,Albert Ali Salah and Ramon Morros and Jordi Luque and Carlos Segura and Javier Hernando and Onkar Ambekar and Ben Schouten and Eric Pauwels,2008,13,Journal on Multimodal User Interfaces
10.1007/s12193-011-0058-4,Exploiting on-the-fly interpretation to design technical documents in a mobile context,Sébastien Macé and Eric Anquetil,2011,0,Journal on Multimodal User Interfaces
10.1007/bf02884431,An agent based multicultural tour guide system with nonverbal user interface,Hung-Hsuan Huang and Kateryna Tarasenko and Toyoaki Nishida and Aleksandra Cerekovic and Vjekoslav Levacic and Goranka Zoric and Igor S. Pandzic and Yukiko Nakano,2007,2,Journal on Multimodal User Interfaces
10.1007/s12193-018-0259-1,A natural interface based on intention prediction for semi-autonomous micromanipulation,Laura Cohen and Mohamed Chetouani and Stéphane Régnier and Sinan Haliyo,2018,3,Journal on Multimodal User Interfaces
10.1007/s12193-018-0275-1,Speech communication integrated with other modalities,Alexey Karpov and Iosif Mporas,2018,0,Journal on Multimodal User Interfaces
10.1007/s12193-014-0152-5,From multimodal analysis to real-time interactions with virtual agents,Ronald Poppe and Ronald Böck and Francesca Bonin and Nick Campbell and Iwan de Kok and David Traum,2014,2,Journal on Multimodal User Interfaces
10.1007/s12193-009-0017-5,Real-time motion attention and expressive gesture interfaces,Matei Mancas and Donald Glowinski and Gualtiero Volpe and Antonio Camurri and Pierre Bretéché and Jonathan Demeyer and Thierry Ravet and Paolo Coletta,2008,3,Journal on Multimodal User Interfaces
10.1007/s12193-011-0071-7,Affective transfer computing model based on attenuation emotion mechanism,Zhiguo Shi and Junming Wei and Zhiliang Wang and Jun Tu and Qiao Zhang,2012,8,Journal on Multimodal User Interfaces
10.1007/s12193-020-00360-w,Correction to: The Augmented Movement Platform For Embodied Learning (AMPEL): development and reliability,Lousin Moumdjian and Thomas Vervust and Joren Six and Ivan Schepers and Micheline Lesaffre and Peter Feys and Marc Leman,2021,0,Journal on Multimodal User Interfaces
10.1007/s12193-017-0241-3,Extraction of texture and geometrical features from informative facial regions for sign language recognition,Sunil Kumar and M. K. Bhuyan and Biplab Ketan Chakraborty,2017,4,Journal on Multimodal User Interfaces
10.1007/s12193-022-00387-1,A review on communication cues for augmented reality based remote guidance,Weidong Huang and Mathew Wakefield and Troels Ammitsbøl Rasmussen and Seungwon Kim and Mark Billinghurst,2022,2,Journal on Multimodal User Interfaces
10.1007/s12193-011-0079-z,Interactive sonification of synchronisation of motoric behaviour in social active listening to music with mobile devices,Giovanna Varni and Gaël Dubus and Sami Oksanen and Gualtiero Volpe and Marco Fabiani and Roberto Bresin and Jari Kleimola and Vesa Välimäki and Antonio Camurri,2012,18,Journal on Multimodal User Interfaces
10.1007/bf02884429,Synthesis of expressive facial animations: A multimodal caricatural mirror,Olivier Martin and Irene Kotsia and Ioannis Pitas and Arman Savran and Jordi Adell and Ana Huerta and Raphael Sebbe,2007,0,Journal on Multimodal User Interfaces
10.1007/s12193-019-00317-8,Focused Audification and the optimization of its parameters,Katharina Groß-Vogt and Matthias Frank and Robert Höldrich,2020,2,Journal on Multimodal User Interfaces
10.1007/s12193-020-00346-8,Multimodal interfaces and communication cues for remote collaboration,Seungwon Kim and Mark Billinghurst and Kangsoo Kim,2020,16,Journal on Multimodal User Interfaces
10.1007/s12193-014-0159-y,A comparative study of game mechanics and control laws for an adaptive physiological game,Avinash Parnandi and Ricardo Gutierrez-Osuna,2015,24,Journal on Multimodal User Interfaces
10.1007/s12193-022-00388-0,A survey of challenges and methods for Quality of Experience assessment of interactive VR applications,Sara Vlahovic and Mirko Suznjevic and Lea Skorin-Kapov,2022,5,Journal on Multimodal User Interfaces
10.1007/bf02884427,How really effective are multimodal hints in enhancing visual target spotting? Some evidence from a usability study,Suzanne Kieffer and Noëlle Carbonell,2007,3,Journal on Multimodal User Interfaces
10.1007/s12193-021-00384-w,Importance of force feedback for following uneven virtual paths with a stylus,Federico Fontana and Francesco Muzzolini and Davide Rocchesso,2022,0,Journal on Multimodal User Interfaces
10.1007/s12193-021-00381-z,The effect of eye movement sonification on visual search patterns and anticipation in novices,Maryam Khalaji and Mahin Aghdaei and Alireza Farsi and Alessandro Piras,2022,0,Journal on Multimodal User Interfaces
10.1007/s12193-020-00343-x,Exploring interaction techniques for 360 panoramas inside a 3D reconstructed scene for mixed reality remote collaboration,Theophilus Teo and Mitchell Norman and Gun A. Lee and Mark Billinghurst and Matt Adcock,2020,11,Journal on Multimodal User Interfaces
10.1007/s12193-020-00363-7,Facial expression and action unit recognition augmented by their dependencies on graph convolutional networks,Jun He and Xiaocui Yu and Bo Sun and Lejun Yu,2021,5,Journal on Multimodal User Interfaces
10.1007/s12193-018-0278-y,Interactive sonification of a fluid dance movement: an exploratory study,Emma Frid and Ludvig Elblaus and Roberto Bresin,2019,2,Journal on Multimodal User Interfaces
10.1007/s12193-013-0126-z,Multimodal interaction: a survey from model driven engineering and mobile perspectives,Nadia Elouali and José Rouillard and Xavier Le Pallec and Jean-Claude Tarby,2013,13,Journal on Multimodal User Interfaces
10.1007/s12193-019-00304-z,Spatial-temporal dynamic hand gesture recognition via hybrid deep learning model,Jinghua Li and Huarui Huai and Junbin Gao and Dehui Kong and Lichun Wang,2019,6,Journal on Multimodal User Interfaces
10.1007/s12193-014-0151-6,Empathetic video clip experience through timely multimodal interaction,Myunghee Lee and Gerard Jounghyun Kim,2014,3,Journal on Multimodal User Interfaces
10.1007/s12193-011-0086-0,Naturalness influences the perceived usability and pleasantness of an interface’s sonic feedback,Patrick Susini and Nicolas Misdariis and Guillaume Lemaitre and Olivier Houix,2012,12,Journal on Multimodal User Interfaces
10.1007/s12193-012-0110-z,A multimodal study of answers to disruptions,Brigitte Bigi and Cristel Portes and Agnès Steuckardt and Marion Tellier,2013,3,Journal on Multimodal User Interfaces
10.1007/s12193-013-0128-x,Facial expression-based affective speech translation,Éva Székely and Ingmar Steiner and Zeeshan Ahmed and Julie Carson-Berndsen,2014,6,Journal on Multimodal User Interfaces
10.1007/s12193-015-0177-4,Typing performance evaluation with multimodal soft keyboard completely integrated in commercial mobile devices,Byungkil Han and Kwangtaek Kim,2015,10,Journal on Multimodal User Interfaces
10.1007/s12193-021-00385-9,Preliminary assessment of a multimodal electric-powered wheelchair simulator for training of activities of daily living,Felipe R. Martins and Eduardo L. M. Naves and Yann Morère and Angela A. R. de Sá,2022,2,Journal on Multimodal User Interfaces
10.1007/bf02910053,Preface,Benoit Macq,2007,0,Journal on Multimodal User Interfaces
10.1007/s12193-020-00326-y,Exploring crossmodal perceptual enhancement and integration in a sequence-reproducing task with cognitive priming,Feng Feng and Puhong Li and Tony Stockman,2021,1,Journal on Multimodal User Interfaces
10.1007/s12193-012-0113-9,A kinect-based interface to animate virtual characters,Andrea Sanna and Fabrizio Lamberti and Gianluca Paravati and Felipe Domingues Rocha,2013,12,Journal on Multimodal User Interfaces
10.1007/s12193-020-00323-1,Speech and web-based technology to enhance education for pupils with visual impairment,Jindřich Matoušek and Zdeněk Krňoul and Michal Campr and Zbyněk Zajíc and Zdeněk Hanzlíček and Martin Grůber and Marie Kocurová,2020,5,Journal on Multimodal User Interfaces
10.1007/s12193-018-0289-8,Training doctors’ social skills to break bad news: evaluation of the impact of virtual environment displays on the sense of presence,Magalie Ochs and Daniel Mestre and Grégoire de Montcheuil and Jean-Marie Pergandi and Jorane Saubesty and Evelyne Lombardo and Daniel Francon and Philippe Blache,2019,19,Journal on Multimodal User Interfaces
10.1007/s12193-019-00305-y,GG Interaction: a gaze–grasp pose interaction for 3D virtual object selection,Kunhee Ryu and Joong-Jae Lee and Jung-Min Park,2019,10,Journal on Multimodal User Interfaces
10.1007/s12193-016-0227-6,Non-speech voice for sonic interaction: a catalogue,Alan Del Piccolo and Davide Rocchesso,2017,1,Journal on Multimodal User Interfaces
