DOI,Título,Autores,Año,Citas,Revista
10.2478/jaiscr-2019-0001,Score Level and Rank Level Fusion for Kinect-Based Multi-Modal Biometric System,Md Wasiur Rahman and Fatema Tuz Zohra and Marina L. Gavrilova,2019,8,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2014-0006,Pulse Shape Discrimination of Neutrons and Gamma Rays Using Kohonen Artificial Neural Networks,Tatiana Tambouratzis and Dina Chernikova and Imre Pzsit,2013,16,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2018-0008,Texture and Gene Expression Analysis of the MRI Brain in Detection of Alzheimer’s Disease,Alhadi Bustamam and Devvi Sarwinda and Gianinna Ardenaswari,2018,10,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2016-0014,Gain Design of Quasi-Continuous Exponential Stabilizing Controller for a Nonholonomic Mobile Robot,Shogo Nonaka and Takeshi Tsujimura and Kiyotaka Izumi,2016,5,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0018,Pseudo-Orthogonalization of Memory Patterns for Complex-Valued and Quaternionic Associative Memories,Toshifumi Minemoto and Teijiro Isokawa and Haruhiko Nishimura and Nobuyuki Matsui,2017,10,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0013,Directed Evolution – A New Metaheuristc for Optimization,Corina Rotar and Laszlo Barna Iantovics,2017,13,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0007,Modelling Uncertainties in Multi-Criteria Decision Making using Distance Measure and TOPSIS for Hesitant Fuzzy Sets,Ismat Beg and Tabasam Rashid,2017,15,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2016-0016,Minkowski’s Inequality Based Sensitivity Analysis of Fuzzy Signatures,István Á. Harmati and Ádám Bukovics and László T. Kóczy,2016,6,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2015-0019,A Class of Neuro-Computational Methods for Assamese Fricative Classification,Chayashree Patgiri and Mousmita Sarma and Kandarpa Kumar Sarma,2015,11,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2015-0011,Flatness-Based Adaptive Fuzzy Control Of Spark-Ignited Engines,Gerasimos G. Rigatos and P. Siano,2014,6,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2015-0020,Mutual Learning Using Nonlinear Perceptron,Daisuke Saitoh and Kazuyuki Hara,2015,6,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2019-0002,Applying a Neural Network Ensemble to Intrusion Detection,Simone A. Ludwig,2019,29,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2015-0031,Feature Selection Using Particle Swarm Optimization in Text Categorization,Mehdi Hosseinzadeh Aghdam and Setareh Heidari,2015,68,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2015-0002,Applying LCS To Affective Image Classification In Spatial-Frequency Domain,Po-Ming Lee and Tzu-Chien Hsiao,2014,8,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2015-0023,Chaotic States Induced By Resetting Process In Izhikevich Neuron Model,Sou Nobukawa and Haruhiko Nishimura and Teruya Yamanishi and Jian-Qin Liu,2015,26,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2015-0015,A Priori Approach Of Real-Time Ridesharing Problem With Intermediate Meeting Locations,Kamel Aissat and Ammar Oulamara,2014,12,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0003,A New Mechanism for Data Visualization with Tsk-Type Preprocessed Collaborative Fuzzy Rule Based System,Mukesh Prasad and Yu-Ting Liu and Dong-Lin Li and Chin-Teng Lin and Rajiv Ratn Shah and Om Prakash Kaiwartya,2017,38,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2020-0002,On Training Deep Neural Networks Using a Streaming Approach,Piotr Duda and Maciej Jaworski and Andrzej Cader and Lipo Wang,2020,22,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2020-0001,On-Line Signature Partitioning Using a Population Based Algorithm,Marcin Zalasiński and Krystian Łapa and Krzysztof Cpałka and Krzysztof Przybyszewski and Gary G. Yen,2020,12,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2020-0013,Multi Agent Deep Learning with Cooperative Communication,David Simões and Nuno Lau and Luís Paulo Reis,2020,6,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2018-0022,On Graph Mining With Deep Learning: Introducing Model R for Link Weight Prediction,Yuchen Hou and Lawrence B. Holder,2019,10,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2019-0009,Pattern Classification by Spiking Neural Networks Combining Self-Organized and Reward-Related Spike-Timing-Dependent Plasticity,Sou Nobukawa and Haruhiko Nishimura and Teruya Yamanishi,2019,18,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0002,Kernel Analysis for Estimating the Connectivity of a Network with Event Sequences,Taro Tezuka and Christophe Claramunt,2017,7,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0020,An Integrative Approach to Analyze Eeg Signals and Human Brain Dynamics in Different Cognitive States,Jeffrey Jonathan (Joshua) Davis and Chin-Teng Lin and Grant Gillett and Robert Kozma,2017,13,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0019,Characterization of Symbolic Rules Embedded in Deep DIMLP Networks: A Challenge to Transparency of Deep Learning,Guido Bologna and Yoichi Hayashi,2017,60,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0005,Can Learning Vector Quantization be an Alternative to SVM and Deep Learning? - Recent Trends and Advanced Variants of Learning Vector Quantization for Classification Learning,Thomas Villmann and Andrea Bohnsack and Marika Kaden,2017,38,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2015-0030,Improvement Of Performance Of Japanese P300 Speller By Using Second Display,Yuya Yamamoto and Tomohiro Yoshikawa and Takeshi Furuhashi,2015,9,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2018-fm,Masthead,,2018,0,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2018-0003,Nonlinear Convergence Algorithm: Structural Properties with Doubly Stochastic Quadratic Operators for Multi-Agent Systems,Rawad Abdulghafor and Sherzod Turaev and Akram Zeki and Adamu Abubaker,2018,8,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2016-0002,The Bipolar Choquet Integrals Based On Ternary-Element Sets,Jabbar Abbas,2016,9,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2016-0010,Enhancing Constructive Neural Network Performance Using Functionally Expanded Input Data,João Roberto Bertini Junior and Maria do Carmo Nicoletti,2016,15,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2016-0015,Genetic Algorithm Combined with a Local Search Method for Identifying Susceptibility Genes,Cheng-Hong Yang and Sin-Hua Moi and Yu-Da Lin and Li-Yeh Chuang,2016,14,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2015-0034,ABM with Behavioral Bias and Applications in Simulating China Stock Market,Guocheng Wang and Shiguo Zhang,2015,4,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0006,Swarm Intelligence Algorithm Based on Competitive Predators with Dynamic Virtual Teams,Shiqin Yang and Yuji Sato,2017,9,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2018-0009,An ARMA Type Pi-Sigma Artificial Neural Network for Nonlinear Time Series Forecasting,Esra Akdeniz and Erol Egrioglu and Eren Bas and Ufuk Yolcu,2018,21,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0016,"An English Neural Network that Learns Texts, Finds Hidden Knowledge, and Answers Questions",Yuanzhi Ke and Masafumi Hagiwara,2017,21,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0014,MapReduce and Semantics Enabled Event Detection using Social Media,Peng Yan,2017,12,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2016-0006,Cuckoo Search Algorithm for Optimal Placement and Sizing of Static Var Compensator in Large-Scale Power Systems,Khai Phuc Nguyen and Goro Fujita and Vo Ngoc Dieu,2016,18,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0004,A Survey of Artificial Intelligence Techniques Employed for Adaptive Educational Systems within E-Learning Platforms,Khalid Colchester and Hani Hagras and Daniyal Alghazzawi and Ghadah Aldabbagh,2017,112,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2018-0018,A Continuous-Time Distributed Algorithm for Solving a Class of Decomposable Nonconvex Quadratic Programming,Yan Zhao and Qingshan Liu,2018,5,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2018-0004,Using Particle Swarm Optimization to Accurately Identify Syntactic Phrases in Free Text,George Tambouratzis,2018,14,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0010,Design of Fuzzy Rule-based Classifiers through Granulation and Consolidation,Andri Riid and Jürgo-Sören Preden,2017,28,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2018-0024,Enhancing Island Model Genetic Programming by Controlling Frequent Trees,Keiko Ono and Yoshiko Hanada and Masahito Kumano and Masahiro Kimura,2019,12,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2018-0025,Vehicle Emission Computation Through Microscopic Traffic Simulation Calibrated Using Genetic Algorithm,Yun Wei and Ying Yu and Lifeng Xu and Wei Huang and Jianhua Guo and Ying Wan and Jinde Cao,2019,11,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2014-0022,Quality Parameter Assessment on iris Images,Sisanda Makinana and Tendani Malumedzha and Fulufhelo V. Nelwamondo,2014,8,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2014-0005,Dsmk-Means “Density-Based Split-And-Merge K-Means Clustering Algorithm”,Raed T. Aldahdooh and Wesam Ashour,2013,3,Journal of Artificial Intelligence and Soft Computing Research
