Revista,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021
Artificial Intelligence,3.034,4.483,6.628,9.088,14.05
Pattern Recognition,3.965,5.898,7.196,7.74,8.518
Malaysian Journal of Computer Science,0.65,0.625,0.723,0.622,0.436
International Journal of Neural Systems,4.58,6.4,5.604,5.866,6.325
IEEE Transactions on Pattern Analysis and Machine Intelligence,9.455,17.73,17.861,16.389,24.314
Pattern Recognition Letters,1.954,2.81,3.255,3.756,4.757
Decision Support Systems,3.565,3.847,4.721,5.795,6.969
Journal of Automated Reasoning,1.321,1.172,1.431,0.944,1.15
Data &amp; Knowledge Engineering,1.467,1.583,1.476,1.992,1.5
Chemometrics and Intelligent Laboratory Systems,2.701,2.786,2.895,3.491,4.175
International Journal of Pattern Recognition and Artificial Intelligence,1.029,1.11,1.375,1.373,1.261
International Journal of Software Engineering and Knowledge Engineering,0.397,0.644,0.886,1.47,1.007
International Journal on Artificial Intelligence Tools,1.159,1.286,1.375,1.518,1.027
Knowledge and Information Systems,2.247,2.397,2.936,2.822,2.531
International Journal of Information Technology &amp; Decision Making,1.755,2.862,1.894,2.22,3.508
Image and Vision Computing,2.159,2.733,3.103,2.818,3.86
Expert Systems,1.43,1.505,1.546,2.587,2.812
Artificial Intelligence Review,3.814,5.095,5.747,8.139,9.588
The Knowledge Engineering Review,1.07,0.814,1.257,1.094,2.016
AI Magazine,1.032,1.316,1.627,1.094,2.524
Traitement du Signal,0.057,0.387,1.541,2.589,2.299
Computational Intelligence,1.352,0.776,1.196,2.33,2.142
Applied Artificial Intelligence,0.587,0.988,1.172,1.58,2.777
International Journal of Intelligent Systems,3.363,7.229,10.312,8.709,8.993
Computer Speech &amp; Language,1.776,1.857,2.116,1.899,3.252
Machine Learning,1.855,2.809,2.672,2.94,5.414
Journal of Chemometrics,1.5,1.847,1.633,2.467,2.5
International Journal of Approximate Reasoning,1.766,1.982,2.678,3.816,4.452
AI EDAM,1.045,0.894,1.119,1.671,1.634
Computational Linguistics,1.319,2.13,2.51,2.271,7.778
Neural Networks,7.197,5.785,5.535,8.05,9.657
Neural Computation,1.651,2.261,2.505,2.026,3.278
International Journal of Computer Vision,11.541,6.071,5.698,7.41,13.369
Journal of Intelligent &amp; Robotic Systems,1.583,2.02,2.259,2.646,3.129
AI Communications,0.461,0.765,1.0,0.537,1.029
Robotics and Autonomous Systems,2.638,2.928,2.825,3.12,3.7
Minds and Machines,0.842,1.4,1.855,3.404,5.339
Applied Intelligence,1.983,2.882,3.325,5.086,5.019
Journal of Mathematical Imaging and Vision,1.927,1.603,1.353,1.627,1.627
Neurocomputing,0.536,0.5,0.44,0.829,0.617
Journal of Intelligent Information Systems,1.107,1.589,1.813,1.888,2.504
Autonomous Robots,2.244,3.634,3.602,3.0,3.255
Machine Vision and Applications,1.306,1.788,1.605,2.012,2.983
Artificial Intelligence in Medicine,2.879,3.574,4.383,5.326,7.011
Neural Computing and Applications,4.215,4.664,4.774,5.606,5.102
Knowledge-Based Systems,4.396,5.101,5.921,8.038,8.139
Engineering Applications of Artificial Intelligence,2.819,3.526,4.201,6.212,7.802
Journal of Experimental &amp; Theoretical Artificial Intelligence,1.011,2.111,2.039,2.34,2.296
Connection Science,0.933,0.673,1.042,1.971,0.0
Network: Computation in Neural Systems,0.706,1.0,0.5,1.273,1.5
Journal of Intelligent Manufacturing,3.667,3.535,4.311,6.485,7.136
Expert Systems with Applications,3.768,4.292,5.452,6.954,8.665
Annals of Mathematics and Artificial Intelligence,0.899,1.011,0.778,0.789,1.019
IEEE Transactions on Knowledge and Data Engineering,2.775,3.857,4.935,6.977,9.235
IEEE Transactions on Image Processing,5.072,6.79,9.34,10.856,11.041
Adaptive Behavior,1.0,1.362,0.929,1.942,1.867
Evolutionary Computation,2.388,3.469,3.933,3.277,4.766
IEEE Transactions on Fuzzy Systems,8.415,8.759,9.518,12.029,12.253
Journal of Intelligent &amp; Fuzzy Systems,1.426,1.637,1.851,0.0,1.737
Journal of Computer and Systems Sciences International,0.554,0.513,0.538,0.536,0.722
Artificial Life,0.897,1.608,1.186,0.667,1.717
Integrated Computer-Aided Engineering,3.667,4.904,4.706,4.827,6.137
Journal of Artificial Intelligence Research,1.257,1.82,2.441,2.776,3.635
Computer Vision and Image Understanding,2.391,2.645,3.121,3.876,4.886
Intelligent Automation &amp; Soft Computing,0.652,0.79,1.276,1.647,3.401
Intelligent Data Analysis,0.691,0.612,0.651,0.86,1.321
IEEE Transactions on Evolutionary Computation,8.124,8.508,11.169,11.554,16.497
Neural Network World,0.5,0.957,0.635,1.518,1.304
Turkish Journal of Electrical Engineering and Computer Sciences,0.58,0.625,0.682,0.806,0.853
Computing and Informatics,0.41,0.421,0.496,0.319,0.455
Natural Language Engineering,0.8,1.13,1.465,1.07,1.841
Medical Image Analysis,5.356,8.88,11.148,8.545,13.828
Neural Processing Letters,1.787,2.591,2.891,2.908,2.565
Journal of Heuristics,1.129,1.392,1.577,1.682,2.247
Constraints,0.66,1.106,1.167,1.679,0.583
Data Mining and Knowledge Discovery,2.481,2.879,2.629,3.67,5.406
Autonomous Agents and Multi-Agent Systems,1.176,1.419,1.342,1.431,2.475
Cognitive Systems Research,1.425,1.384,1.902,,
Genetic Programming and Evolvable Machines,1.455,1.333,1.781,1.714,2.522
Information Technology and Control,0.8,0.707,0.905,1.228,0.813
Soft Computing,2.367,2.784,3.05,3.643,3.732
International Journal on Document Analysis and Recognition (IJDAR),1.298,0.846,1.486,2.085,3.87
Pattern Analysis and Applications,1.281,1.41,1.512,2.58,2.307
Advanced Engineering Informatics,2.281,4.091,3.484,3.654,5.177
IEEE Intelligent Systems,2.596,4.464,3.21,3.405,6.744
International Journal on Semantic Web and Information Systems,0.793,1.833,1.742,0.843,1.478
ACM Transactions on Autonomous and Adaptive Systems,1.216,2.66,1.775,0.971,1.913
IEEE Computational Intelligence Magazine,6.611,5.857,9.083,11.356,9.809
International Journal of Fuzzy Systems,2.396,3.085,4.406,4.673,4.085
Information Fusion,6.639,10.716,13.669,12.975,17.564
Natural Computing,0.86,1.33,1.495,1.69,1.504
Fuzzy Optimization and Decision Making,2.022,4.128,4.319,4.128,5.274
Applied Soft Computing,3.907,4.873,5.472,6.725,8.263
Semantic Web,2.224,3.524,3.182,2.214,3.105
Applied Ontology,0.774,0.75,0.852,1.115,1.367
Journal of Web Semantics,1.348,2.429,2.238,1.897,2.77
Advances in Electrical and Computer Engineering,0.699,0.65,1.102,1.221,0.825
International Journal of Applied Mathematics and Computer Science,1.694,1.504,0.967,1.417,2.157
Frontiers in Neurorobotics,2.606,3.0,2.574,2.65,3.493
The International Arab Journal of Information Technology,0.466,0.41,0.467,0.669,0.967
IET Computer Vision,1.087,1.648,1.516,1.95,1.484
IET Image Processing,1.401,2.004,1.995,2.373,1.773
International Journal of Bio-Inspired Computation,2.266,3.395,1.914,3.977,3.295
Journal on Multimodal User Interfaces,1.14,2.02,1.511,1.769,1.694
Journal of Real-Time Image Processing,1.574,2.588,1.968,2.358,2.293
Memetic Computing,1.925,2.674,3.86,5.9,3.577
Cognitive Computation,3.479,4.287,4.307,5.418,4.89
Journal of Ambient Intelligence and Humanized Computing,1.423,1.91,4.594,7.104,3.662
International Journal of Machine Learning and Cybernetics,2.692,3.844,3.753,4.012,4.377
International Journal of Computational Intelligence Systems,2.0,2.153,1.838,1.736,2.259
Journal of Ambient Intelligence and Smart Environments,0.878,1.186,1.595,2.105,2.759
Statistical Analysis and Data Mining,0.865,0.741,1.396,1.051,1.247
Swarm Intelligence,1.52,2.208,2.556,2.143,3.727
SIAM Journal on Imaging Sciences,2.361,2.514,2.313,2.867,1.938
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,1.939,2.541,4.476,7.25,7.558
IEEE Transactions on Affective Computing,4.585,6.288,7.512,10.506,13.99
IET Biometrics,1.836,2.092,1.821,2.588,2.716
ACM Transactions on Intelligent Systems and Technology,2.973,2.861,2.672,4.654,10.489
IEEE Transactions on Neural Networks and Learning Systems,7.982,11.683,8.793,10.451,14.255
IEEE Transactions on Cybernetics,8.803,10.387,11.079,11.448,19.118
IEEE Transactions on Human-Machine Systems,2.563,3.332,3.374,2.968,4.124
Swarm and Evolutionary Computation,3.818,6.33,6.912,7.177,10.267
ACM Transactions on Asian and Low-Resource Language Information Processing,0.339,0.788,1.42,1.413,1.471
IEEE Transactions on Cognitive and Developmental Systems,1.952,2.755,2.667,3.379,4.546
Egyptian Informatics Journal,,2.306,3.119,3.943,4.195
Big Data Research,,2.952,2.673,3.578,3.739
IEEE Transactions on Games,,0.0,1.886,1.851,1.237
International Journal of Interactive Multimedia and Artificial Intelligence,,,2.561,3.137,4.936
ACM Transactions on Interactive Intelligent Systems,,,1.63,2.137,1.887
Complex &amp; Intelligent Systems,,,3.791,4.927,6.7
PeerJ Computer Science,,,3.091,1.392,2.411
Artificial Intelligence and Law,,,,2.667,2.723
Evolving Systems,,,,1.908,2.347
Journal of Artificial Intelligence and Soft Computing Research,,,,2.5,2.675
International Journal of Multimedia Information Retrieval,,,,3.205,2.553
Nature Machine Intelligence,,,,15.508,25.898
Transactions of the Association for Computational Linguistics,,,,,9.194
IEEE Transactions on Intelligent Vehicles,,,,,5.009
IEEE Transactions on Emerging Topics in Computational Intelligence,,,,,4.851
Machine Learning: Science and Technology,,,,,6.013
Advanced Intelligent Systems,,,,,7.298
