Revista,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021
Artificial Intelligence,46.0,54.0,51.0,41.0,49.0
Pattern Recognition,18.0,13.0,10.0,14.0,20.0
Malaysian Journal of Computer Science,114.0,113.0,118.0,126.0,124.0
International Journal of Neural Systems,23.0,20.0,25.0,33.0,33.0
IEEE Transactions on Pattern Analysis and Machine Intelligence,2.0,1.0,1.0,3.0,4.0
Pattern Recognition Letters,45.0,46.0,49.0,42.0,32.0
Decision Support Systems,15.0,17.0,23.0,27.0,29.0
Journal of Automated Reasoning,80.0,75.0,65.0,93.0,113.0
Data &amp; Knowledge Engineering,82.0,76.0,80.0,90.0,106.0
Chemometrics and Intelligent Laboratory Systems,36.0,53.0,56.0,56.0,60.0
International Journal of Pattern Recognition and Artificial Intelligence,89.0,104.0,106.0,109.0,116.0
International Journal of Software Engineering and Knowledge Engineering,108.0,109.0,117.0,112.0,119.0
International Journal on Artificial Intelligence Tools,114.0,119.0,125.0,130.0,133.0
Knowledge and Information Systems,38.0,45.0,44.0,60.0,70.0
International Journal of Information Technology &amp; Decision Making,56.0,59.0,86.0,80.0,67.0
Image and Vision Computing,53.0,39.0,41.0,52.0,54.0
Expert Systems,71.0,84.0,97.0,78.0,91.0
Artificial Intelligence Review,8.0,16.0,12.0,8.0,6.0
The Knowledge Engineering Review,75.0,97.0,101.0,85.0,97.0
AI Magazine,114.0,58.0,61.0,101.0,96.0
Traitement du Signal,113.0,118.0,123.0,108.0,112.0
Computational Intelligence,62.0,108.0,104.0,86.0,94.0
Applied Artificial Intelligence,88.0,66.0,78.0,79.0,75.0
International Journal of Intelligent Systems,32.0,32.0,24.0,20.0,25.0
Computer Speech &amp; Language,69.0,69.0,70.0,76.0,69.0
Machine Learning,41.0,42.0,46.0,53.0,38.0
Journal of Chemometrics,83.0,101.0,105.0,106.0,109.0
International Journal of Approximate Reasoning,73.0,68.0,64.0,54.0,53.0
AI EDAM,114.0,119.0,125.0,130.0,133.0
Computational Linguistics,54.0,72.0,82.0,99.0,71.0
Neural Networks,3.0,19.0,20.0,16.0,15.0
Neural Computation,60.0,33.0,38.0,48.0,47.0
International Journal of Computer Vision,1.0,7.0,5.0,7.0,7.0
Journal of Intelligent &amp; Robotic Systems,43.0,51.0,60.0,65.0,61.0
AI Communications,102.0,73.0,76.0,120.0,126.0
Robotics and Autonomous Systems,21.0,29.0,40.0,40.0,44.0
Minds and Machines,92.0,82.0,77.0,62.0,28.0
Applied Intelligence,39.0,49.0,39.0,32.0,35.0
Journal of Mathematical Imaging and Vision,58.0,83.0,94.0,102.0,103.0
Neurocomputing,114.0,119.0,125.0,130.0,133.0
Journal of Intelligent Information Systems,77.0,71.0,73.0,70.0,79.0
Autonomous Robots,31.0,24.0,27.0,38.0,56.0
Machine Vision and Applications,66.0,62.0,85.0,81.0,66.0
Artificial Intelligence in Medicine,28.0,26.0,29.0,24.0,23.0
Neural Computing and Applications,27.0,30.0,35.0,31.0,31.0
Knowledge-Based Systems,11.0,12.0,16.0,19.0,21.0
Engineering Applications of Artificial Intelligence,26.0,27.0,26.0,22.0,22.0
Journal of Experimental &amp; Theoretical Artificial Intelligence,76.0,57.0,74.0,88.0,81.0
Connection Science,95.0,99.0,99.0,91.0,78.0
Network: Computation in Neural Systems,96.0,106.0,113.0,125.0,130.0
Journal of Intelligent Manufacturing,29.0,28.0,30.0,26.0,13.0
Expert Systems with Applications,14.0,15.0,15.0,18.0,14.0
Annals of Mathematics and Artificial Intelligence,87.0,98.0,115.0,118.0,121.0
IEEE Transactions on Knowledge and Data Engineering,20.0,14.0,17.0,25.0,30.0
IEEE Transactions on Image Processing,16.0,11.0,11.0,13.0,12.0
Adaptive Behavior,84.0,80.0,110.0,111.0,108.0
Evolutionary Computation,33.0,22.0,28.0,43.0,34.0
IEEE Transactions on Fuzzy Systems,12.0,10.0,9.0,12.0,17.0
Journal of Intelligent &amp; Fuzzy Systems,85.0,90.0,96.0,100.0,104.0
Journal of Computer and Systems Sciences International,107.0,115.0,121.0,123.0,127.0
Artificial Life,93.0,85.0,91.0,116.0,102.0
Integrated Computer-Aided Engineering,44.0,47.0,43.0,58.0,48.0
Journal of Artificial Intelligence Research,114.0,119.0,4.0,5.0,77.0
Computer Vision and Image Understanding,42.0,37.0,36.0,35.0,40.0
Intelligent Automation &amp; Soft Computing,104.0,111.0,119.0,127.0,125.0
Intelligent Data Analysis,101.0,110.0,116.0,115.0,120.0
IEEE Transactions on Evolutionary Computation,4.0,6.0,8.0,6.0,8.0
Neural Network World,99.0,105.0,114.0,107.0,101.0
Turkish Journal of Electrical Engineering and Computer Sciences,105.0,114.0,120.0,121.0,133.0
Computing and Informatics,114.0,116.0,122.0,117.0,133.0
Natural Language Engineering,91.0,78.0,88.0,114.0,118.0
Medical Image Analysis,13.0,2.0,2.0,4.0,3.0
Neural Processing Letters,63.0,65.0,71.0,72.0,76.0
Journal of Heuristics,68.0,67.0,81.0,77.0,85.0
Constraints,103.0,102.0,95.0,75.0,131.0
Data Mining and Knowledge Discovery,19.0,21.0,37.0,29.0,24.0
Autonomous Agents and Multi-Agent Systems,70.0,74.0,98.0,69.0,83.0
Cognitive Systems Research,86.0,77.0,66.0,,
Genetic Programming and Evolvable Machines,81.0,94.0,103.0,89.0,88.0
Information Technology and Control,111.0,117.0,124.0,128.0,123.0
Soft Computing,49.0,55.0,55.0,51.0,52.0
International Journal on Document Analysis and Recognition (IJDAR),52.0,87.0,69.0,55.0,51.0
Pattern Analysis and Applications,78.0,89.0,83.0,73.0,82.0
Advanced Engineering Informatics,114.0,119.0,125.0,130.0,133.0
IEEE Intelligent Systems,47.0,43.0,67.0,92.0,84.0
International Journal on Semantic Web and Information Systems,100.0,86.0,102.0,119.0,98.0
ACM Transactions on Autonomous and Adaptive Systems,79.0,81.0,84.0,98.0,114.0
IEEE Computational Intelligence Magazine,74.0,70.0,42.0,45.0,92.0
International Journal of Fuzzy Systems,67.0,60.0,47.0,39.0,50.0
Information Fusion,5.0,3.0,3.0,1.0,1.0
Natural Computing,97.0,96.0,89.0,94.0,110.0
Fuzzy Optimization and Decision Making,51.0,35.0,32.0,46.0,45.0
Applied Soft Computing,17.0,18.0,22.0,21.0,19.0
Semantic Web,24.0,25.0,57.0,68.0,72.0
Applied Ontology,64.0,103.0,112.0,105.0,115.0
Journal of Web Semantics,40.0,41.0,79.0,96.0,100.0
