DOI,Título,Autores,Año,Citas,Revista
10.1016/j.datak.2005.06.003,Masking page reference patterns in encryption databases on untrusted storage,Xi Ma and HweeHwa Pang and Kian-Lee Tan,2006,1,Data &amp; Knowledge Engineering
10.1016/j.datak.2018.12.003,Investigation design: The structural elements of knowledge-seeking efforts,Bryan Weaver and Dieter Pfoser,2019,1,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.02.004,A self-adaptable scheduler for synchronizing transactions in dynamically configurable environments,Maristela Holanda and Angelo Brayner and Sergio Fialho,2008,2,Data &amp; Knowledge Engineering
10.1016/s0169-023x(10)00154-0,Editorial Board,,2011,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.09.003,FCLOS: A client–server architecture for mobile OLAP,Ilias Michalarias and Arkadiy Omelchenko and Hans-J. Lenz,2009,1,Data &amp; Knowledge Engineering
10.1016/s0169-023x(04)00107-7,DEQUE: querying the deep web,D SHESTAKOV and S BHOWMICK and E LIM,2005,16,Data &amp; Knowledge Engineering
10.1016/s0169-023x(01)00036-2,Schemas for web data: a reverse engineering approach,Sourav S. Bhowmick and Wee Keong Ng and Sanjay Madria,2001,3,Data &amp; Knowledge Engineering
10.1016/s0169-023x(04)00058-8,Editorial board,,2004,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.09.002,Simplifying XPath queries for optimization with regard to the elimination of intersect and except operators,Sven Groppe and Jinghua Groppe and Stefan Böttcher,2008,1,Data &amp; Knowledge Engineering
10.1016/s0169-023x(20)30529-2,Editorial Board,,2020,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2009.06.009,Regression output from a remote analysis server,Christine M. O’Keefe and Norm M. Good,2009,14,Data &amp; Knowledge Engineering
10.1016/s0169-023x(01)00032-5,– a dialog based integration of concept and rule reasoners,Mira Balaban and Adi Eyal,2001,7,Data &amp; Knowledge Engineering
10.1016/s0169-023x(02)00198-2,Editorial board,,2003,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2010.03.009,Modeling the evolution of associated data,Jie Tang and Jing Zhang,2010,7,Data &amp; Knowledge Engineering
