DOI,Título,Autores,Año,Citas,Revista
10.3233/ifs-130864,Fuzzy load shedding strategy based on the anticipation of the point of voltage collapse,Kamel Jemai and Hafedh Trabelsi and Abdelaziz Ouederni,2014,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151582,Special fuzzy ellipsoid numbers and expressions of information,Guixiang Wang and Jing Li and Fang Yuan,2015,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-181009,Multinomial Naïve Bayes using similarity based conditional probability,B. Santhi and G.R. Brindha,2019,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169947,Unsupervised anomaly detection in underwater acoustic sensor networks,Anjana P. Das and Sabu M. Thampi,2019,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-182860,Nodal filters and seminodes in equality algebras,Xin Xun and Xiao Long Xin,2019,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-130802,Application of fuzzy subtractive clustering for optimal transient performance of automatic generation control in restructured power system,Hossein Hosseini and Behrooz Tousi and Navid Razmjooy,2014,9,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-162167,Poset valued intuitionistic fuzzy sets,Marija Djukić and Andreja Tepavčevć,2016,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189859,Decoding of graphically encoded numerical digits using deep learning and edge detection techniques,P. V. S. M. S. Kartik and Konjeti B. V. N. S. Sumanth and V. N. V. Sri Ram and G. Jeyakumar,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189719,Dynamic monitoring feedback iteration control for damping-adjustable semi-active suspension systems,Chongchong Li and Jiangyong Xiong and Tingshan Liu and Ziang Zhang,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-190382,Fuzzy based location pinpointed anti-jammer with Knowledged Estimated Localizer for mobile WSN,S. Muthumariappan and S. Selvakumar,2020,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-201989,On twin preserving spanning subgraph,Khola Wahid and Angsuman Das and Anam Rani and Saira Amanat and Muhammad Imran and Usman Ali,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-211664,Low illumination image enhancement based on multi-scale CycleGAN with deep residual shrinkage,Daxin Zhou and Yurong Qian and Yuanyuan Ma and Yingying Fan and Jianeng Yang and Fuxiang Tan,2022,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-210908,Modeling hypotactic structure for Chinese-English neural machine translation of complex sentences,Guoyi Miao and Yufeng Chen and Jian Liu and Jinan Xu and Mingtong Liu and Wenhe Feng,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-130999,A fuzzy based secure QoS routing protocol using ant colony optimization for mobile Ad hoc network,R. Pushpa Lakshmi and A. Vincent Antony Kumar,2014,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179941,Spatial-temporal dynamic simulation of anti-noise urban expansion based on fuzzy intelligent control system and GIS,Zhou Liangliang,2020,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169987,Experience-based Efficient Scheduling algorithm (EXES) for serving requests in cloud using SDN controller,Anuradha Banerjee and D.M. Akbar Hussain,2019,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-141353,Uncertain programming models for capital budgeting subject to experts' estimations,Hui Li and Jin Peng and Shengguo Li,2015,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169141,A meta-learning based framework for building algorithm recommenders: An application for educational arena,Diego García-Saiz and Marta Zorrilla,2017,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-171966,Innovative lightweight encryption algorithm for real-time video,Intisar Al-Mejibli and Sura F. Ismail,2019,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189464,Research on air pollution system based on neural network,Zhiqi Jiang and Xidong Wang,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-2012-0578,Optimization of electrospinning process using intelligent control systems,Deogratias Nurwaha and Xinhou Wang,2013,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179211,Improvement effect of improved particle algorithm on BP neural network cell detection model,Bin Li and Xing Wei and Chao Li and Shuai Ding,2019,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169885,Nonlinear tool traces fast tracing algorithm based on single point laser detection,Nan Pan and Lifeng Kan and Yi Liu and Wei Fu and Zhanwei Hou and Gang Li and Junbin Qian and Xiaodong Fu,2019,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-162248,Degree representation of Banach contraction principle in fuzzymetric spaces1,Zhen-Yu Xiu,2017,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189941,Emergency response model for intelligent logistics system based on resilience theory,Long Wang and Mengqiu Huang and Shiqi Ming and Zongyi Yin,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169252,On the use of the Internet of Things and Web 2.0 in inventory management,Sizakele Mathaba and Matthew Adigun and John Oladosu and Okikayode Oki,2017,18,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-210615,Hybrid approach of baum-welch algorithm and SVM for sensor fault diagnosis in healthcare monitoring system,A.V. Anandhalekshmi and V. Srinivasa Rao and G.R. Kanagachidambaresan,2022,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151802,QoS and rate enhancement in DVB-S2 using fuzzy rule based system,n.m. Atta-ur-Rahman and Ijaz Mansoor Qureshi and Aqdas Naveed Malik and Muhammad Tahir Naseem,2016,13,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-120662,A score function based on relative entropy and its application in intuitionistic normal fuzzy multiple criteria decision making,Jian-qiang Wang and Kang-jian Li and Hong-yu Zhang and Xiao-hong Chen,2013,21,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169205,A fuzzy medical diagnosis based on quantiles of diagnostic measures,Hyemi Choi and Kyungsoo Han and Kyoungho Choi and Jeongyong Ahn,2016,10,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-162209,OR and AND-products of ifp-intuitionistic fuzzy soft sets and their applications in decision making,Faruk Karaaslan and Serkan Karataş,2016,10,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169372,Azimuth information processing optimization method for a magnetically suspended gyroscope,Zhen Shi and Zhiqiang Yang and Kaiying He,2018,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179624,Fuzzy clustering algorithm for time series based on adaptive incremental learning,Wei Wang and Xiaohui Hu and Mingye Wang,2020,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189146,Images super-resolution by optimal deep AlexNet architecture for medical application: A novel DOCALN1,Sudhakar Sengan and L. Arokia Jesu Prabhu and V. Ramachandran and V. Priya and Logesh Ravi and V. Subramaniyaswamy,2020,11,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151669,New type of generalized difference sequence of fuzyy numbers involving lacunary sequences,Mikail Et and Naim L. Braha and Hıfsı Altınok,2015,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-130813,A new class of fuzzy sequences related to the ℓp space defined by Orlicz function,Binod Chandra Tripathy and N.L. Braha and A.J. Dutta,2014,6,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-200598,Single-value neutrosophic cosine measure for evaluation of port logistics competitiveness,Changxing Fan and En Fan and Jihong Chen and Jun Ye and Kang Zhou,2020,5,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189011,Semantic - based service discovery in grid environment,Kun Shang,2020,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179016,A quantitative and text-based characterization of big data research,Vedika Gupta and Vivek Kumar Singh and Udayan Ghose and Pankaj Mukhija,2019,10,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-16868,Models for evaluating the vehicle stability performance with hesitant fuzzy information,Huan Jin,2017,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169319,The optimal geometry parameters and impact of parasitic capacitance and resistance of sub-14nm SOI multi-fin FinFETs,Ke Han and Guohui Qiao and Zhongliang Deng and Qingbo Li and Huashuai Xing,2017,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-131010,A comparative study of soft sets with fuzzy sets and rough sets,Zhi Xiao and Yuan Zou,2014,4,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-2012-0531,A Fuzzy Qualitative Evaluation System: A multi-granular aggregation approach using fuzzy compound linguistic variable,Kevin Kam Fung Yuen,2013,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-211937,Vague multi-attribute group decision-making method based on evidence theory with a new aspect to solve weights,ChunSheng Cui and YanLi Cao,2022,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189021,Diagnosis of colorectal cancer based on imperialist competitive algorithm,B Ratna Raju and G.N Swamy and K. Padma Raju,2020,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-181325,Video text detection based on multi-feature fusion,Bing Xiao and Jing Zhao and Cong Zhao and Junliang Ma,2019,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-171962,Salient foreground detection in urban traffic scenes using the feedback visual background extractor,Hao Li and Yunsheng Zhang and Kaijun Leng and Xinyan Wang,2018,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189345,Intelligent system for sports movement quantitative analysis,Yanhong Ren and Bo Chen and Aizeng Li,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169698,Exploiting abstract change pattern from code changes,Qing Huang and Bo Huang and Zhijun Fang and Meihua Xiao and Ying Yu,2018,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-201476,Research on hesitant fuzzy clustering method based on fuzzy matroids,Hui-Min Xiao and Mei-Qi Wang and Yan-Li Cao and Yu-Jie Guo,2021,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-2012-0515,Fuzzy sliding mode autopilot design for nonminimum phase and nonlinear UAV,A.R. Babaei and M. Mortazavi and M.H. Moradi,2013,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-130990,Application of hat functions to solve linear Fredholm fuzzy integral equation of the second kind,Farshid Mirzaee and Mahmoud Paripour and Mohammad Komak Yari,2014,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-191828,Emergency water supply decision-making of transboundary river basin considering government–public perceived satisfaction,Weiwei Wang and Haiwei Zhou and Lidan Guo,2021,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-161821,Uni-soft hyperideals of ordered semihypergroups,Asghar Khan and Muhammad Farooq and Hidayat Ullah Khan,2018,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-210340,Introducing a trapezoidal interval type-2 fuzzy regression model,Mikaeel Mokhtari and Tofigh Allahviranloo and Mohammad Hassan Behzadi and Farhad Hoseinzadeh Lotfi,2022,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-18933,Finite-time stability and stabilization of interval type-2 fuzzy systems with time delay,Songyi Dian and Weibo Liang and Tao Zhao,2018,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-162121,New concepts of vague competition graphs,Rajab Ali Borzooei and Hossein Rashmanlou and Sovan Samanta and Madhumangal Pal,2016,7,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-15997,T-S fuzzy model based adaptive fuzzy current tracking control of three-phase active power filter,Shixi Hou and Juntao Fei,2016,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-210822,A new multivariable grey model and its application to energy consumption in China,Kai Xu and Xilin Luo and Xinyu Pang,2022,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-17121,Prediction of damage results of complex network under grey information attack,Tao Ren and Miao-Miao Liu and Yan-Jie Xu and Yi-Fan Wang,2018,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-201459,Meta-heuristic inspired by the behavior of the humpback whale tuned by a fuzzy inference system,Allan Christian Krainski Ferrari and Leandro dos Santos Coelho and Gideon Villar Leandro and Cristiano Osinski and Carlos Alexandre Gouvea da Silva,2020,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-219237,Improved argumentative paragraphs detection in academic theses supported with unit segmentation,Jesús Miguel García-Gorrostieta and Aurelio López-López and Samuel González-López and Adrián Pastor López-Monroy,2022,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-161596,A Tauberian theorem for the weighted mean method of improper integrals of fuzzy-number-valued functions,Zerrin Önder and İbrahim Çanak,2017,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-172303,Visual vehicle detection scheme on low-powered embedded GPU,Basharat Hussain and Shah Nawaz and Muhammad Haroon Yousaf,2019,0,Journal of Intelligent &amp; Fuzzy Systems
