Nombre del artículo,Nombre de la revista,Año de publicación,DOI,Número de citas
Destruction and detection of chemical warfare agents,Chemical reviews,2011,10.4324/9781003110408-6,0
Preface: biomimetic inorganic chemistry,Chemical Reviews,2004,10.1021/cr0206364,0
Coordination chemistry of lithium ion: a crystal and molecular structure review,Chemical reviews,1991,10.1002/chin.199139272,0
Introduction to metal–organic frameworks,Chemical reviews,2012,10.1002/9781119460237.ch1,0
Recent advances in the chemistry of unsaturated lactones,Chemical Reviews,1976,10.1002/chin.197706178,0
"Coordination chemistry of thioethers, selenoethers, and telluroethers in transition-metal complexes",Chemical Reviews,1981,10.1021/cr00044a003,0
Recent advances in the chemistry of carborane metal complexes incorporating d-and f-block elements,Chemical reviews,1993,10.1002/chin.199331295,0
Chemical inhibitors of protein kinases,Chemical reviews,2001,10.1021/acschembio.6b01083.s001,0
Polyoxometalates in medicine,Chemical Reviews,1998,10.26599/pom.2022.9140014,0
Quantum mechanical continuum solvation models,Chemical reviews,2005,10.1002/chin.200542292,0
Experimental investigation of radiative association processes as related to interstellar chemistry,Chemical Reviews,1992,10.1021/cr00015a003,0
Review on modern advances of chemical methods for the introduction of a phosphonic acid group,Chemical reviews,2011,10.1021/cr2002646,0
Chemistry of spiroketals,Chemical Reviews,1989,10.1002/chin.199015338,0
Newer aspects of the synthesis and chemistry of nitroxide spin labels,Chemical reviews,1978,10.1002/chin.197823359,0
Organometallic chemistry of vinylidene and related unsaturated carbenes,Chemical Reviews,1991,10.1002/chin.199139315,0
Chemical composition of tobacco and tobacco smoke,Chemical reviews,1968,10.1007/978-1-4757-0462-4_9,0
Chemistry of phosgene,Chemical reviews,1973,10.1016/s0082-495x(07)80025-4,0
Recent advances in poly (pyrazolyl) borate (scorpionate) chemistry,Chemical Reviews,1993,10.1002/chin.199331333,0
Recent advances in the chemistry of nitrogen fixation,Chemical reviews,1978,10.1016/b978-0-08-023942-2.50020-1,0
Chemistry and structural chemistry of phosphides and polyphosphides. 48. Bridging chasms with polyphosphides,Chemical Reviews,1988,10.1021/cr00083a012,0
Introduction and general overview of cyclodextrin chemistry,Chemical reviews,1998,10.1002/chin.199839312,0
Recent developments in the chemistry of polyvalent iodine compounds,Chemical reviews,2002,10.1002/chin.200238268,0
Chemical catalysis by colloids and clusters,Chemical Reviews,1993,10.1002/chin.199411331,0
Molecular interactions in solution: an overview of methods based on continuous distributions of the solvent,Chemical Reviews,1994,10.1002/chin.199508316,0
Chemistry of dioxiranes. 12. Dioxiranes,Chemical Reviews,1989,10.1021/cr00095a013,0
Chem-bioinformatics and QSAR: a review of QSAR lacking positive hydrophobic terms,Chemical Reviews,2001,10.1002/chin.200124268,0
Recent advances in isocyanate chemistry,Chemical Reviews,1972,10.1002/chin.198241158,0
Mechanisms of chemical carcinogenicity and mutagenicity: a review with implications for predictive toxicology,Chemical reviews,2011,10.1021/cr100222q,0
Introduction: molecular recognition,Chemical reviews,1997,10.1016/s1569-2558(08)60141-1,0
Chemical synthesis of β-lactams: asymmetric catalysis and other recent advances,Chemical Reviews,2014,10.1002/chin.201441276,0
Chemistry and biological activity of thiazolidinones,Chemical Reviews,1981,10.1002/chin.198138363,0
Strategies for the conversion of lignin to high-value polymeric materials: review and perspective,Chemical reviews,2016,10.1021/acs.chemrev.5b00345,0
Interactions of histidine and other imidazole derivatives with transition metal ions in chemical and biological systems,Chemical reviews,1974,10.1021/cr60290a003,0
Introduction: delocalization pi and sigma,Chemical Reviews,2005,10.26434/chemrxiv.9733628,0
The chemistry of sulfilimines,Chemical Reviews,1977,10.1007/978-1-4684-2049-4_8,0
Introduction: polyoxometalates multicomponent molecular vehicles to probe fundamental issues and practical problems,Chemical Reviews,1998,10.1021/cr960395y,0
Chemicals from alkynes with palladium catalysts,Chemical reviews,2014,10.1002/chin.201414250,0
C2 symmetry and asymmetric induction,Chemical reviews,1989,10.1002/chin.199015335,0
