"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"Patterns","PATTERNS","2666-3899","2666-3899","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","549","N/A","N/A","0.8","96.84"%,
"International Journal of Software Science and Computational Intelligence-IJSSCI","INT J SOFTW SCI COMP","1942-9045","1942-9037","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","97","N/A","N/A","0.55","0"%,
"AI & Society","AI SOC","0951-5666","1435-5655","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,614","N/A","N/A","0.47","36.78"%,
"Web Intelligence","WEB INTELL","2405-6456","2405-6464","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","90","N/A","N/A","0.12","0"%,
"Granular Computing","GRANULAR COMPUT","2364-4966","2364-4974","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,212","N/A","N/A","1.47","5.67"%,
"MACHINE TRANSLATION","MACH TRANSL","0922-6567","1573-0573","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","220","N/A","N/A","0.32","28.85"%,
"Argument & Computation","ARGUM COMPUT","1946-2166","1946-2174","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","276","N/A","N/A","0.37","62.86"%,
"Kunstliche Intelligenz","KUNSTL INTELL","0933-1875","1610-1987","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","544","N/A","N/A","0.29","33.9"%,
"Intelligenza Artificiale","INTELL ARTIF","1724-8035","2211-0097","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","80","N/A","N/A","0.12","2.86"%,
"Advances in Fuzzy Systems","ADV FUZZY SYST","1687-7101","1687-711X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","392","N/A","N/A","0.56","98.11"%,
"Evolutionary Intelligence","EVOL INTELL","1864-5909","1864-5917","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,031","N/A","N/A","0.39","1.09"%,
"Quantum Machine Intelligence","QUANT MACH INTELL","2524-4906","2524-4914","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","147","N/A","N/A","0.85","43.64"%,
"Journal of Intelligent Systems","J INTELL SYST","0334-1860","2191-026X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","644","N/A","N/A","0.37","55.82"%,
"Big Data and Cognitive Computing","BIG DATA COGN COMPUT","N/A","2504-2289","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","447","N/A","N/A","0.64","96.47"%,
"International Journal of Biometrics","INT J BIOMETRICS","1755-8301","1755-831X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","111","N/A","N/A","0.1","0"%,
"Progress in Artificial Intelligence","PROG ARTIF INTELL","2192-6352","2192-6360","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","837","N/A","N/A","0.35","10.91"%,
"Vietnam Journal of Computer Science","VIETNAM J COMPUT SCI","2196-8888","2196-8896","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","136","N/A","N/A","0.15","100"%,
"Frontiers in Artificial Intelligence","FRONT ARTIF INTELL","N/A","2624-8212","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","483","N/A","N/A","0.55","98.73"%,
"Advances in Human-Computer Interaction","ADV HUM-COMPUT INTER","1687-5893","1687-5907","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","369","N/A","N/A","0.38","97.56"%,
"Multimodal Technologies and Interaction","MULTIMODAL TECHNOLOG","N/A","2414-4088","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","442","N/A","N/A","0.35","97.11"%,
"Journal of Computer Science & Technology","J COMPUT SCI TECHNOL","1666-6046","1666-6038","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","120","N/A","N/A","0.48","69.05"%,
"Machine Learning and Knowledge Extraction","MACH LEARN KNOW EXTR","N/A","2504-4990","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","395","N/A","N/A","0.64","98.57"%,
"Foundations and Trends in Machine Learning","FOUND TRENDS MACH LE","1935-8237","1935-8245","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","3,382","N/A","N/A","6.47","0"%,
"International Journal of Semantic Computing","INT J SEMANT COMPUT","1793-351X","1793-7108","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","159","N/A","N/A","0.12","1.37"%,
"Intelligent Decision Technologies-Netherlands","INTELL DECIS TECHNOL","1872-4981","1875-8843","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","210","N/A","N/A","0.11","0.71"%,
"Foundations of Computing and Decision Sciences","FOUND COMPUT DECIS S","0867-6356","2300-3405","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","198","N/A","N/A","0.11","98.33"%,
"International Journal of Automation and Computing","INT J AUTOM COMPUT","1476-8186","1751-8520","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,527","N/A","N/A","0.6","19.8"%,
"International Journal of Data Science and Analytics","INT J DATA SCI ANAL","2364-415X","2364-4168","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","560","N/A","N/A","0.51","24.84"%,
"International Journal of Applied Pattern Recognition","INT J APPL PATTERN R","2049-887X","2049-8888","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","118","N/A","N/A","0.14","0"%,
"International Journal of Swarm Intelligence Research","INT J SWARM INTELL R","1947-9263","1947-9271","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","218","N/A","N/A","0.25","0"%,
"Applied Computational Intelligence and Soft Computing","APPL COMPUT INTELL S","1687-9724","1687-9732","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","377","N/A","N/A","0.44","100"%,
"International Journal of System Dynamics Applications","INT J SYST DYN APPL","2160-9772","2160-9799","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","257","N/A","N/A","0.37","48.57"%,
"CCF Transactions on Pervasive Computing and Interaction","CCF T PERVAS COMPUT","2524-521X","2524-5228","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","72","N/A","N/A","0.29","13.7"%,
"IEEE Open Journal of Intelligent Transportation Systems","IEEE OPEN J INTEL TR","N/A","2687-7813","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","48","N/A","N/A","0.48","100"%,
