Revista,ISSN,Categoria
Artificial Intelligence,0004-3702,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Pattern Recognition,0031-3203,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Malaysian Journal of Computer Science,0127-9084,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Neural Systems,0129-0657,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Pattern Recognition Letters,0167-8655,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Decision Support Systems,0167-9236,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Automated Reasoning,0168-7433,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Chemometrics and Intelligent Laboratory Systems,0169-7439,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Pattern Recognition and Artificial Intelligence,0218-0014,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Software Engineering and Knowledge Engineering,0218-1940,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal on Artificial Intelligence Tools,0218-2130,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems",0218-4885,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Knowledge and Information Systems,0219-1377,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Information Technology &amp; Decision Making,0219-6220,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Image and Vision Computing,0262-8856,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Expert Systems,0266-4720,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Artificial Intelligence Review,0269-2821,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
The Knowledge Engineering Review,0269-8889,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
AI Magazine,0738-4602,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Traitement du Signal,0765-0019,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Computational Intelligence,0824-7935,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Applied Artificial Intelligence,0883-9514,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Intelligent Systems,0884-8173,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Computer Speech &amp; Language,0885-2308,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Machine Learning,0885-6125,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Chemometrics,0886-9383,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
"Artificial Intelligence for Engineering Design, Analysis and Manufacturing",0890-0604,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Computational Linguistics,0891-2017,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Neural Networks,0893-6080,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Neural Computation,0899-7667,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Computer Vision,0920-5691,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Intelligent &amp; Robotic Systems,0921-0296,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
AI Communications,0921-7126,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Robotics and Autonomous Systems,0921-8890,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Minds and Machines,0924-6495,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Artificial Intelligence and Law,0924-8463,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Mathematical Imaging and Vision,0924-9907,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Neurocomputing,0925-2312,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
"Journal of Logic, Language and Information",0925-8531,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Intelligent Information Systems,0925-9902,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Autonomous Robots,0929-5593,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Machine Vision and Applications,0932-8092,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Artificial Intelligence in Medicine,0933-3657,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Neural Computing and Applications,0941-0643,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Knowledge-Based Systems,0950-7051,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Engineering Applications of Artificial Intelligence,0952-1976,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Connection Science,0954-0091,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Intelligent Manufacturing,0956-5515,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Expert Systems with Applications,0957-4174,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Annals of Mathematics and Artificial Intelligence,1012-2443,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Transactions on Knowledge and Data Engineering,1041-4347,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Transactions on Image Processing,1057-7149,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Adaptive Behavior,1059-7123,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Evolutionary Computation,1063-6560,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Transactions on Fuzzy Systems,1063-6706,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Intelligent &amp; Fuzzy Systems,1064-1246,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Computer and Systems Sciences International,1064-2307,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Artificial Life,1064-5462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Integrated Computer-Aided Engineering,1069-2509,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Artificial Intelligence Research,1076-9757,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Computer Vision and Image Understanding,1077-3142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Intelligent Automation &amp; Soft Computing,1079-8587,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Egyptian Informatics Journal,1110-8665,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
