DOI,Título,Autores,Año,Citas,Revista
10.1142/s0129065706000603,SOME NEW STABILITY PROPERTIES OF DYNAMIC NEURAL NETWORKS WITH DIFFERENT TIME-SCALES,WEN YU and ALEJANDRO CRUZ SANDOVAL,2006,5,International Journal of Neural Systems
10.1142/s0129065707000506,EXISTENCE AND GLOBAL EXPONENTIAL STABILITY OF PERIODIC SOLUTION OF A CLASS OF IMPULSIVE NETWORKS WITH INFINITE DELAYS,YONGHUI XIA and JINDE CAO and MUREN LIN,2007,4,International Journal of Neural Systems
10.1142/s0129065700000053,INDUCTIVE LEARNING APPROACHES TO RAINFALL-RUNOFF MODELLING,CHRISTIAN W. DAWSON and MARTIN R. BROWN and ROBERT L. WILBY,2000,11,International Journal of Neural Systems
10.1142/s0129065717500381,Developmental Approach for Behavior Learning Using Primitive Motion Skills,Farhan Dawood and Chu Kiong Loo,2018,3,International Journal of Neural Systems
10.1142/s0129065709001835,GLOBAL SYNCHRONIZATION IN AN ARRAY OF DISCRETE-TIME NEURAL NETWORKS WITH NONLINEAR COUPLING AND TIME-VARYING DELAYS,JINLING LIANG and ZIDONG WANG and XIAOHUI LIU,2009,20,International Journal of Neural Systems
10.1142/s0129065717820019,Announcement — The 2017 Hojjat Adeli Award for Outstanding Contributions in Neural Systems,,2017,0,International Journal of Neural Systems
10.1142/s0129065703001418,Associative Memory Design Using Overlapping Decomposition and Generalized Brain-State-in-a-Box Neural Networks,Cheolhwan Oh and Stanislaw H. Żak,2003,2,International Journal of Neural Systems
10.1142/s0129065723500090,Driver Drowsiness EEG Detection Based on Tree Federated Learning and Interpretable Network,Xue Qin and Yi Niu and Huiyu Zhou and Xiaojie Li and Weikuan Jia and Yuanjie Zheng,2023,0,International Journal of Neural Systems
10.1142/s0129065723500120,Six-Center Assessment of CNN-Transformer with Belief Matching Loss for Patient-Independent Seizure Detection in EEG,Wei Yan Peh and Prasanth Thangavel and Yuanyuan Yao and John Thomas and Yee-Leng Tan and Justin Dauwels,2023,0,International Journal of Neural Systems
10.1142/s0129065722500174,Both Cross-Patient and Patient-Specific Seizure Detection Based on Self-Organizing Fuzzy Logic,Jiazheng Zhou and Li Liu and Yan Leng and Yuying Yang and Bin Gao and Zonghong Jiang and Weiwei Nie and Qi Yuan,2022,2,International Journal of Neural Systems
10.1142/s0129065717500435,Epileptic Seizure Prediction Using Diffusion Distance and Bayesian Linear Discriminate Analysis on Intracranial EEG,Shasha Yuan and Weidong Zhou and Liyan Chen,2018,50,International Journal of Neural Systems
10.1142/s0129065723500144,Compact Convolutional Neural Network with Multi-Headed Attention Mechanism for Seizure Prediction,Xin Ding and Weiwei Nie and Xinyu Liu and Xiuying Wang and Qi Yuan,2023,0,International Journal of Neural Systems
10.1142/s012906571650012x,Reduction of Delay in Detecting Initial Dips from Functional Near-Infrared Spectroscopy Signals Using Vector-Based Phase Analysis,Keum-Shik Hong and Noman Naseer,2016,98,International Journal of Neural Systems
10.1142/s0129065720030021,Editorial: A Magnificent Journal at the Crossroads,Manuel Graña,2020,0,International Journal of Neural Systems
