DOI,Título,Autores,Año,Citas,Revista
10.1155/2014/357380,Development of a System to Assist Automatic Translation of Hand-Drawn Maps into Tactile Graphics and Its Usability Evaluation,Jianjun Chen and Noboru Takagi,2014,0,Advances in Fuzzy Systems
10.1155/2012/217068,A Hybrid PID-Fuzzy Control for Linear SISO Systems with Variant Communication Delays,Adrian-Bogdan Hanchevici and Monica Patrascu and Ioan Dumitrache,2012,2,Advances in Fuzzy Systems
10.1155/2016/7181706,Research on Fuzzy Control Based Flexible Composite Winding System,He Xiaodong and Shi Yaoyao and Kang Chao,2016,2,Advances in Fuzzy Systems
10.1155/2013/652429,Coding B-Frames of Color Videos with Fuzzy Transforms,Ferdinando Di Martino and Salvatore Sessa,2013,2,Advances in Fuzzy Systems
10.1155/2021/8860634,Designing an Intuitionistic Fuzzy Network Data Envelopment Analysis Model for Efficiency Evaluation of Decision-Making Units with Two-Stage Structures,Nafiseh Javaherian and Ali Hamzehee and Hossein Sayyadi Tooranloo,2021,1,Advances in Fuzzy Systems
10.1155/2013/342805,Fuzzy Retractions of Fuzzy Open Flat Robertson-Walker Space,A. E. El-Ahmady and A. S. Al-Luhaybi,2013,1,Advances in Fuzzy Systems
10.1155/2012/957697,A Hybrid Approach to Failure Analysis Using Stochastic Petri Nets and Ranking Generalized Fuzzy Numbers,Abolfazl Doostparast Torshizi and Jamshid Parvizian,2012,1,Advances in Fuzzy Systems
10.1155/2016/8273019,Type-2 Fuzzy Logic Controller of a Doubly Fed Induction Machine,Keltoum Loukal and Leila Benalia,2016,2,Advances in Fuzzy Systems
10.1155/2016/8308109,Power Frequency Oscillation Suppression Using Two-Stage Optimized Fuzzy Logic Controller for Multigeneration System,Y. K. Bhateshvar and H. D. Mathur,2016,0,Advances in Fuzzy Systems
10.1155/2019/2647157,Multiparameter-Based Fuzzy Logic Health Index Assessment for Oil-Immersed Power Transformers,Edwell Tafara Mharakurwa and Rutendo Goboza,2019,6,Advances in Fuzzy Systems
10.1155/2018/1274969,Fuzzy Dynamic Parameter Adaptation in ACO and PSO for Designing Fuzzy Controllers: The Cases of Water Level and Temperature Control,Fevrier Valdez and Juan Carlos Vazquez and Fernando Gaxiola,2018,19,Advances in Fuzzy Systems
10.1155/2018/3749650,Criterion for Generalized Weakly Fuzzy Invex Monotonocities,Meraj A. Khan and Izhar Ahmad and Abdulrahman Aljohani,2018,1,Advances in Fuzzy Systems
10.1155/2016/3942416,The Lattice Structure of L-Contact Relations,Xueyou Chen,2016,0,Advances in Fuzzy Systems
10.1155/2011/941982,On Lower Separation and Regularity Axioms in Fuzzy Topological Spaces,Amin Saif and Adem Kılıçman,2011,0,Advances in Fuzzy Systems
10.1155/2015/592813,On Normalistic Vague Soft Groups and Normalistic Vague Soft Group Homomorphism,Ganeshsree Selvachandran and Abdul Razak Salleh,2015,2,Advances in Fuzzy Systems
10.1155/2012/920920,Classifying High-Dimensional Patterns Using a Fuzzy Logic Discriminant Network,Nick J. Pizzi and Witold Pedrycz,2012,4,Advances in Fuzzy Systems
10.1155/2020/8814220,2-Quasitotal Fuzzy Graphs and Their Total Coloring,V. N. Srinivasa Rao Repalle and Fekadu Tesgera Agama,2020,0,Advances in Fuzzy Systems
10.1155/2014/183607,Using Trapezoidal Intuitionistic Fuzzy Number to Find Optimized Path in a Network,P. Jayagowri and G. Geetha Ramani,2014,10,Advances in Fuzzy Systems
10.1155/2015/824524,TheI-VCharacteristic Prediction of BCD LV pMOSFET Devices Based on an ANFIS-Based Methodology,Shen-Li Chen,2015,0,Advances in Fuzzy Systems
10.1155/2020/8894850,Mappings and Connectedness on Hesitant Fuzzy Soft Multispaces,A. Kandil and S. A. El-Sheikh and M. Hosny and M. Raafat,2020,0,Advances in Fuzzy Systems
10.1155/2014/197876,Interest Measures for Fuzzy Association Rules Based on Expectations of Independence,Michal Burda,2014,3,Advances in Fuzzy Systems
10.1155/2015/467274,Repairing the Inconsistent Fuzzy Preference Matrix Using Multiobjective PSO,Abba Suganda Girsang and Chun-Wei Tsai and Chu-Sing Yang,2015,4,Advances in Fuzzy Systems
10.1155/2020/8185061,A Strong Law of Large Numbers for Random Sets in Fuzzy Banach Space,R. Ghasemi and A. Nezakati and M. R. Rabiei,2020,1,Advances in Fuzzy Systems
10.1155/2012/785709,A New Time-Invariant Fuzzy Time Series Forecasting Method Based on Genetic Algorithm,Erol Eğrioğlu,2012,20,Advances in Fuzzy Systems
10.1155/2016/4867498,Predicting Geotechnical Investigation Using the Knowledge Based System,Bojan Žlender and Primož Jelušič,2016,0,Advances in Fuzzy Systems
10.1155/2015/898651,An Analytical Approach to Evaluating Nonmonotonic Functions of Fuzzy Numbers,Arthur Seibel and Josef Schlattmann,2015,0,Advances in Fuzzy Systems
10.1155/2015/729072,A Collaborative Framework for Privacy Preserving Fuzzy Co-Clustering of Vertically Distributed Cooccurrence Matrices,Katsuhiro Honda and Toshiya Oda and Daiji Tanaka and Akira Notsu,2015,4,Advances in Fuzzy Systems
10.1155/2019/3693926,On Fuzzy Ordered Hyperideals in Ordered Semihyperrings,O. Kazancı and Ş. Yılmaz and B. Davvaz,2019,1,Advances in Fuzzy Systems
10.1155/2016/2784067,Designing of Vague Logic Based 2-Layered Framework for CPU Scheduler,Supriya Raheja,2016,2,Advances in Fuzzy Systems
10.1155/2019/8953051,Product Acceptance Determination with Measurement Error Using the Neutrosophic Statistics,Muhammad Aslam,2019,8,Advances in Fuzzy Systems
10.1155/2011/695690,Fuzzy Comprehensive Evaluation on the Effect of Measures Operation for Oil-Water Well,Zhi-Bin Liu and Wei Qing and Xin-Hai Kong,2011,2,Advances in Fuzzy Systems
10.1155/2017/4582948,Color Image Segmentation Using Fuzzy C-Regression Model,Min Chen and Simone A. Ludwig,2017,10,Advances in Fuzzy Systems
10.1155/2018/4279236,Optimization of Risk and Return Using Fuzzy Multiobjective Linear Programming,Darsha Panwar and Manoj Jha and Namita Srivastava,2018,2,Advances in Fuzzy Systems
10.1155/2022/3396862,A Guide to Integrating Expert Opinion and Fuzzy AHP When Generating Weights for Composite Indices,Mohammad Tariq Al Fozaie and Hairunnizam Wahid,2022,0,Advances in Fuzzy Systems
10.1155/2012/671851,A Fuzzy Logic-Based Video Subtitle and Caption Coloring System,Mohsen Davoudi and M. B. Menhaj and Nima Seif Naraghi and Ali Aref and Majid Davoodi and Mehdi Davoudi,2012,2,Advances in Fuzzy Systems
10.1155/2016/6132768,A Novel Method for Optimal Solution of Fuzzy Chance Constraint Single-Period Inventory Model,Anuradha Sahoo and J. K. Dash,2016,3,Advances in Fuzzy Systems
10.1155/2011/216414,Some Classes of Difference Sequence Spaces of Fuzzy Real Numbers Defined by Orlicz Function,Binod Chandra Tripathy and Stuti Borgohain,2011,16,Advances in Fuzzy Systems
10.1155/2011/943161,A New Approach for Solving Fully Fuzzy Linear Systems,Amit Kumar and n.m. Neetu and Abhinav Bansal,2011,19,Advances in Fuzzy Systems
10.1155/2019/5734190,Fuzzy Fractional Evolution Equations and Fuzzy Solution Operators,Atimad Harir and Said Melliani and Lalla Saadia Chadli,2019,12,Advances in Fuzzy Systems
