DOI,Título,Autores,Año,Citas,Revista
10.1142/s1793351x18400020,A Methodology for Improving Vegetation Representation and Health Exploiting a Semantic Robotic System and Its Dynamic Stability Control,"Daniela D’Auria, Fabio Persia",2018,0,International Journal of Semantic Computing
10.1142/s1793351x14400066,Adaptive HTTP Streaming with Temporal Scalability in High Efficiency Video Coding (HEVC),Sachin Deshpande,2014,0,International Journal of Semantic Computing
10.1142/s1793351x09000884,R2D: A FRAMEWORK FOR THE RELATIONAL TRANSFORMATION OF RDF DATA,"SUNITHA RAMANUJAM, ANUBHA GUPTA, LATIFUR KHAN, BHAVANI THURAISINGHAM, STEVEN SEIDA",2009,3,International Journal of Semantic Computing
10.1142/s1793351x09000811,CONTEXT-AWARENESS AND USER PROFILING IN MOBILE ENVIRONMENTS,"SPYROS PANAGIOTAKIS, MARIA KOUTSOPOULOU, ATHANASSIA ALONISTIOTI",2009,1,International Journal of Semantic Computing
10.1142/s1793351x13500062,SEMANTIC COMPUTING IN SOCIAL MEDIA,DAVID ALFRED OSTROWSKI,2013,0,International Journal of Semantic Computing
10.1142/s1793351x12500067,CONVERTING NATURAL LANGUAGE TEXT SENTENCES INTO SPN REPRESENTATIONS FOR ASSOCIATING EVENTS,"NIKOLAOS BOURBAKIS, MICHAEL MILLS",2012,7,International Journal of Semantic Computing
10.1142/s1793351x08000403,IDENTIFICATION OF NAMES AND ACTIONS OF PRINCIPAL OBJECTS IN TV PROGRAM SEGMENTS USING CLOSED CAPTIONS,"KIKUKA MIURA, ICHIRO YAMADA, HIDEKI SUMIYOSHI, NOBUYUKI YAGI",2008,0,International Journal of Semantic Computing
10.1142/s1793351x18400081,A Process Ontology for a Confectionery Service Robot,"Sajan Raj Ojha, Subhashis Das, Sampada Karanjit",2018,0,International Journal of Semantic Computing
10.1142/s1793351x07000068,EDITORIAL PREFACE,PHILLIP C.-Y. SHEU,2007,16,International Journal of Semantic Computing
10.1142/s1793351x08000427,GUEST EDITORS' INTRODUCTION,"MEI-LING SHYU, SHU-CHING CHEN",2008,2,International Journal of Semantic Computing
