DOI,Título,Autores,Año,Citas,Revista
10.1515/jisys.2010.19.4.i,CONTENTS,,2010,0,Journal of Intelligent Systems
10.1515/jisys-2014-frontmatter3,Frontmatter,,2014,0,Journal of Intelligent Systems
10.1515/jisys.2007.16.4.339,Genetic Optimization Methods for Traffic Engineering Problems in Multi-Service High Speed Optical Networks,"V. Pasias, D.A. Karras, R.C. Papademetriou, B. Prasad",2007,0,Journal of Intelligent Systems
10.1515/jisys-2016-0156,An Efficient Multiclass Medical Image CBIR System Based on Classification and Clustering,Mahabaleshwar S. Kabbur,2018,2,Journal of Intelligent Systems
10.1515/jisys-2019-frontmatter2,Frontmatter,,2019,0,Journal of Intelligent Systems
10.1515/jisys-2017-0121,Software Effort Estimation Using Modified Fuzzy C Means Clustering and Hybrid ABC-MCS Optimization in Neural Network,"Hussain Azath, Marimuthu Mohanapriya, Somasundaram Rajalakshmi",2018,1,Journal of Intelligent Systems
10.1515/jisys-2016-0129,MAX-SAT Problem using Hybrid Harmony Search Algorithm,"Iyad Abu Doush, Amal Lutfi Quran, Mohammed Azmi Al-Betar, Mohammed A. Awadallah",2018,5,Journal of Intelligent Systems
10.1515/jisys.2007.16.2.135,An Intelligent Information Retrieval System using Automatic Word Sense Disambiguation,"P.G. Ramasubramanian, A. Agah, S.E. Gauch",2007,0,Journal of Intelligent Systems
10.1515/jisys-2017-0227,Improving Image Search through MKFCM Clustering Strategy-Based Re-ranking Measure,"A.K. Naveena, N.K. Narayanan",2018,0,Journal of Intelligent Systems
10.1515/jisys.2005.14.4.265,A Hybrid of Search Efficiency Mechanisms: Pruning Learning Heuristic Hybrid (PLH2),Reza Zamani,2005,0,Journal of Intelligent Systems
10.1515/jisys-2015-0159,Multiple Attribute Group Decision-Making Methods Under Hesitant Fuzzy Linguistic Environment,"Xiaodi Liu, Jianjun Zhu, Shitao Zhang, Guodong Liu",2017,2,Journal of Intelligent Systems
10.1515/jisys.2005.14.2-3.99,Stepwise Selection of Artificial Neural Network Models for Time Series Prediction,S.F. Crone,2005,21,Journal of Intelligent Systems
10.1515/jisys-2017-0140,Blind Restoration Algorithm Using Residual Measures for Motion-Blurred Noisy Images,"Mayana Shah, U. D. Dalal",2018,0,Journal of Intelligent Systems
10.1515/jisys-2014-0120,Influential Factors and User Behavior of Mobile Reading,"Yi Zhou, Jianliang Wei, Fei Meng, Fen Jiang",2015,2,Journal of Intelligent Systems
10.1515/jisys.2010.19.4.363,Multi-modal Medical Images Registration Using Differential Geometry and the Hausdorff Distance,"Fahad Hameed Ahmad, Sudha Natarajan",2010,0,Journal of Intelligent Systems
10.1515/jisys.2005.14.1.69,Design and Implementation of SeTiA: Secure Multi Auction System II: Architecture and Implementation Issues,"V.S. Borkar, M.S. Dave, R.K. Shyamasundar",2005,0,Journal of Intelligent Systems
10.1515/jisys-2013-0007,A New Wrapped Ensemble Approach for Financial Forecast,"Yun Ling, BaoLong Yue, Hua Zhang",2014,1,Journal of Intelligent Systems
10.1515/jisys-2017-0104,An Improved Particle Swarm Optimization Algorithm for Global Multidimensional Optimization,"Rkia Fajr, Abdelaziz Bouroumi",2017,4,Journal of Intelligent Systems
10.1515/jisys.2006.15.1-4.233,Toward the Development of a Model for the Adoption of Integration Technologies,"M. Themistocleous, K. Khoumbati, Z. Irani",2006,0,Journal of Intelligent Systems
10.1515/jisys.2006.15.1-4.261,A Parallel Processing Framework for Real-Time Software-Only Video Compression for Broadcast and Mobile Services,"L. Zheng, J. Cosmas",2006,0,Journal of Intelligent Systems
10.1515/jisys.2001.11.4.217,Part-Based Segmentation and Modeling of Range Data by Moving Target,Roberto Pirrone,2001,4,Journal of Intelligent Systems
10.1515/jisys.2001.11.4,n.m.,,2001,0,Journal of Intelligent Systems
10.1515/jisys-2017-0470,Presentation of ACT/R-RBF Hybrid Architecture to Develop Decision Making in Continuous and Non-continuous Data,"Nader Rezazadeh, Touraj Banirostam",2018,0,Journal of Intelligent Systems
10.1515/jisys-2014-0166,Data Stream Quality Evaluation for the Generation of Alarms in the Health Domain,"Saúl Fagúndez, Joaquín Fleitas, Adriana Marotta",2015,2,Journal of Intelligent Systems
10.1515/jisys-2020-0134,Design of tourism package with paper and the detection and recognition of surface defects – taking the paper package of red wine as an example,Congrui Gao,2021,1,Journal of Intelligent Systems
10.1515/jisys.2008.17.1-3.283,Fuzzy Waste Load Allocation Model: Application to a Case Study,"S. Ghosh, H.R. Suresh, P.P. Mujumdar",2008,0,Journal of Intelligent Systems
10.1515/jisys-2017-0423,AGCS Technique to Improve the Performance of Neural Networks,"Kishor Kumar Katha, Suresh Pabboju",2019,0,Journal of Intelligent Systems
10.1515/jisys-2022-0020,Dynamic evaluation of college English writing ability based on AI technology,Xuezhong Wu,2022,3,Journal of Intelligent Systems
10.1515/jisys-2022-0202,Computing the inverse of cardinal direction relations between regions,"Miao Wang, Zhenxi Fang, Weiguang Liu, Xiaotong Wang, Xiaodong Liu, Songyang Li",2022,0,Journal of Intelligent Systems
10.1515/jisys-2022-0004,The application of neural network algorithm and embedded system in computer distance teach system,Qin Qiu,2022,2,Journal of Intelligent Systems
10.1515/jisys-2021-0208,Application of embedded Linux in the design of Internet of Things gateway,"Tao Wang, Li Wang, Pengfei Yan, Renu Popli, Poonam Rani, Rajeev Kumar",2022,0,Journal of Intelligent Systems
10.1515/jisys-2022-0052,A study on automatic correction of English grammar errors based on deep learning,Mengyang Qin,2022,1,Journal of Intelligent Systems
10.1515/jisys-2022-0005,Machine translation of English speech: Comparison of multiple algorithms,"Yijun Wu, Yonghong Qin",2022,0,Journal of Intelligent Systems
10.1515/jisys-2022-0048,A study of an intelligent algorithm combining semantic environments for the translation of complex English sentences,Ping Wang,2022,0,Journal of Intelligent Systems
10.1515/jisys-2022-0043,Convex optimization for additive noise reduction in quantitative complex object wave retrieval using compressive off-axis digital holographic imaging,"B. Lokesh Reddy, Anith Nelleri",2022,0,Journal of Intelligent Systems
10.1515/jisys-2022-0025,Optimal loading method of multi type railway flatcars based on improved genetic algorithm,Zhongliang Yang,2022,0,Journal of Intelligent Systems
10.1515/jisys-2022-0031,College music teaching and ideological and political education integration mode based on deep learning,"Xiaoshu Wang, Suhua Zhao, Jingwen Liu, Liyan Wang",2022,2,Journal of Intelligent Systems
10.1515/jisys-2022-0074,The application of graphic language in animation visual guidance system under intelligent environment,Luning Zhao,2022,0,Journal of Intelligent Systems
