DOI,Título,Autores,Año,Citas,Revista
10.1016/j.patrec.2005.07.002,An enhanced subspace method for face recognition,Annalisa Franco and Alessandra Lumini and Dario Maio and Loris Nanni,2006,15,Pattern Recognition Letters
10.1016/j.patrec.2014.12.010,Gradient operators for feature extraction from omnidirectional panoramic images,Kenji Hara and Kohei Inoue and Kiichi Urahama,2015,10,Pattern Recognition Letters
10.1016/s0167-8655(14)00287-6,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2014,0,Pattern Recognition Letters
10.1016/s0167-8655(02)00249-0,Stochastic pyramid revisited,J.M. Jolion,2003,21,Pattern Recognition Letters
10.1016/j.patrec.2007.11.003,An integer-coded evolutionary approach for mixture maximum likelihood clustering,Mohamad M. Tawfick and Hazem M. Abbas and Hussein I. Shahein,2008,3,Pattern Recognition Letters
10.1016/s0167-8655(13)00390-5,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2014,0,Pattern Recognition Letters
10.1016/s0167-8655(08)00078-0,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2008,0,Pattern Recognition Letters
10.1016/j.patrec.2019.06.010,A general framework for scalable spectral clustering based on document models,Guangliang Chen,2019,3,Pattern Recognition Letters
10.1016/j.patrec.2020.10.014,Class mean vector component and discriminant analysis,Alexandros Iosifidis,2020,0,Pattern Recognition Letters
10.1016/s0167-8655(01)00009-5,A generalized prime-number-based matrix strategy for efficient iconic indexing of symbolic pictures,Ye-In Chang and Bi-Yen Yang and Wei-Horng Yeh,2001,6,Pattern Recognition Letters
10.1016/j.patrec.2017.05.010,A feature descriptor based on the local patch clustering distribution for illumination-robust image matching,Han Wang and Sang Min Yoon and David K. Han and Hanseok Ko,2017,9,Pattern Recognition Letters
10.1016/j.patrec.2018.01.023,An efficient gradient-based model selection algorithm for multi-output least-squares support vector regression machines,Xinqi Zhu and Zhenghong Gao,2018,17,Pattern Recognition Letters
10.1016/j.patrec.2011.09.014,Shape based local thresholding for binarization of document images,Jichuan Shi and Nilanjan Ray and Hong Zhang,2012,20,Pattern Recognition Letters
10.1016/j.patrec.2004.09.033,An improved snake model for building detection from urban aerial images,Jing Peng and Dong Zhang and Yuncai Liu,2005,65,Pattern Recognition Letters
10.1016/j.patrec.2019.06.029,Granger-causality: An efficient single user movement recognition using a smartphone accelerometer sensor,Carlos Aviles-Cruz and Eduardo Rodriguez-Martinez and Juan Villegas-Cortez and Andrés Ferreyra-Ramirez,2019,8,Pattern Recognition Letters
10.1016/s0167-8655(03)00053-9,Pose estimation of SAR imagery using the two dimensional continuous wavelet transform,Lance M. Kaplan and Romain Murenzi,2003,19,Pattern Recognition Letters
10.1016/s0167-8655(02)00388-4,Representation and geometric computation using the extended Gaussian image,Hamid Zouaki,2003,4,Pattern Recognition Letters
10.1016/s0167-8655(12)00084-0,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2012,0,Pattern Recognition Letters
10.1016/j.patrec.2006.07.011,Mean shift algorithm equipped with the intersection of confidence intervals rule for image segmentation,Peng Tie-Gen and Wang Yin-Hua and Wu Ti-Hua,2007,6,Pattern Recognition Letters
10.1016/j.patrec.2012.05.011,Computational Topology in Image Context,Rocio Gonzalez-Diaz and Pedro Real Jurado,2012,0,Pattern Recognition Letters
10.1016/j.patrec.2016.12.018,"A versatile EEG spike detector with multivariate matrix of features based on the linear discriminant analysis, combined wavelets, and descriptors",Edras Pacola and Veronica Quandt and Paulo Liberalesso and Sérgio Pichorim and Fábio Schneider and Humberto Gamba,2017,5,Pattern Recognition Letters
10.1016/j.patrec.2015.02.003,"The nature of the visual field, a phenomenological analysis",Jan Koenderink and Andrea van Doorn and Johan Wagemans,2015,6,Pattern Recognition Letters
10.1016/j.patrec.2006.03.010,Moving object tracking under varying illumination conditions,Chunfeng Shen and Xueyin Lin and Yuanchun Shi,2006,19,Pattern Recognition Letters
10.1016/j.patrec.2012.05.016,Algorithms for a real-time HDR video system,Benjamin Guthier and Stephan Kopf and Wolfgang Effelsberg,2013,6,Pattern Recognition Letters
10.1016/j.patrec.2003.10.001,Self-adaptive design of hidden Markov models,Jie Li and Jiaxin Wang and Yannan Zhao and Zehong Yang,2004,10,Pattern Recognition Letters
10.1016/j.patrec.2019.07.014,MSDH: Matched subspace detector with heterogeneous noise,Xiaochen Yang and Lefei Zhang and Lianru Gao and Jing-Hao Xue,2019,5,Pattern Recognition Letters
10.1016/s0167-8655(17)30202-7,Editorial Board,,2017,0,Pattern Recognition Letters
10.1016/j.patrec.2010.09.010,Induction motor fault detection and diagnosis using a current state space pattern recognition,João F. Martins and Vitor F. Pires and Tito Amaral,2011,16,Pattern Recognition Letters
10.1016/j.patrec.2013.08.020,Motion feature filtering for event detection in crowded scenes,Lawrence O’Gorman and Yafeng Yin and Tin Kam Ho,2014,11,Pattern Recognition Letters
10.1016/j.patrec.2014.05.003,Dictionary-based anisotropic diffusion for noise reduction,Sung In Cho and Suk-Ju Kang and Hi-Seok Kim and Young Hwan Kim,2014,13,Pattern Recognition Letters
10.1016/j.patrec.2020.12.002,Virtual special issue on novel data-representation and classification techniques,J. Arturo Olvera-Lopez and Joaquin Salas and J. Ariel Carrasco-Ochoa and José Fco. Martinez-Trinidad and Sudeep Sarkar,2021,0,Pattern Recognition Letters
10.1016/j.patrec.2008.02.022,Bayes Machines for binary classification,Daniel Hernández-Lobato and José Miguel Hernández-Lobato,2008,4,Pattern Recognition Letters
10.1016/s0167-8655(21)00118-5,Editorial Board,,2021,0,Pattern Recognition Letters
10.1016/j.patrec.2009.01.002,Expansive competitive learning for kernel vector quantization,Davide Bacciu and Antonina Starita,2009,2,Pattern Recognition Letters
10.1016/j.patrec.2004.01.006,Modified winner-update search algorithm for fast block matching,Jingli Zhou and Jun Li and Shengsheng Yu,2004,3,Pattern Recognition Letters
10.1016/j.patrec.2008.03.015,Doppler embolic signal detection using the adaptive wavelet packet basis and neurofuzzy classification,Yijiao Chen and Yuanyuan Wang,2008,11,Pattern Recognition Letters
10.1016/j.patrec.2019.11.029,A torus model for optical flow,Henry Adams and Johnathan Bush and Brittany Carr and Lara Kassab and Joshua Mirth,2020,2,Pattern Recognition Letters
10.1016/s0167-8655(03)00109-0,Feature learning with a genetic algorithm for fluorescence fingerprinting of plant species,C.M Codrea and T Aittokallio and M Keränen and E Tyystjärvi and O.S Nevalainen,2003,12,Pattern Recognition Letters
10.1016/s0167-8655(10)00285-0,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2010,0,Pattern Recognition Letters
10.1016/j.patrec.2005.11.008,3D target recognition using cooperative feature map binding under Markov Chain Monte Carlo,Sungho Kim and In-So Kweon,2006,6,Pattern Recognition Letters
10.1016/j.patrec.2021.05.020,Diverse part attentive network for video-based person re-identification,Xiujun Shu and Ge Li and Longhui Wei and Jia-Xing Zhong and Xianghao Zang and Shiliang Zhang and Yaowei Wang and Yongsheng Liang and Qi Tian,2021,2,Pattern Recognition Letters
10.1016/j.patrec.2020.12.006,Artificial intelligence for distributed smart systems,M. Molinara and A. Bria and S. De Vito and C. Marrocco,2021,9,Pattern Recognition Letters
10.1016/j.patrec.2019.09.021,Self-Supervised deep homography estimation with invertibility constraints,Chen Wang and Xiang Wang and Xiao Bai and Yun Liu and Jun Zhou,2019,37,Pattern Recognition Letters
10.1016/j.patrec.2022.04.001,KGBoost: A classification-based knowledge base completion method with negative sampling,Yun-Cheng Wang and Xiou Ge and Bin Wang and C.-C. Jay Kuo,2022,2,Pattern Recognition Letters
10.1016/j.patrec.2020.09.005,Robust least squares one-class support vector machine,Hong-Jie Xing and Li-Fei Li,2020,8,Pattern Recognition Letters
10.1016/j.patrec.2015.10.008,Weak supervision and other non-standard classification problems: A taxonomy,Jerónimo Hernández-González and Iñaki Inza and Jose A. Lozano,2016,54,Pattern Recognition Letters
10.1016/j.patrec.2018.07.032,Video semantic object segmentation by self-adaptation of DCNN,Seong-Jin Park and Ki-Sang Hong,2018,4,Pattern Recognition Letters
10.1016/j.patrec.2008.05.005,New focus assessment method for iris recognition systems,Jain Jang and Kang Ryoung Park and Jaihie Kim and Yillbyung Lee,2008,20,Pattern Recognition Letters
10.1016/j.patrec.2020.05.022,Heuristic algorithms for diversity-aware balanced multi-way number partitioning,Jilian Zhang and Kaimin Wei and Xuelian Deng,2020,1,Pattern Recognition Letters
10.1016/j.patrec.2016.05.018,A feasibility study of an autoencoder meta-model for improving generalization capabilities on training sets of small sizes,Alexey Potapov and Vita Potapova and Maxim Peterson,2016,3,Pattern Recognition Letters
10.1016/j.patrec.2016.03.010,Classification of ANA HEp-2 slide images using morphological features of stained patterns,Gennady V. Ponomarev and Marat D. Kazanov,2016,9,Pattern Recognition Letters
10.1016/j.patrec.2004.05.023,A fast automatic extraction algorithm of elliptic object groups from remote sensing images,Changren Zhu and Runsheng Wang,2004,6,Pattern Recognition Letters
10.1016/j.patrec.2016.09.012,Self-organizing trajectories,Leonard Johard and Emanuele Ruffaldi,2016,1,Pattern Recognition Letters
10.1016/j.patrec.2009.07.010,Block-recursive filtering for offset nonuniformity estimation in infrared imaging systems: Theory and implementation,César San Martin and Jorge E. Pezoa and Sergio Torres and Pablo Meza and Diana Gutierrez,2010,4,Pattern Recognition Letters
10.1016/j.patrec.2020.07.036,Special issue on deep learning for video text analysis,Subhadip Basu and Ujjwal Maulik and Umapada Pal,2020,0,Pattern Recognition Letters
10.1016/s0167-8655(12)00366-2,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2013,0,Pattern Recognition Letters
10.1016/j.patrec.2014.03.014,Segmentation of elongated objects using attribute profiles and area stability: Application to melanocyte segmentation in engineered skin,Andrés Serna and Beatriz Marcotegui and Etienne Decencière and Thérèse Baldeweck and Ana-Maria Pena and Sébastien Brizion,2014,11,Pattern Recognition Letters
10.1016/s0167-8655(06)00243-1,Author Index of Volume 27,,2006,0,Pattern Recognition Letters
10.1016/j.patrec.2015.12.018,Recognition of handwritten Chinese address with writing variations,Xiaohua Wei and Shujing Lu and Ying Wen and Yue Lu,2016,7,Pattern Recognition Letters
10.1016/j.patrec.2011.04.001,Automatic estimation of asymmetry for gradient-based alignment of noisy images on Lie group,Jean-Baptiste Authesserre and Rémi Mégret and Yannick Berthoumieu,2011,1,Pattern Recognition Letters
10.1016/j.patrec.2013.03.036,Global feature for online character recognition,Minoru Mori and Seiichi Uchida and Hitoshi Sakano,2014,17,Pattern Recognition Letters
10.1016/j.patrec.2006.02.003,Image processing techniques for metallic object detection with millimetre-wave images,C.D. Haworth and Y.R. Petillot and E. Trucco,2006,19,Pattern Recognition Letters
10.1016/s0167-8655(16)00042-8,Editors-in-Chief,,2016,0,Pattern Recognition Letters
10.1016/s0167-8655(08)00128-1,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2008,0,Pattern Recognition Letters
10.1016/j.patrec.2016.09.016,A novel geometric graph miner and its applications,Alfredo Muñoz-Briseño and Gustavo Lara-Alvarez and Andrés Gago-Alonso and José Hernández-Palancar,2016,1,Pattern Recognition Letters
10.1016/j.patrec.2012.12.012,Bridging the gap between handwriting recognition and knowledge management,Marcus Liwicki and Sebastian Ebert and Andreas Dengel,2014,2,Pattern Recognition Letters
10.1016/j.patrec.2006.01.009,An adaptive algorithm for image restoration using combined penalty functions,Daan Zhu and Moe Razaz and Mark Fisher,2006,5,Pattern Recognition Letters
10.1016/j.patrec.2014.04.021,Building confidence regions for the ROC surface,Stéphan Clémençon and Sylvain Robbiano,2014,2,Pattern Recognition Letters
10.1016/j.patrec.2007.04.009,Sparse view stereo matching,Rimon Elias,2007,11,Pattern Recognition Letters
10.1016/s0167-8655(99)00151-8,Image object signatures from centripetal autowaves,Jason M. Kinser and Chau Nguyen,2000,11,Pattern Recognition Letters
10.1016/j.patrec.2009.06.013,An incremental dimensionality reduction method on discriminant information for pattern classification,Xiaoqin Hu and Zhixia Yang and Ling Jing,2009,3,Pattern Recognition Letters
10.1016/j.patrec.2015.06.001,Automated feature weighting in clustering with separable distances and inner product induced norms – A theoretical generalization,Arkajyoti Saha and Swagatam Das,2015,4,Pattern Recognition Letters
10.1016/j.patrec.2015.01.006,Corrigendum to ‘Homage to Professor Maria Petrou’ [ Pattern Recognition Letters 48 (2014) 2–7],Xavier Llad́o and Atsushi Imiya and David Mason and Constantino Carlos Reyes-Aldasoro and Kazuaki Aoki and Mineichi Kudo and Yu-Jin Zhang and Vasileios Argyriou,2015,0,Pattern Recognition Letters
10.1016/j.patrec.2016.02.008,Geodesic weighted Bayesian model for saliency optimization,Xiang Wang and Huimin Ma and Xiaozhi Chen,2016,7,Pattern Recognition Letters
10.1016/j.patrec.2019.07.020,Long term activity prediction in first person viewpoint,Zhuang Ning and Qiang Zhang and Yang Shen and Zefan Li and Bingbing Ni and Wenjun Zhang,2019,0,Pattern Recognition Letters
10.1016/s0167-8655(99)00149-x,Editorial,,2000,0,Pattern Recognition Letters
10.1016/s0167-8655(03)00194-6,Cumulative Contents of Volume 24,,2003,0,Pattern Recognition Letters
10.1016/j.patrec.2016.12.003,A correntropy function based on coincidence detection,Jugurta Montalvão and Jânio Canuto and Elyson Carvalho,2017,1,Pattern Recognition Letters
10.1016/j.patrec.2016.08.006,Special issue on advances in pattern recognition in remote sensing,Qian Du and Eckart Michaelsen and Bing Zhang and Jocelyn Chanussot,2016,0,Pattern Recognition Letters
10.1016/j.patrec.2012.08.016,Editorial for the Special Issue on Graph-based representations in pattern recognition,Andrea Torsello and Xiaoyi Jiang and Miquel Ferrer,2012,0,Pattern Recognition Letters
10.1016/j.patrec.2015.09.003,Importance-weighted covariance estimation for robust common spatial pattern,Alessandro Balzi and Florian Yger and Masashi Sugiyama,2015,10,Pattern Recognition Letters
10.1016/s0167-8655(02)00396-3,The Poisson equation for image texture modelling,Huawu Deng and Kap Luk Chan and Jun Liu,2003,1,Pattern Recognition Letters
10.1016/j.patrec.2020.04.022,Structural sparse representation with class-specific dictionary for ECG biometric recognition,Jingxiao Xu and Gongping Yang and Kuikui Wang and Yuwen Huang and Haiying Liu and Yilong Yin,2020,12,Pattern Recognition Letters
10.1016/j.patrec.2020.01.028,Robust geodesic based outlier detection for class imbalance problem,Canghong Shi and Xiaojie Li and Jiancheng Lv and Jing Yin and Imran Mumtaz,2020,3,Pattern Recognition Letters
10.1016/j.patrec.2013.08.026,On incrementally using a small portion of strong unlabeled data for semi-supervised learning algorithms,Thanh-Binh Le and Sang-Woon Kim,2014,9,Pattern Recognition Letters
10.1016/j.patrec.2009.11.006,Uncorrelated discriminant simplex analysis for view-invariant gait signal computing,Jiwen Lu and Yap-Peng Tan,2010,83,Pattern Recognition Letters
10.1016/j.patrec.2018.06.012,Data-dependent multiple kernel learning algorithm based on soft-grouping,Qingchao Wang and Guangyuan Fu and Linlin Li and Hongqiao Wang and Yongqiang Li,2018,3,Pattern Recognition Letters
10.1016/j.patrec.2006.09.006,Structure and motion of nonrigid object under perspective projection,Guanghui Wang and Hung-Tat Tsui and Zhanyi Hu,2007,12,Pattern Recognition Letters
10.1016/j.patrec.2013.04.016,Fast two-stage segmentation via non-local active contours in multiscale texture feature space,Xiaozhen Xie and Jitao Wu and Minggang Jing,2013,19,Pattern Recognition Letters
10.1016/j.patrec.2018.09.007,Classifying low-resolution images by integrating privileged information in deep CNNs,Marion Chevalier and Nicolas Thome and Gilles Hénaff and Matthieu Cord,2018,6,Pattern Recognition Letters
10.1016/j.patrec.2015.04.013,Speeding up the cyclic edit distance using LAESA with early abandon,Vicente Palazón-González and Andrés Marzal,2015,5,Pattern Recognition Letters
10.1016/j.patrec.2010.09.013,Clustering data in an uncertain environment using an artificial immune system,A.J. Graaff and A.P. Engelbrecht,2011,12,Pattern Recognition Letters
10.1016/j.patrec.2004.01.018,Threshold selection using fuzzy set theory,Tamalika Chaira and A.K. Ray,2004,37,Pattern Recognition Letters
10.1016/j.patrec.2016.01.020,Revision of multifractal descriptors for texture classification based on mathematical morphology,Milorad P. Paskaš and Branimir D. Reljin and Irini S. Reljin,2016,6,Pattern Recognition Letters
10.1016/j.patrec.2017.12.008,Dependence,Robert M. Haralick,2019,2,Pattern Recognition Letters
10.1016/s0167-8655(01)00023-x,Thickness extraction from biological images and interference colors,P. Lescure and H. Dupoisot and G. Stamon,2001,0,Pattern Recognition Letters
10.1016/s0167-8655(05)00129-7,Editorial board,,2005,0,Pattern Recognition Letters
10.1016/s0167-8655(09)00087-7,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2009,0,Pattern Recognition Letters
10.1016/s0167-8655(13)00105-0,"Editors-in-Chief, Area/Associate/Advisory/Founding Editors",,2013,0,Pattern Recognition Letters
10.1016/s0167-8655(15)00139-7,Editors-in-Chief,,2015,0,Pattern Recognition Letters
10.1016/s0167-8655(02)00115-0,Logic-oriented fuzzy clustering,Witold Pedrycz and George Vukovich,2002,14,Pattern Recognition Letters
10.1016/j.patrec.2006.02.001,View synthesis for depth from motion 3D X-ray imaging,J.P.O. Evans and Y. Liu and J.W. Chan and D. Downes,2006,8,Pattern Recognition Letters
10.1016/j.patrec.2015.05.002,"Corrigendum to ``Unsupervised learning via mixtures of skewed distributions with hypercube contours'' [Pattern Recognition Letters. 58(1), 69–76]",Brian C. Franczak and Cristina Tortora and Ryan P. Browne and Paul D. McNicholas,2015,0,Pattern Recognition Letters
10.1016/s0167-8655(00)00079-9,Sensitivity study of a semi-automatic training set generator,Rasmus Larsen and Allan Aasbjerg Nielsen and Harald Flesche,2000,1,Pattern Recognition Letters
10.1016/s0167-8655(01)00165-9,Preface,Laveen Kanal and Gabriella Sanniti di Baja and Arnold W.M Smeulders,2002,0,Pattern Recognition Letters
