DOI,Título,Autores,Año,Citas,Revista
10.1016/j.csl.2020.101157,Neural candidate-aware language models for speech recognition,Tomohiro Tanaka and Ryo Masumura and Takanobu Oba,2021,1,Computer Speech &amp; Language
10.1016/j.csl.2013.04.004,An adaptive neural control scheme for articulatory synthesis of CV sequences,Guangpu Huang and Meng Joo Er,2014,0,Computer Speech &amp; Language
10.1016/j.csl.2018.09.001,A scalable wideband speech codec using the wavelet packet transform based on the internet low bitrate codec,Koji Seto and Tokunbo Ogunfunmi,2019,2,Computer Speech &amp; Language
10.1016/j.csl.2023.101501,Direct enhancement of pre-trained speech embeddings for speech processing in noisy conditions,Mohamed Nabih Ali and Alessio Brutti and Daniele Falavigna,2023,0,Computer Speech &amp; Language
10.1016/j.csl.2010.09.001,The use of phase in complex spectrum subtraction for robust speech recognition,Tristan Kleinschmidt and Sridha Sridharan and Michael Mason,2011,21,Computer Speech &amp; Language
10.1016/j.csl.2013.02.003,Two-stage intonation modeling using feedforward neural networks for syllable based text-to-speech synthesis,V. Ramu Reddy and K. Sreenivasa Rao,2013,21,Computer Speech &amp; Language
10.1016/j.csl.2020.101169,BERT-hLSTMs: BERT and hierarchical LSTMs for visual storytelling,Jing Su and Qingyun Dai and Frank Guerin and Mian Zhou,2021,10,Computer Speech &amp; Language
10.1016/j.csl.2016.06.008,Acoustic adaptation to dynamic background conditions with asynchronous transformations,Oscar Saz and Thomas Hain,2017,0,Computer Speech &amp; Language
10.1016/s0885-2308(20)30106-6,Editorial Board,,2021,0,Computer Speech &amp; Language
10.1016/j.csl.2011.10.002,High-quality bilingual subtitle document alignments with application to spontaneous speech translation,Andreas Tsiartas and Prasanta Ghosh and Panayiotis Georgiou and Shrikanth Narayanan,2013,1,Computer Speech &amp; Language
10.1016/j.csl.2017.02.009,Fast scoring for PLDA with uncertainty propagation via i-vector grouping,Wei-wei Lin and Man-Wai Mak and Jen-Tzung Chien,2017,6,Computer Speech &amp; Language
10.1016/j.csl.2006.03.002,Features based on filtering and spectral peaks in autocorrelation domain for robust speech recognition,G. Farahani and S.M. Ahadi and M.M. Homayounpour,2007,10,Computer Speech &amp; Language
10.1016/s0885-2308(03)00030-5,Change of editor,,2003,0,Computer Speech &amp; Language
10.1016/j.csl.2013.02.001,Bridge the gap between statistical and hand-crafted grammars,Ali Basirat and Heshaam Faili,2013,2,Computer Speech &amp; Language
10.1016/j.csl.2021.101237,Editorial Board,,2021,0,Computer Speech &amp; Language
10.1016/j.csl.2011.05.001,"Evaluation methodology and metrics employed to assess the TRANSTAC two-way, speech-to-speech translation systems",Gregory A. Sanders and Brian A. Weiss and Craig Schlenoff and Michelle P. Steves and Sherri Condon,2013,0,Computer Speech &amp; Language
10.1016/j.csl.2004.05.001,Lexical knowledge and human disagreement on a WSD task,G.Craig Murray and Rebecca Green,2004,1,Computer Speech &amp; Language
10.1016/j.csl.2014.09.002,A tree does not make a well-formed sentence: Improving syntactic string-to-tree statistical machine translation with more linguistic knowledge,Rico Sennrich and Philip Williams and Matthias Huck,2015,3,Computer Speech &amp; Language
10.1016/s0885-2308(09)00056-4,List of reviewers,,2010,0,Computer Speech &amp; Language
10.1016/j.csl.2014.05.003,Glottal source processing: From analysis to applications,,2014,0,Computer Speech &amp; Language
10.1016/j.csl.2015.06.004,New features for speech enhancement using bivariate shrinkage based on redundant wavelet filter-banks,Hamid Reza Tohidypour and Seyed Mohammad Ahadi,2016,1,Computer Speech &amp; Language
10.1016/j.csl.2018.03.002,A new proof of a contrast function for bounded component analysis and further analysis,Wei Gao and Shen Fan and Roberto Togneri and Victor Sreeram,2018,0,Computer Speech &amp; Language
10.1016/s0885-2308(19)30251-7,Editorial Board,,2019,0,Computer Speech &amp; Language
10.1016/j.csl.2004.09.002,Efficient computation of the frame-based extended union model and its application in speech recognition against partial temporal corruptions,Arthur Chan and Manhung Siu,2005,2,Computer Speech &amp; Language
10.1016/j.csl.2018.10.005,Estimating post-editing time using a gold-standard set of machine translation errors,Arda Tezcan and Véronique Hoste and Lieve Macken,2019,4,Computer Speech &amp; Language
10.1016/j.csl.2012.06.004,Use of contexts in language model interpolation and adaptation,X. Liu and M.J.F. Gales and P.C. Woodland,2013,14,Computer Speech &amp; Language
10.1016/j.csl.2007.06.003,List of reviewers,,2008,0,Computer Speech &amp; Language
10.1016/j.csl.2018.12.002,"Corrigendum to ‘A unified framework and models for integrating translation memory into phrase-based statistical machine translation’ [Volume 54, March 2019, Pages 176-206]",Yang Liu and Kun Wang and Chengqing Zong and Keh-Yih Su,2019,1,Computer Speech &amp; Language
10.1016/j.csl.2015.12.003,Concept-to-Speech generation with knowledge sharing for acoustic modelling and utterance filtering,Xin Wang and Zhen-Hua Ling and Li-Rong Dai,2016,1,Computer Speech &amp; Language
10.1016/j.csl.2016.10.004,Sparse coding over redundant dictionaries for fast adaptation of speech recognition system,S. Shahnawazuddin and Rohit Sinha,2017,8,Computer Speech &amp; Language
10.1016/j.csl.2016.11.003,Speech enhancement for robust automatic speech recognition: Evaluation using a baseline system and instrumental measures,A.H. Moore and P. Peso Parada and P.A. Naylor,2017,19,Computer Speech &amp; Language
10.1016/j.csl.2013.03.002,Sense-level subjectivity in a multilingual setting,Carmen Banea and Rada Mihalcea and Janyce Wiebe,2014,22,Computer Speech &amp; Language
10.1016/j.csl.2005.08.004,Using quality measures for multilevel speaker recognition,Daniel Garcia-Romero and Julian Fierrez-Aguilar and Joaquin Gonzalez-Rodriguez and Javier Ortega-Garcia,2006,13,Computer Speech &amp; Language
10.1016/j.csl.2012.01.001,A segmental non-parametric-based phoneme recognition approach at the acoustical level,Ladan Golipour and Douglas O’Shaughnessy,2012,2,Computer Speech &amp; Language
10.1016/j.csl.2015.07.004,Coherent narrative summarization with a cognitive model,Renxian Zhang and Wenjie Li and Naishi Liu and Dehong Gao,2016,3,Computer Speech &amp; Language
