DOI,Título,Autores,Año,Citas,Revista
10.3109/0954898x.2010.529396,Quantitative fetal heart rate evaluation without pattern classification: FHR score and artificial neural network analysis,K. Maeda and Y. Noguchi and F. Matsumoto and T. Nagasawa,2010,1,Network: Computation in Neural Systems
10.1088/0954-898x_11_4_701,Fast oscillations in cortical circuits,Peter Dayan,2000,0,Network: Computation in Neural Systems
10.1088/0954-898x_14_4_303,"High-frequency, depressing inhibition facilitates synchronization in globally inhibitory networks",S Kunec and A Bose,2003,3,Network: Computation in Neural Systems
10.1088/0954-898x_13_4_601,Author index with titles,,2002,0,Network: Computation in Neural Systems
10.3109/0954898x.2016.1157733,An ultra-low-voltage electronic implementation of inertial neuron model with nonmonotonous Liao’s activation function,Nasir Ali Kant and Mohamad Rafiq Dar and Farooq Ahmad Khanday,2015,5,Network: Computation in Neural Systems
10.1088/0954-898x_14_2_601,A spatially continuous mean field theory of electrocortical activity,D T J Liley and P J Cadusch and M P Dafilis,2003,2,Network: Computation in Neural Systems
10.1088/0954-898x_14_2_303,A computational model of cuneothalamic projection neurons,Eduardo Sánchez and Senén Barro and Jorge Mariño and Antonio Canedo,2003,3,Network: Computation in Neural Systems
10.1080/09548980801915409,Editorial,,2008,0,Network: Computation in Neural Systems
10.1088/0954-898x_15_2_001,"Modeling segmentation of a visual scene via neural oscillators: fragmentation, discovery of details and attention",Mauro Ursino and Giuseppe-Emiliano La Cara,2004,1,Network: Computation in Neural Systems
10.1080/0954898x.2016.1187311,The visual development of hand-centered receptive fields in a neural network model of the primate visual system trained with experimentally recorded human gaze changes,Juan M. Galeazzi and Joaquín Navajas and Bedeho M. W. Mender and Rodrigo Quian Quiroga and Loredana Minini and Simon M. Stringer,2016,0,Network: Computation in Neural Systems
10.1080/09548980500445005,Local image structures and optic flow estimation,S. Kalkan and D. Calow and F. Wörgötter and M. Lappe and N. Krüger,2005,8,Network: Computation in Neural Systems
10.3109/0954898x.2014.886919,Special Issue on Computations in Oscillating Neuronal Networks,Silvia Scarpetta and Christian Leibold,2014,1,Network: Computation in Neural Systems
10.1088/0954-898x/12/4/701,n.m.,D J Price and D J Willshaw,2001,1,Network: Computation in Neural Systems
10.3109/0954898x.2016.1162338,The development of biophysical models of the electrically stimulated auditory nerve: Single-node and cable models,Gabrielle E. O’Brien and Jay T. Rubinstein,2016,10,Network: Computation in Neural Systems
10.1080/net.12.3.289.316,Estimating spatio-temporal receptive fields of auditory and visual neurons from their responses to natural stimuli,F.E. Theunissen and S.V. David and N.C. Singh and A. Hsu and W.E. Vinje and J.L. Gallant,2001,210,Network: Computation in Neural Systems
10.1080/0954898x.11295832.2005,Erratum,N. V. Swindale,2005,0,Network: Computation in Neural Systems
10.3109/0954898x.2014.886346,On phasic inhibition during hippocampal theta,Bruce P Graham and Emiliano Spera,2014,2,Network: Computation in Neural Systems
10.1088/0954-898x_13_3_309,Measures for quantifying dendritic arborizations,Harry B M Uylings and Jaap van Pelt,2002,71,Network: Computation in Neural Systems
10.1080/09548980801915391,Daniel Amit (1938–2007),Nicolas Brunel,2008,0,Network: Computation in Neural Systems
10.1080/09548980601113254,Evolution of visually guided behavior in artificial agents,Byron Boots and Surajit Nundy and Dale Purves,2007,6,Network: Computation in Neural Systems
10.1080/09548980600594165,Classification of stationary neuronal activity according to its information rate,Lubomir Kostal and Petr Lánský,2006,13,Network: Computation in Neural Systems
10.1080/09548980500520328,Generation of time delays: Simplified models of intracellular signalling in cerebellar Purkinje cells,Volker Steuber and David Willshaw and Arjen Van Ooyen,2006,7,Network: Computation in Neural Systems
10.1080/09548980500297661,EDITORIAL,David J. Willshaw,2005,0,Network: Computation in Neural Systems
10.3109/0954898x.2014.994145,"A neuroinformatics study to compare inhibition efficiency of three natural ligands (Fawcettimine, Cernuine and Lycodine) against Human Brain Acetylcholinesterase",Sibhghatulla Shaikh and Tahreem Zainab and Shazi Shakil and Syed Mohd. Danish Rizvi,2015,8,Network: Computation in Neural Systems
10.1080/09548980500463982,Nonlinear and higher-order approaches to the encoding of natural scenes,Christoph Zetzsche and Ulrich Nuding,2005,23,Network: Computation in Neural Systems
10.1080/net.12.1.47.74,Properties of synaptic transmission and the global stability of delayed activity states,A.A. Koulakov,2001,12,Network: Computation in Neural Systems
10.1080/09548980701840343,Extrasynaptic-GABA-mediated neuromodulation in a sensory cortical neural network,Osamu Hoshino,2008,5,Network: Computation in Neural Systems
10.1080/net.13.1.41.66,Information transfer in entrained cortical neurons,P.H.E. Tiesinga and J-M. Fellous and J.V. Jos and T.J. Sejnowski,2002,17,Network: Computation in Neural Systems
10.1080/net.12.2.215.233,Precision of pulse-coupled networks of integrate-and-fire neurons,P.H.E. Tiesinga and T.J. Sejnowski,2001,21,Network: Computation in Neural Systems
10.1088/0954-898x_14_4_305,Modulation of excitatory synaptic coupling facilitates synchronization and complex dynamics in a biophysical model of neuronal dynamics,Michael Breakspear and John R Terry and Karl J Friston,2003,84,Network: Computation in Neural Systems
10.1080/0954898x.2016.1219411,Models of the electrically stimulated binaural system: A review,Mathias Dietz,2016,10,Network: Computation in Neural Systems
10.1088/0954-898x_14_3_307,Perceptual anisotropies in visual processing and their relation to natural image statistics,Bruce C Hansen and Edward A Essock and Yufeng Zheng and J Kevin Deford,2003,18,Network: Computation in Neural Systems
10.1080/net.14.1.119.135,Adaptive encoding in the visual pathway,N.A. Lesica and A.S. Boloori and G.B. Stanley,2003,9,Network: Computation in Neural Systems
10.1088/0954-898x_15_3_001,The emergence of temporal hyperacuity from widely tuned cell populations,Janine M Wotton and Michael J Ferragamo and Mark I Sanderson,2004,4,Network: Computation in Neural Systems
