DOI,Título,Autores,Año,Citas,Revista
10.1007/s12559-017-9460-x,A Framework for Building an Arabic Multi-disciplinary Ontology from Multiple Resources,Ahmad Hawalah,2018,4,Cognitive Computation
10.1007/s12559-019-09693-5,Indoor Topological Localization Based on a Novel Deep Learning Technique,Qiang Liu and Ruihao Li and Huosheng Hu and Dongbing Gu,2020,8,Cognitive Computation
10.1007/s12559-018-9604-7,"A Framework for Privacy Quantification: Measuring the Impact of Privacy Techniques Through Mutual Information, Distance Mapping, and Machine Learning",Yoan Miche and Wei Ren and Ian Oliver and Silke Holtmanns and Amaury Lendasse,2019,2,Cognitive Computation
10.1007/s12559-018-9608-3,Large-scale Ensemble Model for Customer Churn Prediction in Search Ads,Qiu-Feng Wang and Mirror Xu and Amir Hussain,2019,19,Cognitive Computation
10.1007/s12559-018-9575-8,Quantitative Analysis of Relationship Between Hypokinetic Dysarthria and the Freezing of Gait in Parkinson’s Disease,Jiri Mekyska and Zoltan Galaz and Tomas Kiska and Vojtech Zvoncak and Jan Mucha and Zdenek Smekal and Ilona Eliasova and Milena Kostalova and Martina Mrackova and Dagmar Fiedorova and Marcos Faundez-Zanuy and Jordi Solé-Casals and Pedro Gomez-Vilda and Irena Rektorova,2018,11,Cognitive Computation
10.1007/s12559-013-9211-6,Learning by Gossip: A Principled Information Exchange Model in Social Networks,B. Apolloni and D. Malchiodi and J. G. Taylor,2013,5,Cognitive Computation
10.1007/s12559-012-9123-x,Non-Classical Connectionist Models of Visual Object Recognition,Tarik Hadzibeganovic and F. W. S. Lima,2012,2,Cognitive Computation
10.1007/s12559-021-09973-z,Data-driven Dimensional Expression Generation via Encapsulated Variational Auto-Encoders,Wenjun Bai and Changqin Quan and Zhi-Wei Luo,2022,0,Cognitive Computation
10.1007/s12559-013-9236-x,An Improved Fault-Tolerant Objective Function and Learning Algorithm for Training the Radial Basis Function Neural Network,Ruibin Feng and Yi Xiao and Chi Sing Leung and Peter W. M. Tsang and John Sum,2014,1,Cognitive Computation
10.1007/s12559-012-9147-2,Clustering-Based Extraction of Near Border Data Samples for Remote Sensing Image Classification,Xiaoyong Bian and Tianxu Zhang and Xiaolong Zhang and LuXin Yan and Bo Li,2013,10,Cognitive Computation
10.1007/s12559-013-9238-8,A Learner-Independent Knowledge Transfer Approach to Multi-task Learning,Shaoning Pang and Fan Liu and Youki Kadobayashi and Tao Ban and Daisuke Inoue,2014,2,Cognitive Computation
10.1007/s12559-021-09923-9,"Words, Tweets, and Reviews: Leveraging Affective Knowledge Between Multiple Domains",Felipe Bravo-Marquez and Cristián Tamblay,2022,0,Cognitive Computation
10.1007/s12559-014-9294-8,Is Attentional Refreshing in Working Memory Sequential? A Computational Modeling Approach,Sophie Portrat and Benoît Lemaire,2015,22,Cognitive Computation
10.1007/s12559-022-10075-7,Spatiotemporal EEG Dynamics of Prospective Memory in Ageing and Mild Cognitive Impairment,Mark Crook-Rumsey and Christina J. Howard and Zohreh Doborjeh and Maryam Doborjeh and Josafath Israel Espinosa Ramos and Nikola Kasabov and Alexander Sumich,2022,0,Cognitive Computation
10.1007/s12559-014-9274-z,"Youth at Stake: Alexithymia, Cognitive Distortions, and Problem Gambling in Late Adolescents",Marina Cosenza and Ivana Baldassarre and Olimpia Matarazzo and Giovanna Nigro,2014,19,Cognitive Computation
10.1007/s12559-012-9164-1,"Computational Creativity, Intelligence and Autonomy",J. Mark Bishop and Yasemin J. Erden,2012,3,Cognitive Computation
10.1007/s12559-020-09768-8,Understanding Violin Players’ Skill Level Based on Motion Capture: a Data-Driven Perspective,Vincenzo D’Amato and Erica Volta and Luca Oneto and Gualtiero Volpe and Antonio Camurri and Davide Anguita,2020,9,Cognitive Computation
10.1007/s12559-011-9095-2,Computation in Emotional Processing: Quantitative Confirmation of Proportionality Hypothesis for Angry Unhappy Emotional Intensity to Perceived Loss,David Nicoladie Tam,2011,9,Cognitive Computation
10.1007/s12559-022-10081-9,Neurodynamical Computing at the Information Boundaries of Intelligent Systems,Joseph D. Monaco and Grace M. Hwang,2022,0,Cognitive Computation
10.1007/s12559-015-9348-6,Range–Angle-Dependent Beamforming for Cognitive Antenna Array Radar with Frequency Diversity,Abdul Basit and Ijaz Mansoor Qureshi and Wasim Khan and Aqdas Naveed Malik,2016,7,Cognitive Computation
10.1007/s12559-009-9021-z,Actor-Critic Learning for Platform-Independent Robot Navigation,David Muse and Stefan Wermter,2009,5,Cognitive Computation
10.1007/s12559-014-9267-y,Negotiating over Mobile Phones: Calling or Being Called Can Make the Difference,Alessandro Vinciarelli and Hugues Salamin and Anna Polychroniou,2014,5,Cognitive Computation
10.1007/s12559-016-9406-8,A Novel Saliency Prediction Method Based on Fast Radial Symmetry Transform and Its Generalization,Jiayu Liang and Shiu Yin Yuen,2016,4,Cognitive Computation
