DOI,Título,Autores,Año,Citas,Revista
10.1109/tnnls.2021.3117999,Hessian-Aided Random Perturbation (HARP) Using Noisy Zeroth-Order Oracles,Jingyi Zhu,2021,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2013.2263434,IEEE Transactions on Neural Networks information for authors,,2013,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2354400,Opportunistic Behavior in Motivated Learning Agents,James Graham and Janusz A. Starzyk and Daniel Jachyra,2015,13,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2016.2616199,Introducing IEEE Collabratec,,2016,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2327065,On the Additive Properties of the Fat-Shattering Dimension,Ohad Asor and Hubert Haoyang Duan and Aryeh Kontorovich,2014,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2013.2244531,2014 IEEE World Congress on Computational Intelligence,,2013,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2017.2707244,Sufficient Condition for the Existence of the Compact Set in the RBF Neural Network Control,Jiaming Zhu and Zhiqiang Cao and Tianping Zhang and Yuequan Yang and Yang Yi,2017,1,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2018.2875347,Seeing All From a Few: $\ell_{1}$ -Norm-Induced Discriminative Prototype Selection,Xingxing Zhang and Zhenfeng Zhu and Yao Zhao and Dongxia Chang and Ji Liu,2019,8,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3004819,KGSNet: Key-Point-Guided Super-Resolution Network for Pedestrian Detection in the Wild,Yongqiang Zhang and Yancheng Bai and Mingli Ding and Shibiao Xu and Bernard Ghanem,2021,8,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2411673,QoS Differential Scheduling in Cognitive-Radio-Based Smart Grid Networks: An Adaptive Dynamic Programming Approach,Rong Yu and Weifeng Zhong and Shengli Xie and Yan Zhang and Yun Zhang,2016,53,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.2978508,Structure-Exploiting Discriminative Ordinal Multioutput Regression,Qing Tian and Meng Cao and Songcan Chen and Hujun Yin,2021,2,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2023.3248064,K-Means Clustering With Natural Density Peaks for Discovering Arbitrary-Shaped Clusters,Dongdong Cheng and Jinlong Huang and Sulan Zhang and Shuyin Xia and Guoyin Wang and Jiang Xie,2023,0,IEEE Transactions on Neural Networks and Learning Systems
