Modelo,Parametros,RMSE
AdaBoost,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 300}",3.5036832244911778
AdaBoost,"{'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 100}",3.652891495767072
AdaBoost,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 100}",4.435420988870453
AdaBoost,"{'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 150}",3.2365830651369105
AdaBoost,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 100}",3.6276412121786583
AdaBoost,"{'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 100}",3.627055481262965
AdaBoost,"{'learning_rate': 0.1, 'loss': 'square', 'n_estimators': 150}",4.030069481483778
AdaBoost,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 300}",3.531941452144676
AdaBoost,"{'learning_rate': 0.5, 'loss': 'square', 'n_estimators': 150}",4.367759216764739
AdaBoost,"{'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 500}",3.4827196197153274
AdaBoost,{'fit_intercept': False},17.048725805193122
AdaBoost,{'fit_intercept': False},3.2152026203631077
AdaBoost,{'fit_intercept': False},18.342587829628354
AdaBoost,{'fit_intercept': False},3.6569261110172353
AdaBoost,{'fit_intercept': False},3.296400014089166
AdaBoost,{'fit_intercept': True},2.9579761573563714
AdaBoost,{'fit_intercept': True},3.5623465265698537
AdaBoost,{'fit_intercept': True},2.8304099347352896
AdaBoost,{'fit_intercept': False},15.991254535428556
AdaBoost,{'fit_intercept': False},2.818385965459316
AdaBoost,"{'max_depth': 20, 'n_estimators': 500}",3.4438796623196635
AdaBoost,"{'max_depth': 20, 'n_estimators': 100}",3.446154739442255
AdaBoost,"{'max_depth': 20, 'n_estimators': 50}",3.749536161118117
AdaBoost,"{'max_depth': 10, 'n_estimators': 500}",3.072144203083766
AdaBoost,"{'max_depth': 10, 'n_estimators': 100}",3.083729875042169
AdaBoost,"{'max_depth': 20, 'n_estimators': 500}",3.6651746397106835
AdaBoost,"{'max_depth': 10, 'n_estimators': 400}",4.2926097932145435
AdaBoost,"{'max_depth': 10, 'n_estimators': 50}",2.8661609109479254
AdaBoost,"{'max_depth': 20, 'n_estimators': 500}",3.524622984203407
AdaBoost,"{'max_depth': 20, 'n_estimators': 200}",3.139895964707643
AdaBoost,"{'learning_rate': 0.3, 'max_depth': 8, 'tree_method': 'exact'}",3.480359275384399
AdaBoost,"{'learning_rate': 0.4, 'max_depth': 4, 'tree_method': 'hist'}",3.1155661180551215
AdaBoost,"{'learning_rate': 0.3, 'max_depth': 4, 'tree_method': 'exact'}",4.122625600917772
AdaBoost,"{'learning_rate': 0.2, 'max_depth': 6, 'tree_method': 'exact'}",3.2547326537304198
AdaBoost,"{'learning_rate': 0.3, 'max_depth': 4, 'tree_method': 'exact'}",3.6717471937135837
AdaBoost,"{'learning_rate': 0.4, 'max_depth': 6, 'tree_method': 'hist'}",4.141552648619378
AdaBoost,"{'learning_rate': 0.3, 'max_depth': 6, 'tree_method': 'hist'}",4.93597374246836
AdaBoost,"{'learning_rate': 0.1, 'max_depth': 6, 'tree_method': 'exact'}",3.345034207078211
AdaBoost,"{'learning_rate': 0.3, 'max_depth': 8, 'tree_method': 'hist'}",4.127575748455021
AdaBoost,"{'learning_rate': 0.1, 'max_depth': 6, 'tree_method': 'hist'}",3.3449552924290376
AdaBoost,"{'alpha': 0.2, 'learning_rate_init': 0.0007, 'max_iter': 6500}",25.093611348923062
AdaBoost,"{'alpha': 0.3, 'learning_rate_init': 0.0007, 'max_iter': 6500}",85.88189359889212
AdaBoost,"{'alpha': 0.3, 'learning_rate_init': 0.0007, 'max_iter': 6500}",23.83800357405171
AdaBoost,"{'alpha': 0.3, 'learning_rate_init': 0.0007, 'max_iter': 6500}",34.35294936915116
