Revista,Citas 2004,Citas 2005,Citas 2006,Citas 2007,Citas 2008,Citas 2009,Citas 2010,Citas 2011,Citas 2012,Citas 2013,Citas 2014,Citas 2015,Citas 2016,Citas 2017,Citas 2018,Citas 2019,Citas 2020,Citas 2021,Citas 2022
Artificial Intelligence,5632,5335,5406,5636,7120,9016,6265,5112,5407,5852,6137,6641,9399,7818,9362,9788,8.803,14899,14899
Pattern Recognition,5667,5790,6437,7498,11149,11703,11726,11092,13229,14528,16200,17442,23919,22195,27711,28857,6.615,37829,37828
IEEE Transactions on Pattern Analysis and Machine Intelligence,12485,13053,14708,16492,24674,22851,25060,22409,24947,27275,29822,31757,43649,46505,55828,52888,16.125,73149,73149
Pattern Recognition Letters,1667,2007,2418,2748,4256,4545,4698,4746,5346,5436,7287,7671,9609,10799,12661,13401,3.422,18442,18442
Decision Support Systems,861,992,1292,1645,2633,3376,3233,2984,3895,4196,5149,5886,8109,8810,9734,10739,5.132,15272,15272
Journal of Automated Reasoning,364,359,377,414,470,522,579,274,341,322,469,700,635,585,584,625,0.775,935,935
Data &amp; Knowledge Engineering,544,522,657,702,1220,1398,1312,1112,1279,1226,1276,1369,1741,1520,1606,1602,1.907,1713,1713
Chemometrics and Intelligent Laboratory Systems,2282,2532,3051,3434,3625,3988,3971,4494,4880,5322,6189,6431,6962,7563,9266,9421,3.148,12344,12344
International Journal of Pattern Recognition and Artificial Intelligence,458,520,494,533,760,831,698,644,735,773,828,952,1165,1202,1429,1785,1.151,2331,2331
International Journal of Software Engineering and Knowledge Engineering,160,138,157,158,235,258,185,135,175,171,202,216,345,360,425,535,1.362,640,640
International Journal on Artificial Intelligence Tools,298,270,357,418,750,990,718,827,906,1042,1141,1169,1506,1509,1882,1774,1.491,2001,2001
Image and Vision Computing,1460,1509,1770,1981,3067,2926,3236,3203,3572,3760,4051,4285,5540,5280,5870,5275,2.703,6254,6254
Expert Systems,77,121,152,144,261,332,241,279,337,278,351,378,469,568,677,785,2.291,1833,1833
Artificial Intelligence Review,246,300,297,397,482,592,462,436,605,633,996,1135,1524,1896,2627,3229,7.563,7204,7204
The Knowledge Engineering Review,414,410,440,496,701,954,635,506,546,565,579,691,877,864,891,851,1.038,1145,1145
AI Magazine,636,586,642,701,814,1180,712,601,691,703,713,893,1231,1293,1419,1653,1.094,2474,2474
Computational Intelligence,560,520,564,607,815,1223,408,338,388,411,475,491,628,624,709,756,1.979,1419,1419
Applied Artificial Intelligence,325,332,327,405,484,621,429,355,422,435,506,496,588,618,698,807,1.471,1399,1399
International Journal of Intelligent Systems,475,516,628,739,1039,1309,1087,1186,1320,1440,1830,1890,2391,2554,4310,5796,7.76,7799,7799
Computer Speech &amp; Language,275,335,383,441,461,,626,605,682,870,954,799,1266,1211,1437,1402,1.827,2014,2014
Machine Learning,3610,3568,4483,4941,6211,7305,6310,5734,7004,7363,8649,9656,12944,13453,17358,18677,2.805,30019,30019
International Journal of Approximate Reasoning,564,492,632,733,1249,1686,1384,1638,1920,1912,2735,2796,3341,3384,3587,4190,2.861,5461,5461
AI EDAM,155,143,183,179,274,357,299,298,348,477,389,450,569,703,630,634,1.5,826,826
Neural Networks,3474,3626,4192,4552,5706,6488,5825,5336,5802,6135,6625,6902,8741,10086,13063,14065,7.119,23717,23717
Neural Computation,4542,4425,5221,5787,6730,7456,7581,6785,7366,7455,7782,7931,9746,10797,14077,14624,1.922,22519,22519
International Journal of Computer Vision,3446,3665,4405,5056,8660,7324,9898,8673,8984,10576,10650,11407,16093,16572,17707,16022,7.0,23067,23067
Journal of Intelligent &amp; Robotic Systems,199,182,249,294,497,568,575,610,775,825,1202,1241,2055,2664,3443,3904,2.402,5397,5397
