Anio|Revista|Citas|JCR|Diff
2004|Artificial Intelligence|5632|52.835|49.265
2005|Artificial Intelligence|5335|33.831|31.193
2006|Artificial Intelligence|5406|33.797|31.526
2007|Artificial Intelligence|5636|33.709|30.701
2008|Artificial Intelligence|7120|37.857|34.46
2009|Artificial Intelligence|9016|39.6|36.564
2010|Artificial Intelligence|6265|32.913|30.38
2011|Artificial Intelligence|5112|33.49|31.238
2012|Artificial Intelligence|5407|31.366|29.172
2013|Artificial Intelligence|5852|27.609|24.9
2014|Artificial Intelligence|6137|37.942|34.571
2015|Artificial Intelligence|6641|33.961|30.628
2016|Artificial Intelligence|9399|23.651|18.854
2017|Artificial Intelligence|7818|19.396|16.362
2018|Artificial Intelligence|9362|17.876|13.393
2019|Artificial Intelligence|9788|18.012|11.384
2020|Artificial Intelligence|8.803|17.994|8.906
2021|Artificial Intelligence|14899|12.656|1.394
2022|Artificial Intelligence|14899|7.743|6.307
2004|Pattern Recognition|5667|59.853|57.677
2005|Pattern Recognition|5790|74.833|72.68
2006|Pattern Recognition|6437|65.614|63.792
2007|Pattern Recognition|7498|48.758|46.739
2008|Pattern Recognition|11149|55.21|51.931
2009|Pattern Recognition|11703|58.574|56.02
2010|Pattern Recognition|11726|50.868|48.186
2011|Pattern Recognition|11092|52.068|49.776
2012|Pattern Recognition|13229|51.489|48.857
2013|Pattern Recognition|14528|44.387|41.803
2014|Pattern Recognition|16200|44.264|41.168
2015|Pattern Recognition|17442|42.662|39.263
2016|Pattern Recognition|23919|40.446|35.864
2017|Pattern Recognition|22195|38.124|34.162
2018|Pattern Recognition|27711|40.315|34.417
2019|Pattern Recognition|28857|43.858|36.662
2020|Pattern Recognition|6.615|36.651|28.911
2021|Pattern Recognition|37829|24.862|16.344
2022|Pattern Recognition|37828|16.803|8.285
2004|IEEE Transactions on Pattern Analysis and Machine Intelligence|12485|261.893|257.541
2005|IEEE Transactions on Pattern Analysis and Machine Intelligence|13053|150.595|146.785
2006|IEEE Transactions on Pattern Analysis and Machine Intelligence|14708|132.36|128.054
2007|IEEE Transactions on Pattern Analysis and Machine Intelligence|16492|131.472|127.893
2008|IEEE Transactions on Pattern Analysis and Machine Intelligence|24674|133.408|127.448
2009|IEEE Transactions on Pattern Analysis and Machine Intelligence|22851|119.261|114.883
2010|IEEE Transactions on Pattern Analysis and Machine Intelligence|25060|107.4|102.092
2011|IEEE Transactions on Pattern Analysis and Machine Intelligence|22409|127.307|122.399
2012|IEEE Transactions on Pattern Analysis and Machine Intelligence|24947|133.66|128.865
2013|IEEE Transactions on Pattern Analysis and Machine Intelligence|27275|129.455|123.761
2014|IEEE Transactions on Pattern Analysis and Machine Intelligence|29822|140.253|134.472
2015|IEEE Transactions on Pattern Analysis and Machine Intelligence|31757|117.107|111.03
2016|IEEE Transactions on Pattern Analysis and Machine Intelligence|43649|90.649|82.32
2017|IEEE Transactions on Pattern Analysis and Machine Intelligence|46505|93.601|84.146
2018|IEEE Transactions on Pattern Analysis and Machine Intelligence|55828|131.718|113.988
2019|IEEE Transactions on Pattern Analysis and Machine Intelligence|52888|113.008|95.147
2020|IEEE Transactions on Pattern Analysis and Machine Intelligence|16.125|52.728|36.339
2021|IEEE Transactions on Pattern Analysis and Machine Intelligence|73149|43.742|19.428
2022|IEEE Transactions on Pattern Analysis and Machine Intelligence|73149|29.175|4.861
2004|Pattern Recognition Letters|1667|43.975|43.399
2005|Pattern Recognition Letters|2007|46.774|45.636
2006|Pattern Recognition Letters|2418|38.838|37.886
2007|Pattern Recognition Letters|2748|66.306|65.453
2008|Pattern Recognition Letters|4256|69.986|68.427
2009|Pattern Recognition Letters|4545|39.677|38.374
2010|Pattern Recognition Letters|4698|34.998|33.763
2011|Pattern Recognition Letters|4746|45.973|44.939
2012|Pattern Recognition Letters|5346|40.29|39.024
2013|Pattern Recognition Letters|5436|28.326|27.264
2014|Pattern Recognition Letters|7287|27.485|25.934
2015|Pattern Recognition Letters|7671|25.683|24.097
2016|Pattern Recognition Letters|9609|23.199|21.204
2017|Pattern Recognition Letters|10799|19.406|17.454
2018|Pattern Recognition Letters|12661|19.768|16.958
2019|Pattern Recognition Letters|13401|18.653|15.398
2020|Pattern Recognition Letters|3.422|17.879|14.123
2021|Pattern Recognition Letters|18442|17.055|12.298
2022|Pattern Recognition Letters|18442|12.457|7.7
2004|Decision Support Systems|861|32.507|31.049
2005|Decision Support Systems|992|41.864|40.918
2006|Decision Support Systems|1292|39.134|37.974
2007|Decision Support Systems|1645|46.332|45.213
2008|Decision Support Systems|2633|60.717|58.844
2009|Decision Support Systems|3376|54.433|51.811
2010|Decision Support Systems|3233|47.146|45.011
2011|Decision Support Systems|2984|48.281|46.594
2012|Decision Support Systems|3895|59.4|57.199
2013|Decision Support Systems|4196|58.192|56.156
2014|Decision Support Systems|5149|49.478|47.165
2015|Decision Support Systems|5886|45.522|42.918
2016|Decision Support Systems|8109|42.313|39.091
2017|Decision Support Systems|8810|41.078|37.513
2018|Decision Support Systems|9734|38.622|34.775
2019|Decision Support Systems|10739|34.342|29.621
2020|Decision Support Systems|5.132|24.971|19.176
